band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12,census_code
820,1033,737,955,816,918,1762,861,697,1231,1261,1099,820,1033,737,955,816,918,1762,861,697,1231,1261,1099,820,1033,737,955,816,918,1762,861,697,1231,1261,1099,820,1033,737,955,816,918,1762,861,697,1231,1261,1099,820,1033,737,955,816,918,1762,861,697,1231,1261,1099,820,1033,737,955,816,918,1762,861,697,1231,1261,1099,820,1033,737,955,816,918,1762,861,697,1231,1261,1099,820,1033,737,955,816,918,1762,861,697,1231,1261,1099,820,1033,737,955,816,918,1762,861,697,1231,1261,1099,820,1033,737,955,816,918,1762,861,697,1231,1261,1099,820,1033,737,955,816,918,1762,861,697,1231,1261,1099,820,1033,737,955,816,918,1762,861,697,1231,1261,1099,148
894,656,679,1141,1078,857,934,678,1017,972,908,935,894,656,679,1141,1078,857,934,678,1017,972,908,935,894,656,679,1141,1078,857,934,678,1017,972,908,935,894,656,679,1141,1078,857,934,678,1017,972,908,935,894,656,679,1141,1078,857,934,678,1017,972,908,935,894,656,679,1141,1078,857,934,678,1017,972,908,935,894,656,679,1141,1078,857,934,678,1017,972,908,935,894,656,679,1141,1078,857,934,678,1017,972,908,935,894,656,679,1141,1078,857,934,678,1017,972,908,935,894,656,679,1141,1078,857,934,678,1017,972,908,935,894,656,679,1141,1078,857,934,678,1017,972,908,935,894,656,679,1141,1078,857,934,678,1017,972,908,935,350
2316,2458,2138,2053,2898,2473,2383,2286,2492,2395,2332,2451,2316,2458,2138,2053,2898,2473,2383,2286,2492,2395,2332,2451,2316,2458,2138,2053,2898,2473,2383,2286,2492,2395,2332,2451,2316,2458,2138,2053,2898,2473,2383,2286,2492,2395,2332,2451,2316,2458,2138,2053,2898,2473,2383,2286,2492,2395,2332,2451,2316,2458,2138,2053,2898,2473,2383,2286,2492,2395,2332,2451,2316,2458,2138,2053,2898,2473,2383,2286,2492,2395,2332,2451,2316,2458,2138,2053,2898,2473,2383,2286,2492,2395,2332,2451,2316,2458,2138,2053,2898,2473,2383,2286,2492,2395,2332,2451,2316,2458,2138,2053,2898,2473,2383,2286,2492,2395,2332,2451,2316,2458,2138,2053,2898,2473,2383,2286,2492,2395,2332,2451,2316,2458,2138,2053,2898,2473,2383,2286,2492,2395,2332,2451,445
2190,2620,2460,2413,2417,2421,2442,2402,2445,2388,2453,2429,2190,2620,2460,2413,2417,2421,2442,2402,2445,2388,2453,2429,2190,2620,2460,2413,2417,2421,2442,2402,2445,2388,2453,2429,2190,2620,2460,2413,2417,2421,2442,2402,2445,2388,2453,2429,2190,2620,2460,2413,2417,2421,2442,2402,2445,2388,2453,2429,2190,2620,2460,2413,2417,2421,2442,2402,2445,2388,2453,2429,2190,2620,2460,2413,2417,2421,2442,2402,2445,2388,2453,2429,2190,2620,2460,2413,2417,2421,2442,2402,2445,2388,2453,2429,2190,2620,2460,2413,2417,2421,2442,2402,2445,2388,2453,2429,2190,2620,2460,2413,2417,2421,2442,2402,2445,2388,2453,2429,2190,2620,2460,2413,2417,2421,2442,2402,2445,2388,2453,2429,2190,2620,2460,2413,2417,2421,2442,2402,2445,2388,2453,2429,400
2546,2525,2968,2572,2539,2942,2680,2562,2802,2624,2743,2682,2546,2525,2968,2572,2539,2942,2680,2562,2802,2624,2743,2682,2546,2525,2968,2572,2539,2942,2680,2562,2802,2624,2743,2682,2546,2525,2968,2572,2539,2942,2680,2562,2802,2624,2743,2682,2546,2525,2968,2572,2539,2942,2680,2562,2802,2624,2743,2682,2546,2525,2968,2572,2539,2942,2680,2562,2802,2624,2743,2682,2546,2525,2968,2572,2539,2942,2680,2562,2802,2624,2743,2682,2546,2525,2968,2572,2539,2942,2680,2562,2802,2624,2743,2682,2546,2525,2968,2572,2539,2942,2680,2562,2802,2624,2743,2682,2546,2525,2968,2572,2539,2942,2680,2562,2802,2624,2743,2682,2546,2525,2968,2572,2539,2942,2680,2562,2802,2624,2743,2682,2546,2525,2968,2572,2539,2942,2680,2562,2802,2624,2743,2682,530
2118,2130,2040,2207,2095,1397,2681,1883,2466,2095,1993,2380,2118,2130,2040,2207,2095,1397,2681,1883,2466,2095,1993,2380,2118,2130,2040,2207,2095,1397,2681,1883,2466,2095,1993,2380,2118,2130,2040,2207,2095,1397,2681,1883,2466,2095,1993,2380,2118,2130,2040,2207,2095,1397,2681,1883,2466,2095,1993,2380,2118,2130,2040,2207,2095,1397,2681,1883,2466,2095,1993,2380,2118,2130,2040,2207,2095,1397,2681,1883,2466,2095,1993,2380,2118,2130,2040,2207,2095,1397,2681,1883,2466,2095,1993,2380,2118,2130,2040,2207,2095,1397,2681,1883,2466,2095,1993,2380,2118,2130,2040,2207,2095,1397,2681,1883,2466,2095,1993,2380,2118,2130,2040,2207,2095,1397,2681,1883,2466,2095,1993,2380,2118,2130,2040,2207,2095,1397,2681,1883,2466,2095,1993,2380,497
847,879,859,797,927,780,935,879,865,868,863,864,847,879,859,797,927,780,935,879,865,868,863,864,847,879,859,797,927,780,935,879,865,868,863,864,847,879,859,797,927,780,935,879,865,868,863,864,847,879,859,797,927,780,935,879,865,868,863,864,847,879,859,797,927,780,935,879,865,868,863,864,847,879,859,797,927,780,935,879,865,868,863,864,847,879,859,797,927,780,935,879,865,868,863,864,847,879,859,797,927,780,935,879,865,868,863,864,847,879,859,797,927,780,935,879,865,868,863,864,847,879,859,797,927,780,935,879,865,868,863,864,847,879,859,797,927,780,935,879,865,868,863,864,303
1925,3295,3091,2948,2899,2835,2838,2829,2819,2844,2843,2837,1925,3295,3091,2948,2899,2835,2838,2829,2819,2844,2843,2837,1925,3295,3091,2948,2899,2835,2838,2829,2819,2844,2843,2837,1925,3295,3091,2948,2899,2835,2838,2829,2819,2844,2843,2837,1925,3295,3091,2948,2899,2835,2838,2829,2819,2844,2843,2837,1925,3295,3091,2948,2899,2835,2838,2829,2819,2844,2843,2837,1925,3295,3091,2948,2899,2835,2838,2829,2819,2844,2843,2837,1925,3295,3091,2948,2899,2835,2838,2829,2819,2844,2843,2837,1925,3295,3091,2948,2899,2835,2838,2829,2819,2844,2843,2837,1925,3295,3091,2948,2899,2835,2838,2829,2819,2844,2843,2837,1925,3295,3091,2948,2899,2835,2838,2829,2819,2844,2843,2837,1925,3295,3091,2948,2899,2835,2838,2829,2819,2844,2843,2837,257
3627,4125,3703,4062,3854,3900,3896,3863,3741,3907,4006,3891,3627,4125,3703,4062,3854,3900,3896,3863,3741,3907,4006,3891,3627,4125,3703,4062,3854,3900,3896,3863,3741,3907,4006,3891,3627,4125,3703,4062,3854,3900,3896,3863,3741,3907,4006,3891,3627,4125,3703,4062,3854,3900,3896,3863,3741,3907,4006,3891,3627,4125,3703,4062,3854,3900,3896,3863,3741,3907,4006,3891,3627,4125,3703,4062,3854,3900,3896,3863,3741,3907,4006,3891,3627,4125,3703,4062,3854,3900,3896,3863,3741,3907,4006,3891,3627,4125,3703,4062,3854,3900,3896,3863,3741,3907,4006,3891,3627,4125,3703,4062,3854,3900,3896,3863,3741,3907,4006,3891,3627,4125,3703,4062,3854,3900,3896,3863,3741,3907,4006,3891,3627,4125,3703,4062,3854,3900,3896,3863,3741,3907,4006,3891,423
5194,5177,5337,5250,5252,5101,5341,5315,5250,5230,5259,5257,5194,5177,5337,5250,5252,5101,5341,5315,5250,5230,5259,5257,5194,5177,5337,5250,5252,5101,5341,5315,5250,5230,5259,5257,5194,5177,5337,5250,5252,5101,5341,5315,5250,5230,5259,5257,5194,5177,5337,5250,5252,5101,5341,5315,5250,5230,5259,5257,5194,5177,5337,5250,5252,5101,5341,5315,5250,5230,5259,5257,5194,5177,5337,5250,5252,5101,5341,5315,5250,5230,5259,5257,5194,5177,5337,5250,5252,5101,5341,5315,5250,5230,5259,5257,5194,5177,5337,5250,5252,5101,5341,5315,5250,5230,5259,5257,5194,5177,5337,5250,5252,5101,5341,5315,5250,5230,5259,5257,5194,5177,5337,5250,5252,5101,5341,5315,5250,5230,5259,5257,5194,5177,5337,5250,5252,5101,5341,5315,5250,5230,5259,5257,526
853,749,479,759,677,1597,80,1433,1012,315,1422,853,853,749,479,759,677,1597,80,1433,1012,315,1422,853,853,749,479,759,677,1597,80,1433,1012,315,1422,853,853,749,479,759,677,1597,80,1433,1012,315,1422,853,853,749,479,759,677,1597,80,1433,1012,315,1422,853,853,749,479,759,677,1597,80,1433,1012,315,1422,853,853,749,479,759,677,1597,80,1433,1012,315,1422,853,853,749,479,759,677,1597,80,1433,1012,315,1422,853,853,749,479,759,677,1597,80,1433,1012,315,1422,853,853,749,479,759,677,1597,80,1433,1012,315,1422,853,853,749,479,759,677,1597,80,1433,1012,315,1422,853,853,749,479,759,677,1597,80,1433,1012,315,1422,853,47
1008,1134,1057,750,1440,902,1332,1077,653,1125,1219,1394,1008,1134,1057,750,1440,902,1332,1077,653,1125,1219,1394,1008,1134,1057,750,1440,902,1332,1077,653,1125,1219,1394,1008,1134,1057,750,1440,902,1332,1077,653,1125,1219,1394,1008,1134,1057,750,1440,902,1332,1077,653,1125,1219,1394,1008,1134,1057,750,1440,902,1332,1077,653,1125,1219,1394,1008,1134,1057,750,1440,902,1332,1077,653,1125,1219,1394,1008,1134,1057,750,1440,902,1332,1077,653,1125,1219,1394,1008,1134,1057,750,1440,902,1332,1077,653,1125,1219,1394,1008,1134,1057,750,1440,902,1332,1077,653,1125,1219,1394,1008,1134,1057,750,1440,902,1332,1077,653,1125,1219,1394,1008,1134,1057,750,1440,902,1332,1077,653,1125,1219,1394,187
4237,4260,4138,4415,4247,4239,4337,4266,3463,3159,5687,4766,4237,4260,4138,4415,4247,4239,4337,4266,3463,3159,5687,4766,4237,4260,4138,4415,4247,4239,4337,4266,3463,3159,5687,4766,4237,4260,4138,4415,4247,4239,4337,4266,3463,3159,5687,4766,4237,4260,4138,4415,4247,4239,4337,4266,3463,3159,5687,4766,4237,4260,4138,4415,4247,4239,4337,4266,3463,3159,5687,4766,4237,4260,4138,4415,4247,4239,4337,4266,3463,3159,5687,4766,4237,4260,4138,4415,4247,4239,4337,4266,3463,3159,5687,4766,4237,4260,4138,4415,4247,4239,4337,4266,3463,3159,5687,4766,4237,4260,4138,4415,4247,4239,4337,4266,3463,3159,5687,4766,4237,4260,4138,4415,4247,4239,4337,4266,3463,3159,5687,4766,4237,4260,4138,4415,4247,4239,4337,4266,3463,3159,5687,4766,455
27,27,26,27,26,27,27,26,27,24,29,27,27,27,26,27,26,27,27,26,27,24,29,27,27,27,26,27,26,27,27,26,27,24,29,27,27,27,26,27,26,27,27,26,27,24,29,27,27,27,26,27,26,27,27,26,27,24,29,27,27,27,26,27,26,27,27,26,27,24,29,27,27,27,26,27,26,27,27,26,27,24,29,27,27,27,26,27,26,27,27,26,27,24,29,27,27,27,26,27,26,27,27,26,27,24,29,27,27,27,26,27,26,27,27,26,27,24,29,27,27,27,26,27,26,27,27,26,27,24,29,27,27,27,26,27,26,27,27,26,27,24,29,27,91
1845,1863,1857,1606,1917,2034,1863,1771,1926,1867,1837,1874,1845,1863,1857,1606,1917,2034,1863,1771,1926,1867,1837,1874,1845,1863,1857,1606,1917,2034,1863,1771,1926,1867,1837,1874,1845,1863,1857,1606,1917,2034,1863,1771,1926,1867,1837,1874,1845,1863,1857,1606,1917,2034,1863,1771,1926,1867,1837,1874,1845,1863,1857,1606,1917,2034,1863,1771,1926,1867,1837,1874,1845,1863,1857,1606,1917,2034,1863,1771,1926,1867,1837,1874,1845,1863,1857,1606,1917,2034,1863,1771,1926,1867,1837,1874,1845,1863,1857,1606,1917,2034,1863,1771,1926,1867,1837,1874,1845,1863,1857,1606,1917,2034,1863,1771,1926,1867,1837,1874,1845,1863,1857,1606,1917,2034,1863,1771,1926,1867,1837,1874,1845,1863,1857,1606,1917,2034,1863,1771,1926,1867,1837,1874,502
326,59,646,7,674,201,173,572,244,339,517,369,326,59,646,7,674,201,173,572,244,339,517,369,326,59,646,7,674,201,173,572,244,339,517,369,326,59,646,7,674,201,173,572,244,339,517,369,326,59,646,7,674,201,173,572,244,339,517,369,326,59,646,7,674,201,173,572,244,339,517,369,326,59,646,7,674,201,173,572,244,339,517,369,326,59,646,7,674,201,173,572,244,339,517,369,326,59,646,7,674,201,173,572,244,339,517,369,326,59,646,7,674,201,173,572,244,339,517,369,326,59,646,7,674,201,173,572,244,339,517,369,326,59,646,7,674,201,173,572,244,339,517,369,28
407,629,489,862,375,556,902,420,577,620,800,616,407,629,489,862,375,556,902,420,577,620,800,616,407,629,489,862,375,556,902,420,577,620,800,616,407,629,489,862,375,556,902,420,577,620,800,616,407,629,489,862,375,556,902,420,577,620,800,616,407,629,489,862,375,556,902,420,577,620,800,616,407,629,489,862,375,556,902,420,577,620,800,616,407,629,489,862,375,556,902,420,577,620,800,616,407,629,489,862,375,556,902,420,577,620,800,616,407,629,489,862,375,556,902,420,577,620,800,616,407,629,489,862,375,556,902,420,577,620,800,616,407,629,489,862,375,556,902,420,577,620,800,616,29
3081,2809,3557,4273,4446,1144,6093,316,6980,3117,4129,3659,3081,2809,3557,4273,4446,1144,6093,316,6980,3117,4129,3659,3081,2809,3557,4273,4446,1144,6093,316,6980,3117,4129,3659,3081,2809,3557,4273,4446,1144,6093,316,6980,3117,4129,3659,3081,2809,3557,4273,4446,1144,6093,316,6980,3117,4129,3659,3081,2809,3557,4273,4446,1144,6093,316,6980,3117,4129,3659,3081,2809,3557,4273,4446,1144,6093,316,6980,3117,4129,3659,3081,2809,3557,4273,4446,1144,6093,316,6980,3117,4129,3659,3081,2809,3557,4273,4446,1144,6093,316,6980,3117,4129,3659,3081,2809,3557,4273,4446,1144,6093,316,6980,3117,4129,3659,3081,2809,3557,4273,4446,1144,6093,316,6980,3117,4129,3659,3081,2809,3557,4273,4446,1144,6093,316,6980,3117,4129,3659,447
2574,2659,2541,2571,2608,2651,2541,2762,2613,2585,2680,2617,2574,2659,2541,2571,2608,2651,2541,2762,2613,2585,2680,2617,2574,2659,2541,2571,2608,2651,2541,2762,2613,2585,2680,2617,2574,2659,2541,2571,2608,2651,2541,2762,2613,2585,2680,2617,2574,2659,2541,2571,2608,2651,2541,2762,2613,2585,2680,2617,2574,2659,2541,2571,2608,2651,2541,2762,2613,2585,2680,2617,2574,2659,2541,2571,2608,2651,2541,2762,2613,2585,2680,2617,2574,2659,2541,2571,2608,2651,2541,2762,2613,2585,2680,2617,2574,2659,2541,2571,2608,2651,2541,2762,2613,2585,2680,2617,2574,2659,2541,2571,2608,2651,2541,2762,2613,2585,2680,2617,2574,2659,2541,2571,2608,2651,2541,2762,2613,2585,2680,2617,2574,2659,2541,2571,2608,2651,2541,2762,2613,2585,2680,2617,396
490,539,609,532,538,529,576,552,547,548,544,548,490,539,609,532,538,529,576,552,547,548,544,548,490,539,609,532,538,529,576,552,547,548,544,548,490,539,609,532,538,529,576,552,547,548,544,548,490,539,609,532,538,529,576,552,547,548,544,548,490,539,609,532,538,529,576,552,547,548,544,548,490,539,609,532,538,529,576,552,547,548,544,548,490,539,609,532,538,529,576,552,547,548,544,548,490,539,609,532,538,529,576,552,547,548,544,548,490,539,609,532,538,529,576,552,547,548,544,548,490,539,609,532,538,529,576,552,547,548,544,548,490,539,609,532,538,529,576,552,547,548,544,548,356
1702,2463,1683,2571,1859,2274,1608,2555,2134,2029,2279,2110,1702,2463,1683,2571,1859,2274,1608,2555,2134,2029,2279,2110,1702,2463,1683,2571,1859,2274,1608,2555,2134,2029,2279,2110,1702,2463,1683,2571,1859,2274,1608,2555,2134,2029,2279,2110,1702,2463,1683,2571,1859,2274,1608,2555,2134,2029,2279,2110,1702,2463,1683,2571,1859,2274,1608,2555,2134,2029,2279,2110,1702,2463,1683,2571,1859,2274,1608,2555,2134,2029,2279,2110,1702,2463,1683,2571,1859,2274,1608,2555,2134,2029,2279,2110,1702,2463,1683,2571,1859,2274,1608,2555,2134,2029,2279,2110,1702,2463,1683,2571,1859,2274,1608,2555,2134,2029,2279,2110,1702,2463,1683,2571,1859,2274,1608,2555,2134,2029,2279,2110,1702,2463,1683,2571,1859,2274,1608,2555,2134,2029,2279,2110,337
1492,1376,1600,1418,1600,1579,1387,1374,1589,1716,1541,1525,1492,1376,1600,1418,1600,1579,1387,1374,1589,1716,1541,1525,1492,1376,1600,1418,1600,1579,1387,1374,1589,1716,1541,1525,1492,1376,1600,1418,1600,1579,1387,1374,1589,1716,1541,1525,1492,1376,1600,1418,1600,1579,1387,1374,1589,1716,1541,1525,1492,1376,1600,1418,1600,1579,1387,1374,1589,1716,1541,1525,1492,1376,1600,1418,1600,1579,1387,1374,1589,1716,1541,1525,1492,1376,1600,1418,1600,1579,1387,1374,1589,1716,1541,1525,1492,1376,1600,1418,1600,1579,1387,1374,1589,1716,1541,1525,1492,1376,1600,1418,1600,1579,1387,1374,1589,1716,1541,1525,1492,1376,1600,1418,1600,1579,1387,1374,1589,1716,1541,1525,1492,1376,1600,1418,1600,1579,1387,1374,1589,1716,1541,1525,183
640,620,682,626,614,642,462,772,755,660,640,664,640,620,682,626,614,642,462,772,755,660,640,664,640,620,682,626,614,642,462,772,755,660,640,664,640,620,682,626,614,642,462,772,755,660,640,664,640,620,682,626,614,642,462,772,755,660,640,664,640,620,682,626,614,642,462,772,755,660,640,664,640,620,682,626,614,642,462,772,755,660,640,664,640,620,682,626,614,642,462,772,755,660,640,664,640,620,682,626,614,642,462,772,755,660,640,664,640,620,682,626,614,642,462,772,755,660,640,664,640,620,682,626,614,642,462,772,755,660,640,664,640,620,682,626,614,642,462,772,755,660,640,664,320
220,566,634,538,472,262,714,512,435,541,495,492,220,566,634,538,472,262,714,512,435,541,495,492,220,566,634,538,472,262,714,512,435,541,495,492,220,566,634,538,472,262,714,512,435,541,495,492,220,566,634,538,472,262,714,512,435,541,495,492,220,566,634,538,472,262,714,512,435,541,495,492,220,566,634,538,472,262,714,512,435,541,495,492,220,566,634,538,472,262,714,512,435,541,495,492,220,566,634,538,472,262,714,512,435,541,495,492,220,566,634,538,472,262,714,512,435,541,495,492,220,566,634,538,472,262,714,512,435,541,495,492,220,566,634,538,472,262,714,512,435,541,495,492,318
2757,2573,3589,3015,2937,3057,2992,1900,3171,3010,3857,3008,2757,2573,3589,3015,2937,3057,2992,1900,3171,3010,3857,3008,2757,2573,3589,3015,2937,3057,2992,1900,3171,3010,3857,3008,2757,2573,3589,3015,2937,3057,2992,1900,3171,3010,3857,3008,2757,2573,3589,3015,2937,3057,2992,1900,3171,3010,3857,3008,2757,2573,3589,3015,2937,3057,2992,1900,3171,3010,3857,3008,2757,2573,3589,3015,2937,3057,2992,1900,3171,3010,3857,3008,2757,2573,3589,3015,2937,3057,2992,1900,3171,3010,3857,3008,2757,2573,3589,3015,2937,3057,2992,1900,3171,3010,3857,3008,2757,2573,3589,3015,2937,3057,2992,1900,3171,3010,3857,3008,2757,2573,3589,3015,2937,3057,2992,1900,3171,3010,3857,3008,2757,2573,3589,3015,2937,3057,2992,1900,3171,3010,3857,3008,375
2148,2915,3547,2750,2021,3840,2857,2882,2859,2827,2931,2871,2148,2915,3547,2750,2021,3840,2857,2882,2859,2827,2931,2871,2148,2915,3547,2750,2021,3840,2857,2882,2859,2827,2931,2871,2148,2915,3547,2750,2021,3840,2857,2882,2859,2827,2931,2871,2148,2915,3547,2750,2021,3840,2857,2882,2859,2827,2931,2871,2148,2915,3547,2750,2021,3840,2857,2882,2859,2827,2931,2871,2148,2915,3547,2750,2021,3840,2857,2882,2859,2827,2931,2871,2148,2915,3547,2750,2021,3840,2857,2882,2859,2827,2931,2871,2148,2915,3547,2750,2021,3840,2857,2882,2859,2827,2931,2871,2148,2915,3547,2750,2021,3840,2857,2882,2859,2827,2931,2871,2148,2915,3547,2750,2021,3840,2857,2882,2859,2827,2931,2871,2148,2915,3547,2750,2021,3840,2857,2882,2859,2827,2931,2871,390
1550,1080,1443,1705,1865,1646,835,2269,450,2558,1602,1587,1550,1080,1443,1705,1865,1646,835,2269,450,2558,1602,1587,1550,1080,1443,1705,1865,1646,835,2269,450,2558,1602,1587,1550,1080,1443,1705,1865,1646,835,2269,450,2558,1602,1587,1550,1080,1443,1705,1865,1646,835,2269,450,2558,1602,1587,1550,1080,1443,1705,1865,1646,835,2269,450,2558,1602,1587,1550,1080,1443,1705,1865,1646,835,2269,450,2558,1602,1587,1550,1080,1443,1705,1865,1646,835,2269,450,2558,1602,1587,1550,1080,1443,1705,1865,1646,835,2269,450,2558,1602,1587,1550,1080,1443,1705,1865,1646,835,2269,450,2558,1602,1587,1550,1080,1443,1705,1865,1646,835,2269,450,2558,1602,1587,1550,1080,1443,1705,1865,1646,835,2269,450,2558,1602,1587,273
847,890,926,882,662,1113,865,906,897,827,922,918,847,890,926,882,662,1113,865,906,897,827,922,918,847,890,926,882,662,1113,865,906,897,827,922,918,847,890,926,882,662,1113,865,906,897,827,922,918,847,890,926,882,662,1113,865,906,897,827,922,918,847,890,926,882,662,1113,865,906,897,827,922,918,847,890,926,882,662,1113,865,906,897,827,922,918,847,890,926,882,662,1113,865,906,897,827,922,918,847,890,926,882,662,1113,865,906,897,827,922,918,847,890,926,882,662,1113,865,906,897,827,922,918,847,890,926,882,662,1113,865,906,897,827,922,918,847,890,926,882,662,1113,865,906,897,827,922,918,324
1649,1616,1675,1608,1593,1694,1534,1778,1626,1692,1653,1665,1649,1616,1675,1608,1593,1694,1534,1778,1626,1692,1653,1665,1649,1616,1675,1608,1593,1694,1534,1778,1626,1692,1653,1665,1649,1616,1675,1608,1593,1694,1534,1778,1626,1692,1653,1665,1649,1616,1675,1608,1593,1694,1534,1778,1626,1692,1653,1665,1649,1616,1675,1608,1593,1694,1534,1778,1626,1692,1653,1665,1649,1616,1675,1608,1593,1694,1534,1778,1626,1692,1653,1665,1649,1616,1675,1608,1593,1694,1534,1778,1626,1692,1653,1665,1649,1616,1675,1608,1593,1694,1534,1778,1626,1692,1653,1665,1649,1616,1675,1608,1593,1694,1534,1778,1626,1692,1653,1665,1649,1616,1675,1608,1593,1694,1534,1778,1626,1692,1653,1665,1649,1616,1675,1608,1593,1694,1534,1778,1626,1692,1653,1665,179
1396,1359,1397,1417,1375,1426,1303,1433,1435,1376,1425,1400,1396,1359,1397,1417,1375,1426,1303,1433,1435,1376,1425,1400,1396,1359,1397,1417,1375,1426,1303,1433,1435,1376,1425,1400,1396,1359,1397,1417,1375,1426,1303,1433,1435,1376,1425,1400,1396,1359,1397,1417,1375,1426,1303,1433,1435,1376,1425,1400,1396,1359,1397,1417,1375,1426,1303,1433,1435,1376,1425,1400,1396,1359,1397,1417,1375,1426,1303,1433,1435,1376,1425,1400,1396,1359,1397,1417,1375,1426,1303,1433,1435,1376,1425,1400,1396,1359,1397,1417,1375,1426,1303,1433,1435,1376,1425,1400,1396,1359,1397,1417,1375,1426,1303,1433,1435,1376,1425,1400,1396,1359,1397,1417,1375,1426,1303,1433,1435,1376,1425,1400,1396,1359,1397,1417,1375,1426,1303,1433,1435,1376,1425,1400,405
962,956,967,660,886,1022,1145,939,1101,992,960,969,962,956,967,660,886,1022,1145,939,1101,992,960,969,962,956,967,660,886,1022,1145,939,1101,992,960,969,962,956,967,660,886,1022,1145,939,1101,992,960,969,962,956,967,660,886,1022,1145,939,1101,992,960,969,962,956,967,660,886,1022,1145,939,1101,992,960,969,962,956,967,660,886,1022,1145,939,1101,992,960,969,962,956,967,660,886,1022,1145,939,1101,992,960,969,962,956,967,660,886,1022,1145,939,1101,992,960,969,962,956,967,660,886,1022,1145,939,1101,992,960,969,962,956,967,660,886,1022,1145,939,1101,992,960,969,962,956,967,660,886,1022,1145,939,1101,992,960,969,5
1356,1334,1263,1420,1428,1387,1405,1210,1486,1414,1396,1374,1356,1334,1263,1420,1428,1387,1405,1210,1486,1414,1396,1374,1356,1334,1263,1420,1428,1387,1405,1210,1486,1414,1396,1374,1356,1334,1263,1420,1428,1387,1405,1210,1486,1414,1396,1374,1356,1334,1263,1420,1428,1387,1405,1210,1486,1414,1396,1374,1356,1334,1263,1420,1428,1387,1405,1210,1486,1414,1396,1374,1356,1334,1263,1420,1428,1387,1405,1210,1486,1414,1396,1374,1356,1334,1263,1420,1428,1387,1405,1210,1486,1414,1396,1374,1356,1334,1263,1420,1428,1387,1405,1210,1486,1414,1396,1374,1356,1334,1263,1420,1428,1387,1405,1210,1486,1414,1396,1374,1356,1334,1263,1420,1428,1387,1405,1210,1486,1414,1396,1374,1356,1334,1263,1420,1428,1387,1405,1210,1486,1414,1396,1374,581
2834,2967,2852,2502,3353,2632,3193,2912,2896,1993,3091,3642,2834,2967,2852,2502,3353,2632,3193,2912,2896,1993,3091,3642,2834,2967,2852,2502,3353,2632,3193,2912,2896,1993,3091,3642,2834,2967,2852,2502,3353,2632,3193,2912,2896,1993,3091,3642,2834,2967,2852,2502,3353,2632,3193,2912,2896,1993,3091,3642,2834,2967,2852,2502,3353,2632,3193,2912,2896,1993,3091,3642,2834,2967,2852,2502,3353,2632,3193,2912,2896,1993,3091,3642,2834,2967,2852,2502,3353,2632,3193,2912,2896,1993,3091,3642,2834,2967,2852,2502,3353,2632,3193,2912,2896,1993,3091,3642,2834,2967,2852,2502,3353,2632,3193,2912,2896,1993,3091,3642,2834,2967,2852,2502,3353,2632,3193,2912,2896,1993,3091,3642,2834,2967,2852,2502,3353,2632,3193,2912,2896,1993,3091,3642,111
774,988,906,879,889,762,1015,876,831,977,883,898,774,988,906,879,889,762,1015,876,831,977,883,898,774,988,906,879,889,762,1015,876,831,977,883,898,774,988,906,879,889,762,1015,876,831,977,883,898,774,988,906,879,889,762,1015,876,831,977,883,898,774,988,906,879,889,762,1015,876,831,977,883,898,774,988,906,879,889,762,1015,876,831,977,883,898,774,988,906,879,889,762,1015,876,831,977,883,898,774,988,906,879,889,762,1015,876,831,977,883,898,774,988,906,879,889,762,1015,876,831,977,883,898,774,988,906,879,889,762,1015,876,831,977,883,898,774,988,906,879,889,762,1015,876,831,977,883,898,378
