band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,census_code
5914,6112,5649,6386,5969,6055,5950,6101,6018,5914,6112,5649,6386,5969,6055,5950,6101,6018,5914,6112,5649,6386,5969,6055,5950,6101,6018,5914,6112,5649,6386,5969,6055,5950,6101,6018,5914,6112,5649,6386,5969,6055,5950,6101,6018,5914,6112,5649,6386,5969,6055,5950,6101,6018,5914,6112,5649,6386,5969,6055,5950,6101,6018,5914,6112,5649,6386,5969,6055,5950,6101,6018,5914,6112,5649,6386,5969,6055,5950,6101,6018,5914,6112,5649,6386,5969,6055,5950,6101,6018,5914,6112,5649,6386,5969,6055,5950,6101,6018,5914,6112,5649,6386,5969,6055,5950,6101,6018,540
205,250,221,252,233,242,223,236,254,205,250,221,252,233,242,223,236,254,205,250,221,252,233,242,223,236,254,205,250,221,252,233,242,223,236,254,205,250,221,252,233,242,223,236,254,205,250,221,252,233,242,223,236,254,205,250,221,252,233,242,223,236,254,205,250,221,252,233,242,223,236,254,205,250,221,252,233,242,223,236,254,205,250,221,252,233,242,223,236,254,205,250,221,252,233,242,223,236,254,205,250,221,252,233,242,223,236,254,275
4512,4498,4511,4512,4504,4528,4527,4464,4563,4512,4498,4511,4512,4504,4528,4527,4464,4563,4512,4498,4511,4512,4504,4528,4527,4464,4563,4512,4498,4511,4512,4504,4528,4527,4464,4563,4512,4498,4511,4512,4504,4528,4527,4464,4563,4512,4498,4511,4512,4504,4528,4527,4464,4563,4512,4498,4511,4512,4504,4528,4527,4464,4563,4512,4498,4511,4512,4504,4528,4527,4464,4563,4512,4498,4511,4512,4504,4528,4527,4464,4563,4512,4498,4511,4512,4504,4528,4527,4464,4563,4512,4498,4511,4512,4504,4528,4527,4464,4563,4512,4498,4511,4512,4504,4528,4527,4464,4563,517
1208,2590,142,2475,2592,1896,1854,2302,2069,1208,2590,142,2475,2592,1896,1854,2302,2069,1208,2590,142,2475,2592,1896,1854,2302,2069,1208,2590,142,2475,2592,1896,1854,2302,2069,1208,2590,142,2475,2592,1896,1854,2302,2069,1208,2590,142,2475,2592,1896,1854,2302,2069,1208,2590,142,2475,2592,1896,1854,2302,2069,1208,2590,142,2475,2592,1896,1854,2302,2069,1208,2590,142,2475,2592,1896,1854,2302,2069,1208,2590,142,2475,2592,1896,1854,2302,2069,1208,2590,142,2475,2592,1896,1854,2302,2069,1208,2590,142,2475,2592,1896,1854,2302,2069,35
604,673,644,631,582,813,502,663,809,604,673,644,631,582,813,502,663,809,604,673,644,631,582,813,502,663,809,604,673,644,631,582,813,502,663,809,604,673,644,631,582,813,502,663,809,604,673,644,631,582,813,502,663,809,604,673,644,631,582,813,502,663,809,604,673,644,631,582,813,502,663,809,604,673,644,631,582,813,502,663,809,604,673,644,631,582,813,502,663,809,604,673,644,631,582,813,502,663,809,604,673,644,631,582,813,502,663,809,361
53,87,83,87,72,108,78,87,53,87,83,87,72,108,78,87,53,87,83,87,72,108,78,87,53,87,83,87,72,108,78,87,53,87,83,87,72,108,78,87,53,87,83,87,72,108,78,87,53,87,83,87,72,108,78,87,53,87,83,87,72,108,78,87,53,87,83,87,72,108,78,87,53,87,83,87,72,108,78,87,53,87,83,87,72,108,78,87,53,87,83,87,72,108,78,87,609,,,,,,,,,,,,
1875,1349,2396,1879,1866,1876,1689,2069,1882,1875,1349,2396,1879,1866,1876,1689,2069,1882,1875,1349,2396,1879,1866,1876,1689,2069,1882,1875,1349,2396,1879,1866,1876,1689,2069,1882,1875,1349,2396,1879,1866,1876,1689,2069,1882,1875,1349,2396,1879,1866,1876,1689,2069,1882,1875,1349,2396,1879,1866,1876,1689,2069,1882,1875,1349,2396,1879,1866,1876,1689,2069,1882,1875,1349,2396,1879,1866,1876,1689,2069,1882,1875,1349,2396,1879,1866,1876,1689,2069,1882,1875,1349,2396,1879,1866,1876,1689,2069,1882,1875,1349,2396,1879,1866,1876,1689,2069,1882,299
1914,1925,1921,1920,1913,1918,1921,1926,1923,1914,1925,1921,1920,1913,1918,1921,1926,1923,1914,1925,1921,1920,1913,1918,1921,1926,1923,1914,1925,1921,1920,1913,1918,1921,1926,1923,1914,1925,1921,1920,1913,1918,1921,1926,1923,1914,1925,1921,1920,1913,1918,1921,1926,1923,1914,1925,1921,1920,1913,1918,1921,1926,1923,1914,1925,1921,1920,1913,1918,1921,1926,1923,1914,1925,1921,1920,1913,1918,1921,1926,1923,1914,1925,1921,1920,1913,1918,1921,1926,1923,1914,1925,1921,1920,1913,1918,1921,1926,1923,1914,1925,1921,1920,1913,1918,1921,1926,1923,389
997,1520,1221,1355,957,1589,835,1614,1371,997,1520,1221,1355,957,1589,835,1614,1371,997,1520,1221,1355,957,1589,835,1614,1371,997,1520,1221,1355,957,1589,835,1614,1371,997,1520,1221,1355,957,1589,835,1614,1371,997,1520,1221,1355,957,1589,835,1614,1371,997,1520,1221,1355,957,1589,835,1614,1371,997,1520,1221,1355,957,1589,835,1614,1371,997,1520,1221,1355,957,1589,835,1614,1371,997,1520,1221,1355,957,1589,835,1614,1371,997,1520,1221,1355,957,1589,835,1614,1371,997,1520,1221,1355,957,1589,835,1614,1371,190
927,916,839,892,754,855,874,1591,957,927,916,839,892,754,855,874,1591,957,927,916,839,892,754,855,874,1591,957,927,916,839,892,754,855,874,1591,957,927,916,839,892,754,855,874,1591,957,927,916,839,892,754,855,874,1591,957,927,916,839,892,754,855,874,1591,957,927,916,839,892,754,855,874,1591,957,927,916,839,892,754,855,874,1591,957,927,916,839,892,754,855,874,1591,957,927,916,839,892,754,855,874,1591,957,927,916,839,892,754,855,874,1591,957,8
698,697,703,547,852,688,712,693,706,698,697,703,547,852,688,712,693,706,698,697,703,547,852,688,712,693,706,698,697,703,547,852,688,712,693,706,698,697,703,547,852,688,712,693,706,698,697,703,547,852,688,712,693,706,698,697,703,547,852,688,712,693,706,698,697,703,547,852,688,712,693,706,698,697,703,547,852,688,712,693,706,698,697,703,547,852,688,712,693,706,698,697,703,547,852,688,712,693,706,698,697,703,547,852,688,712,693,706,341
1060,998,1077,1033,1134,1048,1054,1114,1065,1060,998,1077,1033,1134,1048,1054,1114,1065,1060,998,1077,1033,1134,1048,1054,1114,1065,1060,998,1077,1033,1134,1048,1054,1114,1065,1060,998,1077,1033,1134,1048,1054,1114,1065,1060,998,1077,1033,1134,1048,1054,1114,1065,1060,998,1077,1033,1134,1048,1054,1114,1065,1060,998,1077,1033,1134,1048,1054,1114,1065,1060,998,1077,1033,1134,1048,1054,1114,1065,1060,998,1077,1033,1134,1048,1054,1114,1065,1060,998,1077,1033,1134,1048,1054,1114,1065,1060,998,1077,1033,1134,1048,1054,1114,1065,490
838,882,850,814,826,769,939,912,929,838,882,850,814,826,769,939,912,929,838,882,850,814,826,769,939,912,929,838,882,850,814,826,769,939,912,929,838,882,850,814,826,769,939,912,929,838,882,850,814,826,769,939,912,929,838,882,850,814,826,769,939,912,929,838,882,850,814,826,769,939,912,929,838,882,850,814,826,769,939,912,929,838,882,850,814,826,769,939,912,929,838,882,850,814,826,769,939,912,929,838,882,850,814,826,769,939,912,929,271
1466,1410,1575,1557,1622,1531,1529,1476,1588,1466,1410,1575,1557,1622,1531,1529,1476,1588,1466,1410,1575,1557,1622,1531,1529,1476,1588,1466,1410,1575,1557,1622,1531,1529,1476,1588,1466,1410,1575,1557,1622,1531,1529,1476,1588,1466,1410,1575,1557,1622,1531,1529,1476,1588,1466,1410,1575,1557,1622,1531,1529,1476,1588,1466,1410,1575,1557,1622,1531,1529,1476,1588,1466,1410,1575,1557,1622,1531,1529,1476,1588,1466,1410,1575,1557,1622,1531,1529,1476,1588,1466,1410,1575,1557,1622,1531,1529,1476,1588,1466,1410,1575,1557,1622,1531,1529,1476,1588,290
255,322,298,111,438,312,292,307,292,255,322,298,111,438,312,292,307,292,255,322,298,111,438,312,292,307,292,255,322,298,111,438,312,292,307,292,255,322,298,111,438,312,292,307,292,255,322,298,111,438,312,292,307,292,255,322,298,111,438,312,292,307,292,255,322,298,111,438,312,292,307,292,255,322,298,111,438,312,292,307,292,255,322,298,111,438,312,292,307,292,255,322,298,111,438,312,292,307,292,255,322,298,111,438,312,292,307,292,13
2267,2217,2322,1959,2325,1837,2969,2202,2341,2267,2217,2322,1959,2325,1837,2969,2202,2341,2267,2217,2322,1959,2325,1837,2969,2202,2341,2267,2217,2322,1959,2325,1837,2969,2202,2341,2267,2217,2322,1959,2325,1837,2969,2202,2341,2267,2217,2322,1959,2325,1837,2969,2202,2341,2267,2217,2322,1959,2325,1837,2969,2202,2341,2267,2217,2322,1959,2325,1837,2969,2202,2341,2267,2217,2322,1959,2325,1837,2969,2202,2341,2267,2217,2322,1959,2325,1837,2969,2202,2341,2267,2217,2322,1959,2325,1837,2969,2202,2341,2267,2217,2322,1959,2325,1837,2969,2202,2341,165
683,687,663,722,687,690,605,777,690,683,687,663,722,687,690,605,777,690,683,687,663,722,687,690,605,777,690,683,687,663,722,687,690,605,777,690,683,687,663,722,687,690,605,777,690,683,687,663,722,687,690,605,777,690,683,687,663,722,687,690,605,777,690,683,687,663,722,687,690,605,777,690,683,687,663,722,687,690,605,777,690,683,687,663,722,687,690,605,777,690,683,687,663,722,687,690,605,777,690,683,687,663,722,687,690,605,777,690,2
3693,3724,3738,3680,3706,3863,3710,3755,3754,3693,3724,3738,3680,3706,3863,3710,3755,3754,3693,3724,3738,3680,3706,3863,3710,3755,3754,3693,3724,3738,3680,3706,3863,3710,3755,3754,3693,3724,3738,3680,3706,3863,3710,3755,3754,3693,3724,3738,3680,3706,3863,3710,3755,3754,3693,3724,3738,3680,3706,3863,3710,3755,3754,3693,3724,3738,3680,3706,3863,3710,3755,3754,3693,3724,3738,3680,3706,3863,3710,3755,3754,3693,3724,3738,3680,3706,3863,3710,3755,3754,3693,3724,3738,3680,3706,3863,3710,3755,3754,3693,3724,3738,3680,3706,3863,3710,3755,3754,62
8044,7949,8060,8199,7982,8123,8056,8130,8069,8044,7949,8060,8199,7982,8123,8056,8130,8069,8044,7949,8060,8199,7982,8123,8056,8130,8069,8044,7949,8060,8199,7982,8123,8056,8130,8069,8044,7949,8060,8199,7982,8123,8056,8130,8069,8044,7949,8060,8199,7982,8123,8056,8130,8069,8044,7949,8060,8199,7982,8123,8056,8130,8069,8044,7949,8060,8199,7982,8123,8056,8130,8069,8044,7949,8060,8199,7982,8123,8056,8130,8069,8044,7949,8060,8199,7982,8123,8056,8130,8069,8044,7949,8060,8199,7982,8123,8056,8130,8069,8044,7949,8060,8199,7982,8123,8056,8130,8069,522
664,751,701,668,739,733,710,716,712,664,751,701,668,739,733,710,716,712,664,751,701,668,739,733,710,716,712,664,751,701,668,739,733,710,716,712,664,751,701,668,739,733,710,716,712,664,751,701,668,739,733,710,716,712,664,751,701,668,739,733,710,716,712,664,751,701,668,739,733,710,716,712,664,751,701,668,739,733,710,716,712,664,751,701,668,739,733,710,716,712,664,751,701,668,739,733,710,716,712,664,751,701,668,739,733,710,716,712,15
17,10,21,16,14,19,12,22,19,17,10,21,16,14,19,12,22,19,17,10,21,16,14,19,12,22,19,17,10,21,16,14,19,12,22,19,17,10,21,16,14,19,12,22,19,17,10,21,16,14,19,12,22,19,17,10,21,16,14,19,12,22,19,17,10,21,16,14,19,12,22,19,17,10,21,16,14,19,12,22,19,17,10,21,16,14,19,12,22,19,17,10,21,16,14,19,12,22,19,17,10,21,16,14,19,12,22,19,494
2979,2982,2808,3156,2962,3089,2995,2987,3007,2979,2982,2808,3156,2962,3089,2995,2987,3007,2979,2982,2808,3156,2962,3089,2995,2987,3007,2979,2982,2808,3156,2962,3089,2995,2987,3007,2979,2982,2808,3156,2962,3089,2995,2987,3007,2979,2982,2808,3156,2962,3089,2995,2987,3007,2979,2982,2808,3156,2962,3089,2995,2987,3007,2979,2982,2808,3156,2962,3089,2995,2987,3007,2979,2982,2808,3156,2962,3089,2995,2987,3007,2979,2982,2808,3156,2962,3089,2995,2987,3007,2979,2982,2808,3156,2962,3089,2995,2987,3007,2979,2982,2808,3156,2962,3089,2995,2987,3007,103
1226,1364,955,1734,926,1697,1379,1416,1493,1226,1364,955,1734,926,1697,1379,1416,1493,1226,1364,955,1734,926,1697,1379,1416,1493,1226,1364,955,1734,926,1697,1379,1416,1493,1226,1364,955,1734,926,1697,1379,1416,1493,1226,1364,955,1734,926,1697,1379,1416,1493,1226,1364,955,1734,926,1697,1379,1416,1493,1226,1364,955,1734,926,1697,1379,1416,1493,1226,1364,955,1734,926,1697,1379,1416,1493,1226,1364,955,1734,926,1697,1379,1416,1493,1226,1364,955,1734,926,1697,1379,1416,1493,1226,1364,955,1734,926,1697,1379,1416,1493,148
1170,1059,1141,1221,1169,1157,1431,1093,1308,1170,1059,1141,1221,1169,1157,1431,1093,1308,1170,1059,1141,1221,1169,1157,1431,1093,1308,1170,1059,1141,1221,1169,1157,1431,1093,1308,1170,1059,1141,1221,1169,1157,1431,1093,1308,1170,1059,1141,1221,1169,1157,1431,1093,1308,1170,1059,1141,1221,1169,1157,1431,1093,1308,1170,1059,1141,1221,1169,1157,1431,1093,1308,1170,1059,1141,1221,1169,1157,1431,1093,1308,1170,1059,1141,1221,1169,1157,1431,1093,1308,1170,1059,1141,1221,1169,1157,1431,1093,1308,1170,1059,1141,1221,1169,1157,1431,1093,1308,350
3169,2875,2921,3760,3071,3209,3218,3240,3212,3169,2875,2921,3760,3071,3209,3218,3240,3212,3169,2875,2921,3760,3071,3209,3218,3240,3212,3169,2875,2921,3760,3071,3209,3218,3240,3212,3169,2875,2921,3760,3071,3209,3218,3240,3212,3169,2875,2921,3760,3071,3209,3218,3240,3212,3169,2875,2921,3760,3071,3209,3218,3240,3212,3169,2875,2921,3760,3071,3209,3218,3240,3212,3169,2875,2921,3760,3071,3209,3218,3240,3212,3169,2875,2921,3760,3071,3209,3218,3240,3212,3169,2875,2921,3760,3071,3209,3218,3240,3212,3169,2875,2921,3760,3071,3209,3218,3240,3212,445
3227,3234,3222,3228,3236,3218,3245,3235,3235,3227,3234,3222,3228,3236,3218,3245,3235,3235,3227,3234,3222,3228,3236,3218,3245,3235,3235,3227,3234,3222,3228,3236,3218,3245,3235,3235,3227,3234,3222,3228,3236,3218,3245,3235,3235,3227,3234,3222,3228,3236,3218,3245,3235,3235,3227,3234,3222,3228,3236,3218,3245,3235,3235,3227,3234,3222,3228,3236,3218,3245,3235,3235,3227,3234,3222,3228,3236,3218,3245,3235,3235,3227,3234,3222,3228,3236,3218,3245,3235,3235,3227,3234,3222,3228,3236,3218,3245,3235,3235,3227,3234,3222,3228,3236,3218,3245,3235,3235,400
3572,3378,3661,3614,3611,3498,3694,3556,3601,3572,3378,3661,3614,3611,3498,3694,3556,3601,3572,3378,3661,3614,3611,3498,3694,3556,3601,3572,3378,3661,3614,3611,3498,3694,3556,3601,3572,3378,3661,3614,3611,3498,3694,3556,3601,3572,3378,3661,3614,3611,3498,3694,3556,3601,3572,3378,3661,3614,3611,3498,3694,3556,3601,3572,3378,3661,3614,3611,3498,3694,3556,3601,3572,3378,3661,3614,3611,3498,3694,3556,3601,3572,3378,3661,3614,3611,3498,3694,3556,3601,3572,3378,3661,3614,3611,3498,3694,3556,3601,3572,3378,3661,3614,3611,3498,3694,3556,3601,530
2830,2657,3008,2344,2796,2916,3021,2756,3157,2830,2657,3008,2344,2796,2916,3021,2756,3157,2830,2657,3008,2344,2796,2916,3021,2756,3157,2830,2657,3008,2344,2796,2916,3021,2756,3157,2830,2657,3008,2344,2796,2916,3021,2756,3157,2830,2657,3008,2344,2796,2916,3021,2756,3157,2830,2657,3008,2344,2796,2916,3021,2756,3157,2830,2657,3008,2344,2796,2916,3021,2756,3157,2830,2657,3008,2344,2796,2916,3021,2756,3157,2830,2657,3008,2344,2796,2916,3021,2756,3157,2830,2657,3008,2344,2796,2916,3021,2756,3157,2830,2657,3008,2344,2796,2916,3021,2756,3157,497
1142,1012,1228,1119,1250,1152,1149,1153,1158,1142,1012,1228,1119,1250,1152,1149,1153,1158,1142,1012,1228,1119,1250,1152,1149,1153,1158,1142,1012,1228,1119,1250,1152,1149,1153,1158,1142,1012,1228,1119,1250,1152,1149,1153,1158,1142,1012,1228,1119,1250,1152,1149,1153,1158,1142,1012,1228,1119,1250,1152,1149,1153,1158,1142,1012,1228,1119,1250,1152,1149,1153,1158,1142,1012,1228,1119,1250,1152,1149,1153,1158,1142,1012,1228,1119,1250,1152,1149,1153,1158,1142,1012,1228,1119,1250,1152,1149,1153,1158,1142,1012,1228,1119,1250,1152,1149,1153,1158,303
3496,3965,3798,3740,3889,3772,3777,3782,3784,3496,3965,3798,3740,3889,3772,3777,3782,3784,3496,3965,3798,3740,3889,3772,3777,3782,3784,3496,3965,3798,3740,3889,3772,3777,3782,3784,3496,3965,3798,3740,3889,3772,3777,3782,3784,3496,3965,3798,3740,3889,3772,3777,3782,3784,3496,3965,3798,3740,3889,3772,3777,3782,3784,3496,3965,3798,3740,3889,3772,3777,3782,3784,3496,3965,3798,3740,3889,3772,3777,3782,3784,3496,3965,3798,3740,3889,3772,3777,3782,3784,3496,3965,3798,3740,3889,3772,3777,3782,3784,3496,3965,3798,3740,3889,3772,3777,3782,3784,257
5091,4669,5757,4990,4975,5548,5159,5211,5175,5091,4669,5757,4990,4975,5548,5159,5211,5175,5091,4669,5757,4990,4975,5548,5159,5211,5175,5091,4669,5757,4990,4975,5548,5159,5211,5175,5091,4669,5757,4990,4975,5548,5159,5211,5175,5091,4669,5757,4990,4975,5548,5159,5211,5175,5091,4669,5757,4990,4975,5548,5159,5211,5175,5091,4669,5757,4990,4975,5548,5159,5211,5175,5091,4669,5757,4990,4975,5548,5159,5211,5175,5091,4669,5757,4990,4975,5548,5159,5211,5175,5091,4669,5757,4990,4975,5548,5159,5211,5175,5091,4669,5757,4990,4975,5548,5159,5211,5175,423
6973,6713,7272,7014,6971,7024,6964,7034,6998,6973,6713,7272,7014,6971,7024,6964,7034,6998,6973,6713,7272,7014,6971,7024,6964,7034,6998,6973,6713,7272,7014,6971,7024,6964,7034,6998,6973,6713,7272,7014,6971,7024,6964,7034,6998,6973,6713,7272,7014,6971,7024,6964,7034,6998,6973,6713,7272,7014,6971,7024,6964,7034,6998,6973,6713,7272,7014,6971,7024,6964,7034,6998,6973,6713,7272,7014,6971,7024,6964,7034,6998,6973,6713,7272,7014,6971,7024,6964,7034,6998,6973,6713,7272,7014,6971,7024,6964,7034,6998,6973,6713,7272,7014,6971,7024,6964,7034,6998,526
968,1113,759,1679,675,1433,1327,984,1291,968,1113,759,1679,675,1433,1327,984,1291,968,1113,759,1679,675,1433,1327,984,1291,968,1113,759,1679,675,1433,1327,984,1291,968,1113,759,1679,675,1433,1327,984,1291,968,1113,759,1679,675,1433,1327,984,1291,968,1113,759,1679,675,1433,1327,984,1291,968,1113,759,1679,675,1433,1327,984,1291,968,1113,759,1679,675,1433,1327,984,1291,968,1113,759,1679,675,1433,1327,984,1291,968,1113,759,1679,675,1433,1327,984,1291,968,1113,759,1679,675,1433,1327,984,1291,47
1414,1350,1185,1440,1621,1690,1224,1474,1693,1414,1350,1185,1440,1621,1690,1224,1474,1693,1414,1350,1185,1440,1621,1690,1224,1474,1693,1414,1350,1185,1440,1621,1690,1224,1474,1693,1414,1350,1185,1440,1621,1690,1224,1474,1693,1414,1350,1185,1440,1621,1690,1224,1474,1693,1414,1350,1185,1440,1621,1690,1224,1474,1693,1414,1350,1185,1440,1621,1690,1224,1474,1693,1414,1350,1185,1440,1621,1690,1224,1474,1693,1414,1350,1185,1440,1621,1690,1224,1474,1693,1414,1350,1185,1440,1621,1690,1224,1474,1693,1414,1350,1185,1440,1621,1690,1224,1474,1693,187
5146,5997,5907,5024,6378,5687,5522,5299,6254,5146,5997,5907,5024,6378,5687,5522,5299,6254,5146,5997,5907,5024,6378,5687,5522,5299,6254,5146,5997,5907,5024,6378,5687,5522,5299,6254,5146,5997,5907,5024,6378,5687,5522,5299,6254,5146,5997,5907,5024,6378,5687,5522,5299,6254,5146,5997,5907,5024,6378,5687,5522,5299,6254,5146,5997,5907,5024,6378,5687,5522,5299,6254,5146,5997,5907,5024,6378,5687,5522,5299,6254,5146,5997,5907,5024,6378,5687,5522,5299,6254,5146,5997,5907,5024,6378,5687,5522,5299,6254,5146,5997,5907,5024,6378,5687,5522,5299,6254,455
33,38,36,34,37,35,36,35,36,33,38,36,34,37,35,36,35,36,33,38,36,34,37,35,36,35,36,33,38,36,34,37,35,36,35,36,33,38,36,34,37,35,36,35,36,33,38,36,34,37,35,36,35,36,33,38,36,34,37,35,36,35,36,33,38,36,34,37,35,36,35,36,33,38,36,34,37,35,36,35,36,33,38,36,34,37,35,36,35,36,33,38,36,34,37,35,36,35,36,33,38,36,34,37,35,36,35,36,91
2330,2207,2634,2642,2487,2456,2466,2471,2567,2330,2207,2634,2642,2487,2456,2466,2471,2567,2330,2207,2634,2642,2487,2456,2466,2471,2567,2330,2207,2634,2642,2487,2456,2466,2471,2567,2330,2207,2634,2642,2487,2456,2466,2471,2567,2330,2207,2634,2642,2487,2456,2466,2471,2567,2330,2207,2634,2642,2487,2456,2466,2471,2567,2330,2207,2634,2642,2487,2456,2466,2471,2567,2330,2207,2634,2642,2487,2456,2466,2471,2567,2330,2207,2634,2642,2487,2456,2466,2471,2567,2330,2207,2634,2642,2487,2456,2466,2471,2567,2330,2207,2634,2642,2487,2456,2466,2471,2567,502
385,474,179,674,374,572,509,479,481,385,474,179,674,374,572,509,479,481,385,474,179,674,374,572,509,479,481,385,474,179,674,374,572,509,479,481,385,474,179,674,374,572,509,479,481,385,474,179,674,374,572,509,479,481,385,474,179,674,374,572,509,479,481,385,474,179,674,374,572,509,479,481,385,474,179,674,374,572,509,479,481,385,474,179,674,374,572,509,479,481,385,474,179,674,374,572,509,479,481,385,474,179,674,374,572,509,479,481,28
644,881,862,799,755,699,577,1227,809,644,881,862,799,755,699,577,1227,809,644,881,862,799,755,699,577,1227,809,644,881,862,799,755,699,577,1227,809,644,881,862,799,755,699,577,1227,809,644,881,862,799,755,699,577,1227,809,644,881,862,799,755,699,577,1227,809,644,881,862,799,755,699,577,1227,809,644,881,862,799,755,699,577,1227,809,644,881,862,799,755,699,577,1227,809,644,881,862,799,755,699,577,1227,809,644,881,862,799,755,699,577,1227,809,29
4743,4704,4273,5590,3404,3005,6996,5222,5667,4743,4704,4273,5590,3404,3005,6996,5222,5667,4743,4704,4273,5590,3404,3005,6996,5222,5667,4743,4704,4273,5590,3404,3005,6996,5222,5667,4743,4704,4273,5590,3404,3005,6996,5222,5667,4743,4704,4273,5590,3404,3005,6996,5222,5667,4743,4704,4273,5590,3404,3005,6996,5222,5667,4743,4704,4273,5590,3404,3005,6996,5222,5667,4743,4704,4273,5590,3404,3005,6996,5222,5667,4743,4704,4273,5590,3404,3005,6996,5222,5667,4743,4704,4273,5590,3404,3005,6996,5222,5667,4743,4704,4273,5590,3404,3005,6996,5222,5667,447
3389,3513,3443,3586,3508,3468,3490,3456,3549,3389,3513,3443,3586,3508,3468,3490,3456,3549,3389,3513,3443,3586,3508,3468,3490,3456,3549,3389,3513,3443,3586,3508,3468,3490,3456,3549,3389,3513,3443,3586,3508,3468,3490,3456,3549,3389,3513,3443,3586,3508,3468,3490,3456,3549,3389,3513,3443,3586,3508,3468,3490,3456,3549,3389,3513,3443,3586,3508,3468,3490,3456,3549,3389,3513,3443,3586,3508,3468,3490,3456,3549,3389,3513,3443,3586,3508,3468,3490,3456,3549,3389,3513,3443,3586,3508,3468,3490,3456,3549,3389,3513,3443,3586,3508,3468,3490,3456,3549,396
703,739,728,742,712,741,686,727,774,703,739,728,742,712,741,686,727,774,703,739,728,742,712,741,686,727,774,703,739,728,742,712,741,686,727,774,703,739,728,742,712,741,686,727,774,703,739,728,742,712,741,686,727,774,703,739,728,742,712,741,686,727,774,703,739,728,742,712,741,686,727,774,703,739,728,742,712,741,686,727,774,703,739,728,742,712,741,686,727,774,703,739,728,742,712,741,686,727,774,703,739,728,742,712,741,686,727,774,356
2483,3129,2807,2344,3030,2922,2768,2976,2808,2483,3129,2807,2344,3030,2922,2768,2976,2808,2483,3129,2807,2344,3030,2922,2768,2976,2808,2483,3129,2807,2344,3030,2922,2768,2976,2808,2483,3129,2807,2344,3030,2922,2768,2976,2808,2483,3129,2807,2344,3030,2922,2768,2976,2808,2483,3129,2807,2344,3030,2922,2768,2976,2808,2483,3129,2807,2344,3030,2922,2768,2976,2808,2483,3129,2807,2344,3030,2922,2768,2976,2808,2483,3129,2807,2344,3030,2922,2768,2976,2808,2483,3129,2807,2344,3030,2922,2768,2976,2808,2483,3129,2807,2344,3030,2922,2768,2976,2808,337
1676,2137,2073,2127,2064,1749,2282,2066,2023,1676,2137,2073,2127,2064,1749,2282,2066,2023,1676,2137,2073,2127,2064,1749,2282,2066,2023,1676,2137,2073,2127,2064,1749,2282,2066,2023,1676,2137,2073,2127,2064,1749,2282,2066,2023,1676,2137,2073,2127,2064,1749,2282,2066,2023,1676,2137,2073,2127,2064,1749,2282,2066,2023,1676,2137,2073,2127,2064,1749,2282,2066,2023,1676,2137,2073,2127,2064,1749,2282,2066,2023,1676,2137,2073,2127,2064,1749,2282,2066,2023,1676,2137,2073,2127,2064,1749,2282,2066,2023,1676,2137,2073,2127,2064,1749,2282,2066,2023,183
851,858,859,614,1104,772,967,881,871,851,858,859,614,1104,772,967,881,871,851,858,859,614,1104,772,967,881,871,851,858,859,614,1104,772,967,881,871,851,858,859,614,1104,772,967,881,871,851,858,859,614,1104,772,967,881,871,851,858,859,614,1104,772,967,881,871,851,858,859,614,1104,772,967,881,871,851,858,859,614,1104,772,967,881,871,851,858,859,614,1104,772,967,881,871,851,858,859,614,1104,772,967,881,871,851,858,859,614,1104,772,967,881,871,320
220,1072,666,637,628,695,655,654,654,220,1072,666,637,628,695,655,654,654,220,1072,666,637,628,695,655,654,654,220,1072,666,637,628,695,655,654,654,220,1072,666,637,628,695,655,654,654,220,1072,666,637,628,695,655,654,654,220,1072,666,637,628,695,655,654,654,220,1072,666,637,628,695,655,654,654,220,1072,666,637,628,695,655,654,654,220,1072,666,637,628,695,655,654,654,220,1072,666,637,628,695,655,654,654,220,1072,666,637,628,695,655,654,654,318
