band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,census_code
1635,1735,1751,1817,1730,1530,1939,1751,1747,1739,1635,1735,1751,1817,1730,1530,1939,1751,1747,1739,1635,1735,1751,1817,1730,1530,1939,1751,1747,1739,1635,1735,1751,1817,1730,1530,1939,1751,1747,1739,1635,1735,1751,1817,1730,1530,1939,1751,1747,1739,1635,1735,1751,1817,1730,1530,1939,1751,1747,1739,1635,1735,1751,1817,1730,1530,1939,1751,1747,1739,1635,1735,1751,1817,1730,1530,1939,1751,1747,1739,1635,1735,1751,1817,1730,1530,1939,1751,1747,1739,1635,1735,1751,1817,1730,1530,1939,1751,1747,1739,1635,1735,1751,1817,1730,1530,1939,1751,1747,1739,1635,1735,1751,1817,1730,1530,1939,1751,1747,1739,622
1971,1977,1971,1959,1971,1990,1982,1969,1981,1975,1971,1977,1971,1959,1971,1990,1982,1969,1981,1975,1971,1977,1971,1959,1971,1990,1982,1969,1981,1975,1971,1977,1971,1959,1971,1990,1982,1969,1981,1975,1971,1977,1971,1959,1971,1990,1982,1969,1981,1975,1971,1977,1971,1959,1971,1990,1982,1969,1981,1975,1971,1977,1971,1959,1971,1990,1982,1969,1981,1975,1971,1977,1971,1959,1971,1990,1982,1969,1981,1975,1971,1977,1971,1959,1971,1990,1982,1969,1981,1975,1971,1977,1971,1959,1971,1990,1982,1969,1981,1975,1971,1977,1971,1959,1971,1990,1982,1969,1981,1975,1971,1977,1971,1959,1971,1990,1982,1969,1981,1975,125
1637,1670,1648,1508,1790,1667,1653,1653,1642,1665,1637,1670,1648,1508,1790,1667,1653,1653,1642,1665,1637,1670,1648,1508,1790,1667,1653,1653,1642,1665,1637,1670,1648,1508,1790,1667,1653,1653,1642,1665,1637,1670,1648,1508,1790,1667,1653,1653,1642,1665,1637,1670,1648,1508,1790,1667,1653,1653,1642,1665,1637,1670,1648,1508,1790,1667,1653,1653,1642,1665,1637,1670,1648,1508,1790,1667,1653,1653,1642,1665,1637,1670,1648,1508,1790,1667,1653,1653,1642,1665,1637,1670,1648,1508,1790,1667,1653,1653,1642,1665,1637,1670,1648,1508,1790,1667,1653,1653,1642,1665,1637,1670,1648,1508,1790,1667,1653,1653,1642,1665,347
1031,927,972,1212,861,1212,1012,1038,1048,1045,1031,927,972,1212,861,1212,1012,1038,1048,1045,1031,927,972,1212,861,1212,1012,1038,1048,1045,1031,927,972,1212,861,1212,1012,1038,1048,1045,1031,927,972,1212,861,1212,1012,1038,1048,1045,1031,927,972,1212,861,1212,1012,1038,1048,1045,1031,927,972,1212,861,1212,1012,1038,1048,1045,1031,927,972,1212,861,1212,1012,1038,1048,1045,1031,927,972,1212,861,1212,1012,1038,1048,1045,1031,927,972,1212,861,1212,1012,1038,1048,1045,1031,927,972,1212,861,1212,1012,1038,1048,1045,1031,927,972,1212,861,1212,1012,1038,1048,1045,229
4280,4268,4071,5972,4429,4828,4885,4770,4219,5233,4280,4268,4071,5972,4429,4828,4885,4770,4219,5233,4280,4268,4071,5972,4429,4828,4885,4770,4219,5233,4280,4268,4071,5972,4429,4828,4885,4770,4219,5233,4280,4268,4071,5972,4429,4828,4885,4770,4219,5233,4280,4268,4071,5972,4429,4828,4885,4770,4219,5233,4280,4268,4071,5972,4429,4828,4885,4770,4219,5233,4280,4268,4071,5972,4429,4828,4885,4770,4219,5233,4280,4268,4071,5972,4429,4828,4885,4770,4219,5233,4280,4268,4071,5972,4429,4828,4885,4770,4219,5233,4280,4268,4071,5972,4429,4828,4885,4770,4219,5233,4280,4268,4071,5972,4429,4828,4885,4770,4219,5233,523
2116,1225,2791,796,3845,1654,2154,2732,2325,2670,2116,1225,2791,796,3845,1654,2154,2732,2325,2670,2116,1225,2791,796,3845,1654,2154,2732,2325,2670,2116,1225,2791,796,3845,1654,2154,2732,2325,2670,2116,1225,2791,796,3845,1654,2154,2732,2325,2670,2116,1225,2791,796,3845,1654,2154,2732,2325,2670,2116,1225,2791,796,3845,1654,2154,2732,2325,2670,2116,1225,2791,796,3845,1654,2154,2732,2325,2670,2116,1225,2791,796,3845,1654,2154,2732,2325,2670,2116,1225,2791,796,3845,1654,2154,2732,2325,2670,2116,1225,2791,796,3845,1654,2154,2732,2325,2670,2116,1225,2791,796,3845,1654,2154,2732,2325,2670,167
3690,3167,4221,3843,3806,3617,3765,3980,3780,3765,3690,3167,4221,3843,3806,3617,3765,3980,3780,3765,3690,3167,4221,3843,3806,3617,3765,3980,3780,3765,3690,3167,4221,3843,3806,3617,3765,3980,3780,3765,3690,3167,4221,3843,3806,3617,3765,3980,3780,3765,3690,3167,4221,3843,3806,3617,3765,3980,3780,3765,3690,3167,4221,3843,3806,3617,3765,3980,3780,3765,3690,3167,4221,3843,3806,3617,3765,3980,3780,3765,3690,3167,4221,3843,3806,3617,3765,3980,3780,3765,3690,3167,4221,3843,3806,3617,3765,3980,3780,3765,3690,3167,4221,3843,3806,3617,3765,3980,3780,3765,3690,3167,4221,3843,3806,3617,3765,3980,3780,3765,104
1084,1253,1169,1115,1244,1196,1134,1225,1143,1220,1084,1253,1169,1115,1244,1196,1134,1225,1143,1220,1084,1253,1169,1115,1244,1196,1134,1225,1143,1220,1084,1253,1169,1115,1244,1196,1134,1225,1143,1220,1084,1253,1169,1115,1244,1196,1134,1225,1143,1220,1084,1253,1169,1115,1244,1196,1134,1225,1143,1220,1084,1253,1169,1115,1244,1196,1134,1225,1143,1220,1084,1253,1169,1115,1244,1196,1134,1225,1143,1220,1084,1253,1169,1115,1244,1196,1134,1225,1143,1220,1084,1253,1169,1115,1244,1196,1134,1225,1143,1220,1084,1253,1169,1115,1244,1196,1134,1225,1143,1220,1084,1253,1169,1115,1244,1196,1134,1225,1143,1220,136
1685,1712,1744,1723,1702,1751,1705,1686,1727,1760,1685,1712,1744,1723,1702,1751,1705,1686,1727,1760,1685,1712,1744,1723,1702,1751,1705,1686,1727,1760,1685,1712,1744,1723,1702,1751,1705,1686,1727,1760,1685,1712,1744,1723,1702,1751,1705,1686,1727,1760,1685,1712,1744,1723,1702,1751,1705,1686,1727,1760,1685,1712,1744,1723,1702,1751,1705,1686,1727,1760,1685,1712,1744,1723,1702,1751,1705,1686,1727,1760,1685,1712,1744,1723,1702,1751,1705,1686,1727,1760,1685,1712,1744,1723,1702,1751,1705,1686,1727,1760,1685,1712,1744,1723,1702,1751,1705,1686,1727,1760,1685,1712,1744,1723,1702,1751,1705,1686,1727,1760,309
1441,1798,1997,1232,2572,1232,2490,1906,2111,2108,1441,1798,1997,1232,2572,1232,2490,1906,2111,2108,1441,1798,1997,1232,2572,1232,2490,1906,2111,2108,1441,1798,1997,1232,2572,1232,2490,1906,2111,2108,1441,1798,1997,1232,2572,1232,2490,1906,2111,2108,1441,1798,1997,1232,2572,1232,2490,1906,2111,2108,1441,1798,1997,1232,2572,1232,2490,1906,2111,2108,1441,1798,1997,1232,2572,1232,2490,1906,2111,2108,1441,1798,1997,1232,2572,1232,2490,1906,2111,2108,1441,1798,1997,1232,2572,1232,2490,1906,2111,2108,1441,1798,1997,1232,2572,1232,2490,1906,2111,2108,1441,1798,1997,1232,2572,1232,2490,1906,2111,2108,627
3756,3777,3689,3787,3557,3850,3967,3769,3769,3770,3756,3777,3689,3787,3557,3850,3967,3769,3769,3770,3756,3777,3689,3787,3557,3850,3967,3769,3769,3770,3756,3777,3689,3787,3557,3850,3967,3769,3769,3770,3756,3777,3689,3787,3557,3850,3967,3769,3769,3770,3756,3777,3689,3787,3557,3850,3967,3769,3769,3770,3756,3777,3689,3787,3557,3850,3967,3769,3769,3770,3756,3777,3689,3787,3557,3850,3967,3769,3769,3770,3756,3777,3689,3787,3557,3850,3967,3769,3769,3770,3756,3777,3689,3787,3557,3850,3967,3769,3769,3770,3756,3777,3689,3787,3557,3850,3967,3769,3769,3770,3756,3777,3689,3787,3557,3850,3967,3769,3769,3770,56
880,928,903,810,986,915,903,900,908,904,880,928,903,810,986,915,903,900,908,904,880,928,903,810,986,915,903,900,908,904,880,928,903,810,986,915,903,900,908,904,880,928,903,810,986,915,903,900,908,904,880,928,903,810,986,915,903,900,908,904,880,928,903,810,986,915,903,900,908,904,880,928,903,810,986,915,903,900,908,904,880,928,903,810,986,915,903,900,908,904,880,928,903,810,986,915,903,900,908,904,880,928,903,810,986,915,903,900,908,904,880,928,903,810,986,915,903,900,908,904,174
4145,3996,4339,4143,4305,3896,4432,4108,4135,4357,4145,3996,4339,4143,4305,3896,4432,4108,4135,4357,4145,3996,4339,4143,4305,3896,4432,4108,4135,4357,4145,3996,4339,4143,4305,3896,4432,4108,4135,4357,4145,3996,4339,4143,4305,3896,4432,4108,4135,4357,4145,3996,4339,4143,4305,3896,4432,4108,4135,4357,4145,3996,4339,4143,4305,3896,4432,4108,4135,4357,4145,3996,4339,4143,4305,3896,4432,4108,4135,4357,4145,3996,4339,4143,4305,3896,4432,4108,4135,4357,4145,3996,4339,4143,4305,3896,4432,4108,4135,4357,4145,3996,4339,4143,4305,3896,4432,4108,4135,4357,4145,3996,4339,4143,4305,3896,4432,4108,4135,4357,500
3715,3748,3294,3489,4407,3699,3241,4023,3909,3807,3715,3748,3294,3489,4407,3699,3241,4023,3909,3807,3715,3748,3294,3489,4407,3699,3241,4023,3909,3807,3715,3748,3294,3489,4407,3699,3241,4023,3909,3807,3715,3748,3294,3489,4407,3699,3241,4023,3909,3807,3715,3748,3294,3489,4407,3699,3241,4023,3909,3807,3715,3748,3294,3489,4407,3699,3241,4023,3909,3807,3715,3748,3294,3489,4407,3699,3241,4023,3909,3807,3715,3748,3294,3489,4407,3699,3241,4023,3909,3807,3715,3748,3294,3489,4407,3699,3241,4023,3909,3807,3715,3748,3294,3489,4407,3699,3241,4023,3909,3807,3715,3748,3294,3489,4407,3699,3241,4023,3909,3807,417
5929,5794,5968,5895,6033,5911,5562,6269,5978,5944,5929,5794,5968,5895,6033,5911,5562,6269,5978,5944,5929,5794,5968,5895,6033,5911,5562,6269,5978,5944,5929,5794,5968,5895,6033,5911,5562,6269,5978,5944,5929,5794,5968,5895,6033,5911,5562,6269,5978,5944,5929,5794,5968,5895,6033,5911,5562,6269,5978,5944,5929,5794,5968,5895,6033,5911,5562,6269,5978,5944,5929,5794,5968,5895,6033,5911,5562,6269,5978,5944,5929,5794,5968,5895,6033,5911,5562,6269,5978,5944,5929,5794,5968,5895,6033,5911,5562,6269,5978,5944,5929,5794,5968,5895,6033,5911,5562,6269,5978,5944,5929,5794,5968,5895,6033,5911,5562,6269,5978,5944,539
7928,6678,8253,8527,7018,9383,7762,7919,8168,8009,7928,6678,8253,8527,7018,9383,7762,7919,8168,8009,7928,6678,8253,8527,7018,9383,7762,7919,8168,8009,7928,6678,8253,8527,7018,9383,7762,7919,8168,8009,7928,6678,8253,8527,7018,9383,7762,7919,8168,8009,7928,6678,8253,8527,7018,9383,7762,7919,8168,8009,7928,6678,8253,8527,7018,9383,7762,7919,8168,8009,7928,6678,8253,8527,7018,9383,7762,7919,8168,8009,7928,6678,8253,8527,7018,9383,7762,7919,8168,8009,7928,6678,8253,8527,7018,9383,7762,7919,8168,8009,7928,6678,8253,8527,7018,9383,7762,7919,8168,8009,7928,6678,8253,8527,7018,9383,7762,7919,8168,8009,112
1278,1582,1406,1371,1523,1415,1456,1416,1451,1437,1278,1582,1406,1371,1523,1415,1456,1416,1451,1437,1278,1582,1406,1371,1523,1415,1456,1416,1451,1437,1278,1582,1406,1371,1523,1415,1456,1416,1451,1437,1278,1582,1406,1371,1523,1415,1456,1416,1451,1437,1278,1582,1406,1371,1523,1415,1456,1416,1451,1437,1278,1582,1406,1371,1523,1415,1456,1416,1451,1437,1278,1582,1406,1371,1523,1415,1456,1416,1451,1437,1278,1582,1406,1371,1523,1415,1456,1416,1451,1437,1278,1582,1406,1371,1523,1415,1456,1416,1451,1437,1278,1582,1406,1371,1523,1415,1456,1416,1451,1437,1278,1582,1406,1371,1523,1415,1456,1416,1451,1437,64
2767,2778,2765,2816,2791,2756,2811,2780,2784,2787,2767,2778,2765,2816,2791,2756,2811,2780,2784,2787,2767,2778,2765,2816,2791,2756,2811,2780,2784,2787,2767,2778,2765,2816,2791,2756,2811,2780,2784,2787,2767,2778,2765,2816,2791,2756,2811,2780,2784,2787,2767,2778,2765,2816,2791,2756,2811,2780,2784,2787,2767,2778,2765,2816,2791,2756,2811,2780,2784,2787,2767,2778,2765,2816,2791,2756,2811,2780,2784,2787,2767,2778,2765,2816,2791,2756,2811,2780,2784,2787,2767,2778,2765,2816,2791,2756,2811,2780,2784,2787,2767,2778,2765,2816,2791,2756,2811,2780,2784,2787,2767,2778,2765,2816,2791,2756,2811,2780,2784,2787,458
1806,1803,1809,1806,1693,1914,1785,1830,1765,1849,1806,1803,1809,1806,1693,1914,1785,1830,1765,1849,1806,1803,1809,1806,1693,1914,1785,1830,1765,1849,1806,1803,1809,1806,1693,1914,1785,1830,1765,1849,1806,1803,1809,1806,1693,1914,1785,1830,1765,1849,1806,1803,1809,1806,1693,1914,1785,1830,1765,1849,1806,1803,1809,1806,1693,1914,1785,1830,1765,1849,1806,1803,1809,1806,1693,1914,1785,1830,1765,1849,1806,1803,1809,1806,1693,1914,1785,1830,1765,1849,1806,1803,1809,1806,1693,1914,1785,1830,1765,1849,1806,1803,1809,1806,1693,1914,1785,1830,1765,1849,1806,1803,1809,1806,1693,1914,1785,1830,1765,1849,346
3161,3260,3366,2436,3851,3444,2853,3749,3034,3501,3161,3260,3366,2436,3851,3444,2853,3749,3034,3501,3161,3260,3366,2436,3851,3444,2853,3749,3034,3501,3161,3260,3366,2436,3851,3444,2853,3749,3034,3501,3161,3260,3366,2436,3851,3444,2853,3749,3034,3501,3161,3260,3366,2436,3851,3444,2853,3749,3034,3501,3161,3260,3366,2436,3851,3444,2853,3749,3034,3501,3161,3260,3366,2436,3851,3444,2853,3749,3034,3501,3161,3260,3366,2436,3851,3444,2853,3749,3034,3501,3161,3260,3366,2436,3851,3444,2853,3749,3034,3501,3161,3260,3366,2436,3851,3444,2853,3749,3034,3501,3161,3260,3366,2436,3851,3444,2853,3749,3034,3501,546
1768,1732,1851,1799,1791,1788,1730,1808,1637,1981,1768,1732,1851,1799,1791,1788,1730,1808,1637,1981,1768,1732,1851,1799,1791,1788,1730,1808,1637,1981,1768,1732,1851,1799,1791,1788,1730,1808,1637,1981,1768,1732,1851,1799,1791,1788,1730,1808,1637,1981,1768,1732,1851,1799,1791,1788,1730,1808,1637,1981,1768,1732,1851,1799,1791,1788,1730,1808,1637,1981,1768,1732,1851,1799,1791,1788,1730,1808,1637,1981,1768,1732,1851,1799,1791,1788,1730,1808,1637,1981,1768,1732,1851,1799,1791,1788,1730,1808,1637,1981,1768,1732,1851,1799,1791,1788,1730,1808,1637,1981,1768,1732,1851,1799,1791,1788,1730,1808,1637,1981,625
671,692,662,700,682,671,702,683,685,684,671,692,662,700,682,671,702,683,685,684,671,692,662,700,682,671,702,683,685,684,671,692,662,700,682,671,702,683,685,684,671,692,662,700,682,671,702,683,685,684,671,692,662,700,682,671,702,683,685,684,671,692,662,700,682,671,702,683,685,684,671,692,662,700,682,671,702,683,685,684,671,692,662,700,682,671,702,683,685,684,671,692,662,700,682,671,702,683,685,684,671,692,662,700,682,671,702,683,685,684,671,692,662,700,682,671,702,683,685,684,31
3657,3597,3866,4011,3223,3970,4299,3803,3742,3865,3657,3597,3866,4011,3223,3970,4299,3803,3742,3865,3657,3597,3866,4011,3223,3970,4299,3803,3742,3865,3657,3597,3866,4011,3223,3970,4299,3803,3742,3865,3657,3597,3866,4011,3223,3970,4299,3803,3742,3865,3657,3597,3866,4011,3223,3970,4299,3803,3742,3865,3657,3597,3866,4011,3223,3970,4299,3803,3742,3865,3657,3597,3866,4011,3223,3970,4299,3803,3742,3865,3657,3597,3866,4011,3223,3970,4299,3803,3742,3865,3657,3597,3866,4011,3223,3970,4299,3803,3742,3865,3657,3597,3866,4011,3223,3970,4299,3803,3742,3865,3657,3597,3866,4011,3223,3970,4299,3803,3742,3865,456
5409,5361,5455,5339,5493,5435,5413,5418,5398,5433,5409,5361,5455,5339,5493,5435,5413,5418,5398,5433,5409,5361,5455,5339,5493,5435,5413,5418,5398,5433,5409,5361,5455,5339,5493,5435,5413,5418,5398,5433,5409,5361,5455,5339,5493,5435,5413,5418,5398,5433,5409,5361,5455,5339,5493,5435,5413,5418,5398,5433,5409,5361,5455,5339,5493,5435,5413,5418,5398,5433,5409,5361,5455,5339,5493,5435,5413,5418,5398,5433,5409,5361,5455,5339,5493,5435,5413,5418,5398,5433,5409,5361,5455,5339,5493,5435,5413,5418,5398,5433,5409,5361,5455,5339,5493,5435,5413,5418,5398,5433,5409,5361,5455,5339,5493,5435,5413,5418,5398,5433,540
205,178,244,213,185,221,216,213,187,254,205,178,244,213,185,221,216,213,187,254,205,178,244,213,185,221,216,213,187,254,205,178,244,213,185,221,216,213,187,254,205,178,244,213,185,221,216,213,187,254,205,178,244,213,185,221,216,213,187,254,205,178,244,213,185,221,216,213,187,254,205,178,244,213,185,221,216,213,187,254,205,178,244,213,185,221,216,213,187,254,205,178,244,213,185,221,216,213,187,254,205,178,244,213,185,221,216,213,187,254,205,178,244,213,185,221,216,213,187,254,275
4051,4027,4087,3835,4287,4045,4053,4104,4067,4063,4051,4027,4087,3835,4287,4045,4053,4104,4067,4063,4051,4027,4087,3835,4287,4045,4053,4104,4067,4063,4051,4027,4087,3835,4287,4045,4053,4104,4067,4063,4051,4027,4087,3835,4287,4045,4053,4104,4067,4063,4051,4027,4087,3835,4287,4045,4053,4104,4067,4063,4051,4027,4087,3835,4287,4045,4053,4104,4067,4063,4051,4027,4087,3835,4287,4045,4053,4104,4067,4063,4051,4027,4087,3835,4287,4045,4053,4104,4067,4063,4051,4027,4087,3835,4287,4045,4053,4104,4067,4063,4051,4027,4087,3835,4287,4045,4053,4104,4067,4063,4051,4027,4087,3835,4287,4045,4053,4104,4067,4063,517
1208,887,1845,2475,2592,2849,1820,1722,1730,1208,887,1845,2475,2592,2849,1820,1722,1730,1208,887,1845,2475,2592,2849,1820,1722,1730,1208,887,1845,2475,2592,2849,1820,1722,1730,1208,887,1845,2475,2592,2849,1820,1722,1730,1208,887,1845,2475,2592,2849,1820,1722,1730,1208,887,1845,2475,2592,2849,1820,1722,1730,1208,887,1845,2475,2592,2849,1820,1722,1730,1208,887,1845,2475,2592,2849,1820,1722,1730,1208,887,1845,2475,2592,2849,1820,1722,1730,1208,887,1845,2475,2592,2849,1820,1722,1730,1208,887,1845,2475,2592,2849,1820,1722,1730,35,,,,,,,,,,,,
592,532,626,516,393,775,613,402,850,622,592,532,626,516,393,775,613,402,850,622,592,532,626,516,393,775,613,402,850,622,592,532,626,516,393,775,613,402,850,622,592,532,626,516,393,775,613,402,850,622,592,532,626,516,393,775,613,402,850,622,592,532,626,516,393,775,613,402,850,622,592,532,626,516,393,775,613,402,850,622,592,532,626,516,393,775,613,402,850,622,592,532,626,516,393,775,613,402,850,622,592,532,626,516,393,775,613,402,850,622,592,532,626,516,393,775,613,402,850,622,361
53,35,52,83,87,72,64,44,97,68,53,35,52,83,87,72,64,44,97,68,53,35,52,83,87,72,64,44,97,68,53,35,52,83,87,72,64,44,97,68,53,35,52,83,87,72,64,44,97,68,53,35,52,83,87,72,64,44,97,68,53,35,52,83,87,72,64,44,97,68,53,35,52,83,87,72,64,44,97,68,53,35,52,83,87,72,64,44,97,68,53,35,52,83,87,72,64,44,97,68,53,35,52,83,87,72,64,44,97,68,53,35,52,83,87,72,64,44,97,68,609
1359,1865,1562,1647,1783,1697,1543,2046,1526,1853,1359,1865,1562,1647,1783,1697,1543,2046,1526,1853,1359,1865,1562,1647,1783,1697,1543,2046,1526,1853,1359,1865,1562,1647,1783,1697,1543,2046,1526,1853,1359,1865,1562,1647,1783,1697,1543,2046,1526,1853,1359,1865,1562,1647,1783,1697,1543,2046,1526,1853,1359,1865,1562,1647,1783,1697,1543,2046,1526,1853,1359,1865,1562,1647,1783,1697,1543,2046,1526,1853,1359,1865,1562,1647,1783,1697,1543,2046,1526,1853,1359,1865,1562,1647,1783,1697,1543,2046,1526,1853,1359,1865,1562,1647,1783,1697,1543,2046,1526,1853,1359,1865,1562,1647,1783,1697,1543,2046,1526,1853,299
1718,1732,1728,1717,1669,1786,1737,1737,1721,1736,1718,1732,1728,1717,1669,1786,1737,1737,1721,1736,1718,1732,1728,1717,1669,1786,1737,1737,1721,1736,1718,1732,1728,1717,1669,1786,1737,1737,1721,1736,1718,1732,1728,1717,1669,1786,1737,1737,1721,1736,1718,1732,1728,1717,1669,1786,1737,1737,1721,1736,1718,1732,1728,1717,1669,1786,1737,1737,1721,1736,1718,1732,1728,1717,1669,1786,1737,1737,1721,1736,1718,1732,1728,1717,1669,1786,1737,1737,1721,1736,1718,1732,1728,1717,1669,1786,1737,1737,1721,1736,1718,1732,1728,1717,1669,1786,1737,1737,1721,1736,1718,1732,1728,1717,1669,1786,1737,1737,1721,1736,389
997,1014,1388,1181,1102,368,1664,760,1614,1371,997,1014,1388,1181,1102,368,1664,760,1614,1371,997,1014,1388,1181,1102,368,1664,760,1614,1371,997,1014,1388,1181,1102,368,1664,760,1614,1371,997,1014,1388,1181,1102,368,1664,760,1614,1371,997,1014,1388,1181,1102,368,1664,760,1614,1371,997,1014,1388,1181,1102,368,1664,760,1614,1371,997,1014,1388,1181,1102,368,1664,760,1614,1371,997,1014,1388,1181,1102,368,1664,760,1614,1371,997,1014,1388,1181,1102,368,1664,760,1614,1371,997,1014,1388,1181,1102,368,1664,760,1614,1371,997,1014,1388,1181,1102,368,1664,760,1614,1371,190
826,887,672,678,511,754,855,1607,924,891,826,887,672,678,511,754,855,1607,924,891,826,887,672,678,511,754,855,1607,924,891,826,887,672,678,511,754,855,1607,924,891,826,887,672,678,511,754,855,1607,924,891,826,887,672,678,511,754,855,1607,924,891,826,887,672,678,511,754,855,1607,924,891,826,887,672,678,511,754,855,1607,924,891,826,887,672,678,511,754,855,1607,924,891,826,887,672,678,511,754,855,1607,924,891,826,887,672,678,511,754,855,1607,924,891,826,887,672,678,511,754,855,1607,924,891,8
614,645,620,615,648,510,750,626,599,669,614,645,620,615,648,510,750,626,599,669,614,645,620,615,648,510,750,626,599,669,614,645,620,615,648,510,750,626,599,669,614,645,620,615,648,510,750,626,599,669,614,645,620,615,648,510,750,626,599,669,614,645,620,615,648,510,750,626,599,669,614,645,620,615,648,510,750,626,599,669,614,645,620,615,648,510,750,626,599,669,614,645,620,615,648,510,750,626,599,669,614,645,620,615,648,510,750,626,599,669,614,645,620,615,648,510,750,626,599,669,341
870,1046,934,942,932,1016,968,958,951,966,870,1046,934,942,932,1016,968,958,951,966,870,1046,934,942,932,1016,968,958,951,966,870,1046,934,942,932,1016,968,958,951,966,870,1046,934,942,932,1016,968,958,951,966,870,1046,934,942,932,1016,968,958,951,966,870,1046,934,942,932,1016,968,958,951,966,870,1046,934,942,932,1016,968,958,951,966,870,1046,934,942,932,1016,968,958,951,966,870,1046,934,942,932,1016,968,958,951,966,870,1046,934,942,932,1016,968,958,951,966,870,1046,934,942,932,1016,968,958,951,966,490
775,767,773,754,805,727,830,753,646,929,775,767,773,754,805,727,830,753,646,929,775,767,773,754,805,727,830,753,646,929,775,767,773,754,805,727,830,753,646,929,775,767,773,754,805,727,830,753,646,929,775,767,773,754,805,727,830,753,646,929,775,767,773,754,805,727,830,753,646,929,775,767,773,754,805,727,830,753,646,929,775,767,773,754,805,727,830,753,646,929,775,767,773,754,805,727,830,753,646,929,775,767,773,754,805,727,830,753,646,929,775,767,773,754,805,727,830,753,646,929,271
1228,1517,1172,1552,1402,1348,1357,1403,1395,1380,1228,1517,1172,1552,1402,1348,1357,1403,1395,1380,1228,1517,1172,1552,1402,1348,1357,1403,1395,1380,1228,1517,1172,1552,1402,1348,1357,1403,1395,1380,1228,1517,1172,1552,1402,1348,1357,1403,1395,1380,1228,1517,1172,1552,1402,1348,1357,1403,1395,1380,1228,1517,1172,1552,1402,1348,1357,1403,1395,1380,1228,1517,1172,1552,1402,1348,1357,1403,1395,1380,1228,1517,1172,1552,1402,1348,1357,1403,1395,1380,1228,1517,1172,1552,1402,1348,1357,1403,1395,1380,1228,1517,1172,1552,1402,1348,1357,1403,1395,1380,1228,1517,1172,1552,1402,1348,1357,1403,1395,1380,290
255,194,240,297,291,223,339,247,278,263,255,194,240,297,291,223,339,247,278,263,255,194,240,297,291,223,339,247,278,263,255,194,240,297,291,223,339,247,278,263,255,194,240,297,291,223,339,247,278,263,255,194,240,297,291,223,339,247,278,263,255,194,240,297,291,223,339,247,278,263,255,194,240,297,291,223,339,247,278,263,255,194,240,297,291,223,339,247,278,263,255,194,240,297,291,223,339,247,278,263,255,194,240,297,291,223,339,247,278,263,255,194,240,297,291,223,339,247,278,263,13
1094,1659,2256,2753,2006,1887,2171,2185,2255,2173,1094,1659,2256,2753,2006,1887,2171,2185,2255,2173,1094,1659,2256,2753,2006,1887,2171,2185,2255,2173,1094,1659,2256,2753,2006,1887,2171,2185,2255,2173,1094,1659,2256,2753,2006,1887,2171,2185,2255,2173,1094,1659,2256,2753,2006,1887,2171,2185,2255,2173,1094,1659,2256,2753,2006,1887,2171,2185,2255,2173,1094,1659,2256,2753,2006,1887,2171,2185,2255,2173,1094,1659,2256,2753,2006,1887,2171,2185,2255,2173,1094,1659,2256,2753,2006,1887,2171,2185,2255,2173,1094,1659,2256,2753,2006,1887,2171,2185,2255,2173,1094,1659,2256,2753,2006,1887,2171,2185,2255,2173,165
618,614,629,614,616,624,435,587,845,622,618,614,629,614,616,624,435,587,845,622,618,614,629,614,616,624,435,587,845,622,618,614,629,614,616,624,435,587,845,622,618,614,629,614,616,624,435,587,845,622,618,614,629,614,616,624,435,587,845,622,618,614,629,614,616,624,435,587,845,622,618,614,629,614,616,624,435,587,845,622,618,614,629,614,616,624,435,587,845,622,618,614,629,614,616,624,435,587,845,622,618,614,629,614,616,624,435,587,845,622,618,614,629,614,616,624,435,587,845,622,2
