band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,census_code
2863,3990,3425,3428,3287,3538,3426,3439,3442,3424,3429,2863,3990,3425,3428,3287,3538,3426,3439,3442,3424,3429,2863,3990,3425,3428,3287,3538,3426,3439,3442,3424,3429,2863,3990,3425,3428,3287,3538,3426,3439,3442,3424,3429,2863,3990,3425,3428,3287,3538,3426,3439,3442,3424,3429,2863,3990,3425,3428,3287,3538,3426,3439,3442,3424,3429,2863,3990,3425,3428,3287,3538,3426,3439,3442,3424,3429,2863,3990,3425,3428,3287,3538,3426,3439,3442,3424,3429,2863,3990,3425,3428,3287,3538,3426,3439,3442,3424,3429,2863,3990,3425,3428,3287,3538,3426,3439,3442,3424,3429,2863,3990,3425,3428,3287,3538,3426,3439,3442,3424,3429,2863,3990,3425,3428,3287,3538,3426,3439,3442,3424,3429,56
817,804,832,830,817,815,835,808,834,816,829,817,804,832,830,817,815,835,808,834,816,829,817,804,832,830,817,815,835,808,834,816,829,817,804,832,830,817,815,835,808,834,816,829,817,804,832,830,817,815,835,808,834,816,829,817,804,832,830,817,815,835,808,834,816,829,817,804,832,830,817,815,835,808,834,816,829,817,804,832,830,817,815,835,808,834,816,829,817,804,832,830,817,815,835,808,834,816,829,817,804,832,830,817,815,835,808,834,816,829,817,804,832,830,817,815,835,808,834,816,829,817,804,832,830,817,815,835,808,834,816,829,174
3572,3942,3770,3595,2905,4553,3150,4902,3847,3768,3852,3572,3942,3770,3595,2905,4553,3150,4902,3847,3768,3852,3572,3942,3770,3595,2905,4553,3150,4902,3847,3768,3852,3572,3942,3770,3595,2905,4553,3150,4902,3847,3768,3852,3572,3942,3770,3595,2905,4553,3150,4902,3847,3768,3852,3572,3942,3770,3595,2905,4553,3150,4902,3847,3768,3852,3572,3942,3770,3595,2905,4553,3150,4902,3847,3768,3852,3572,3942,3770,3595,2905,4553,3150,4902,3847,3768,3852,3572,3942,3770,3595,2905,4553,3150,4902,3847,3768,3852,3572,3942,3770,3595,2905,4553,3150,4902,3847,3768,3852,3572,3942,3770,3595,2905,4553,3150,4902,3847,3768,3852,3572,3942,3770,3595,2905,4553,3150,4902,3847,3768,3852,500
2790,3996,3352,3415,3398,2929,2807,3842,3904,3092,3807,2790,3996,3352,3415,3398,2929,2807,3842,3904,3092,3807,2790,3996,3352,3415,3398,2929,2807,3842,3904,3092,3807,2790,3996,3352,3415,3398,2929,2807,3842,3904,3092,3807,2790,3996,3352,3415,3398,2929,2807,3842,3904,3092,3807,2790,3996,3352,3415,3398,2929,2807,3842,3904,3092,3807,2790,3996,3352,3415,3398,2929,2807,3842,3904,3092,3807,2790,3996,3352,3415,3398,2929,2807,3842,3904,3092,3807,2790,3996,3352,3415,3398,2929,2807,3842,3904,3092,3807,2790,3996,3352,3415,3398,2929,2807,3842,3904,3092,3807,2790,3996,3352,3415,3398,2929,2807,3842,3904,3092,3807,2790,3996,3352,3415,3398,2929,2807,3842,3904,3092,3807,417
5333,5374,5234,5610,5381,4789,6004,5260,5512,5197,5589,5333,5374,5234,5610,5381,4789,6004,5260,5512,5197,5589,5333,5374,5234,5610,5381,4789,6004,5260,5512,5197,5589,5333,5374,5234,5610,5381,4789,6004,5260,5512,5197,5589,5333,5374,5234,5610,5381,4789,6004,5260,5512,5197,5589,5333,5374,5234,5610,5381,4789,6004,5260,5512,5197,5589,5333,5374,5234,5610,5381,4789,6004,5260,5512,5197,5589,5333,5374,5234,5610,5381,4789,6004,5260,5512,5197,5589,5333,5374,5234,5610,5381,4789,6004,5260,5512,5197,5589,5333,5374,5234,5610,5381,4789,6004,5260,5512,5197,5589,5333,5374,5234,5610,5381,4789,6004,5260,5512,5197,5589,5333,5374,5234,5610,5381,4789,6004,5260,5512,5197,5589,539
7045,7426,7045,7390,7296,6077,8388,7229,7268,7162,7319,7045,7426,7045,7390,7296,6077,8388,7229,7268,7162,7319,7045,7426,7045,7390,7296,6077,8388,7229,7268,7162,7319,7045,7426,7045,7390,7296,6077,8388,7229,7268,7162,7319,7045,7426,7045,7390,7296,6077,8388,7229,7268,7162,7319,7045,7426,7045,7390,7296,6077,8388,7229,7268,7162,7319,7045,7426,7045,7390,7296,6077,8388,7229,7268,7162,7319,7045,7426,7045,7390,7296,6077,8388,7229,7268,7162,7319,7045,7426,7045,7390,7296,6077,8388,7229,7268,7162,7319,7045,7426,7045,7390,7296,6077,8388,7229,7268,7162,7319,7045,7426,7045,7390,7296,6077,8388,7229,7268,7162,7319,7045,7426,7045,7390,7296,6077,8388,7229,7268,7162,7319,112
1278,1136,1392,1407,1280,1165,1463,1295,1312,1282,1325,1278,1136,1392,1407,1280,1165,1463,1295,1312,1282,1325,1278,1136,1392,1407,1280,1165,1463,1295,1312,1282,1325,1278,1136,1392,1407,1280,1165,1463,1295,1312,1282,1325,1278,1136,1392,1407,1280,1165,1463,1295,1312,1282,1325,1278,1136,1392,1407,1280,1165,1463,1295,1312,1282,1325,1278,1136,1392,1407,1280,1165,1463,1295,1312,1282,1325,1278,1136,1392,1407,1280,1165,1463,1295,1312,1282,1325,1278,1136,1392,1407,1280,1165,1463,1295,1312,1282,1325,1278,1136,1392,1407,1280,1165,1463,1295,1312,1282,1325,1278,1136,1392,1407,1280,1165,1463,1295,1312,1282,1325,1278,1136,1392,1407,1280,1165,1463,1295,1312,1282,1325,64
2531,2327,2659,2509,2356,2615,2689,2557,2479,2540,2573,2531,2327,2659,2509,2356,2615,2689,2557,2479,2540,2573,2531,2327,2659,2509,2356,2615,2689,2557,2479,2540,2573,2531,2327,2659,2509,2356,2615,2689,2557,2479,2540,2573,2531,2327,2659,2509,2356,2615,2689,2557,2479,2540,2573,2531,2327,2659,2509,2356,2615,2689,2557,2479,2540,2573,2531,2327,2659,2509,2356,2615,2689,2557,2479,2540,2573,2531,2327,2659,2509,2356,2615,2689,2557,2479,2540,2573,2531,2327,2659,2509,2356,2615,2689,2557,2479,2540,2573,2531,2327,2659,2509,2356,2615,2689,2557,2479,2540,2573,2531,2327,2659,2509,2356,2615,2689,2557,2479,2540,2573,2531,2327,2659,2509,2356,2615,2689,2557,2479,2540,2573,458
1575,1705,1637,1643,1648,1484,1800,1534,1750,1608,1676,1575,1705,1637,1643,1648,1484,1800,1534,1750,1608,1676,1575,1705,1637,1643,1648,1484,1800,1534,1750,1608,1676,1575,1705,1637,1643,1648,1484,1800,1534,1750,1608,1676,1575,1705,1637,1643,1648,1484,1800,1534,1750,1608,1676,1575,1705,1637,1643,1648,1484,1800,1534,1750,1608,1676,1575,1705,1637,1643,1648,1484,1800,1534,1750,1608,1676,1575,1705,1637,1643,1648,1484,1800,1534,1750,1608,1676,1575,1705,1637,1643,1648,1484,1800,1534,1750,1608,1676,1575,1705,1637,1643,1648,1484,1800,1534,1750,1608,1676,1575,1705,1637,1643,1648,1484,1800,1534,1750,1608,1676,1575,1705,1637,1643,1648,1484,1800,1534,1750,1608,1676,346
2952,2655,3299,2657,2916,2035,4215,2534,3375,3031,2986,2952,2655,3299,2657,2916,2035,4215,2534,3375,3031,2986,2952,2655,3299,2657,2916,2035,4215,2534,3375,3031,2986,2952,2655,3299,2657,2916,2035,4215,2534,3375,3031,2986,2952,2655,3299,2657,2916,2035,4215,2534,3375,3031,2986,2952,2655,3299,2657,2916,2035,4215,2534,3375,3031,2986,2952,2655,3299,2657,2916,2035,4215,2534,3375,3031,2986,2952,2655,3299,2657,2916,2035,4215,2534,3375,3031,2986,2952,2655,3299,2657,2916,2035,4215,2534,3375,3031,2986,2952,2655,3299,2657,2916,2035,4215,2534,3375,3031,2986,2952,2655,3299,2657,2916,2035,4215,2534,3375,3031,2986,2952,2655,3299,2657,2916,2035,4215,2534,3375,3031,2986,546
1600,1650,1619,1582,1654,1490,1778,1587,1512,1699,1714,1600,1650,1619,1582,1654,1490,1778,1587,1512,1699,1714,1600,1650,1619,1582,1654,1490,1778,1587,1512,1699,1714,1600,1650,1619,1582,1654,1490,1778,1587,1512,1699,1714,1600,1650,1619,1582,1654,1490,1778,1587,1512,1699,1714,1600,1650,1619,1582,1654,1490,1778,1587,1512,1699,1714,1600,1650,1619,1582,1654,1490,1778,1587,1512,1699,1714,1600,1650,1619,1582,1654,1490,1778,1587,1512,1699,1714,1600,1650,1619,1582,1654,1490,1778,1587,1512,1699,1714,1600,1650,1619,1582,1654,1490,1778,1587,1512,1699,1714,1600,1650,1619,1582,1654,1490,1778,1587,1512,1699,1714,1600,1650,1619,1582,1654,1490,1778,1587,1512,1699,1714,625
597,630,591,664,623,612,622,628,621,615,629,597,630,591,664,623,612,622,628,621,615,629,597,630,591,664,623,612,622,628,621,615,629,597,630,591,664,623,612,622,628,621,615,629,597,630,591,664,623,612,622,628,621,615,629,597,630,591,664,623,612,622,628,621,615,629,597,630,591,664,623,612,622,628,621,615,629,597,630,591,664,623,612,622,628,621,615,629,597,630,591,664,623,612,622,628,621,615,629,597,630,591,664,623,612,622,628,621,615,629,597,630,591,664,623,612,622,628,621,615,629,597,630,591,664,623,612,622,628,621,615,629,31
3452,3397,3495,3484,2796,3995,3466,3515,3464,3104,3865,3452,3397,3495,3484,2796,3995,3466,3515,3464,3104,3865,3452,3397,3495,3484,2796,3995,3466,3515,3464,3104,3865,3452,3397,3495,3484,2796,3995,3466,3515,3464,3104,3865,3452,3397,3495,3484,2796,3995,3466,3515,3464,3104,3865,3452,3397,3495,3484,2796,3995,3466,3515,3464,3104,3865,3452,3397,3495,3484,2796,3995,3466,3515,3464,3104,3865,3452,3397,3495,3484,2796,3995,3466,3515,3464,3104,3865,3452,3397,3495,3484,2796,3995,3466,3515,3464,3104,3865,3452,3397,3495,3484,2796,3995,3466,3515,3464,3104,3865,3452,3397,3495,3484,2796,3995,3466,3515,3464,3104,3865,3452,3397,3495,3484,2796,3995,3466,3515,3464,3104,3865,456
4894,4951,4922,4513,5303,4949,4929,4883,4857,5029,4924,4894,4951,4922,4513,5303,4949,4929,4883,4857,5029,4924,4894,4951,4922,4513,5303,4949,4929,4883,4857,5029,4924,4894,4951,4922,4513,5303,4949,4929,4883,4857,5029,4924,4894,4951,4922,4513,5303,4949,4929,4883,4857,5029,4924,4894,4951,4922,4513,5303,4949,4929,4883,4857,5029,4924,4894,4951,4922,4513,5303,4949,4929,4883,4857,5029,4924,4894,4951,4922,4513,5303,4949,4929,4883,4857,5029,4924,4894,4951,4922,4513,5303,4949,4929,4883,4857,5029,4924,4894,4951,4922,4513,5303,4949,4929,4883,4857,5029,4924,4894,4951,4922,4513,5303,4949,4929,4883,4857,5029,4924,4894,4951,4922,4513,5303,4949,4929,4883,4857,5029,4924,540
191,192,175,189,195,189,115,216,213,187,254,191,192,175,189,195,189,115,216,213,187,254,191,192,175,189,195,189,115,216,213,187,254,191,192,175,189,195,189,115,216,213,187,254,191,192,175,189,195,189,115,216,213,187,254,191,192,175,189,195,189,115,216,213,187,254,191,192,175,189,195,189,115,216,213,187,254,191,192,175,189,195,189,115,216,213,187,254,191,192,175,189,195,189,115,216,213,187,254,191,192,175,189,195,189,115,216,213,187,254,191,192,175,189,195,189,115,216,213,187,254,191,192,175,189,195,189,115,216,213,187,254,275
3586,3790,3671,3724,3535,3826,3712,3694,3688,3696,3697,3586,3790,3671,3724,3535,3826,3712,3694,3688,3696,3697,3586,3790,3671,3724,3535,3826,3712,3694,3688,3696,3697,3586,3790,3671,3724,3535,3826,3712,3694,3688,3696,3697,3586,3790,3671,3724,3535,3826,3712,3694,3688,3696,3697,3586,3790,3671,3724,3535,3826,3712,3694,3688,3696,3697,3586,3790,3671,3724,3535,3826,3712,3694,3688,3696,3697,3586,3790,3671,3724,3535,3826,3712,3694,3688,3696,3697,3586,3790,3671,3724,3535,3826,3712,3694,3688,3696,3697,3586,3790,3671,3724,3535,3826,3712,3694,3688,3696,3697,3586,3790,3671,3724,3535,3826,3712,3694,3688,3696,3697,3586,3790,3671,3724,3535,3826,3712,3694,3688,3696,3697,517
1208,887,1845,2274,201,2592,1889,1546,1561,1540,1585,1208,887,1845,2274,201,2592,1889,1546,1561,1540,1585,1208,887,1845,2274,201,2592,1889,1546,1561,1540,1585,1208,887,1845,2274,201,2592,1889,1546,1561,1540,1585,1208,887,1845,2274,201,2592,1889,1546,1561,1540,1585,1208,887,1845,2274,201,2592,1889,1546,1561,1540,1585,1208,887,1845,2274,201,2592,1889,1546,1561,1540,1585,1208,887,1845,2274,201,2592,1889,1546,1561,1540,1585,1208,887,1845,2274,201,2592,1889,1546,1561,1540,1585,1208,887,1845,2274,201,2592,1889,1546,1561,1540,1585,1208,887,1845,2274,201,2592,1889,1546,1561,1540,1585,1208,887,1845,2274,201,2592,1889,1546,1561,1540,1585,35
532,489,547,575,516,475,480,580,598,507,622,532,489,547,575,516,475,480,580,598,507,622,532,489,547,575,516,475,480,580,598,507,622,532,489,547,575,516,475,480,580,598,507,622,532,489,547,575,516,475,480,580,598,507,622,532,489,547,575,516,475,480,580,598,507,622,532,489,547,575,516,475,480,580,598,507,622,532,489,547,575,516,475,480,580,598,507,622,532,489,547,575,516,475,480,580,598,507,622,532,489,547,575,516,475,480,580,598,507,622,532,489,547,575,516,475,480,580,598,507,622,532,489,547,575,516,475,480,580,598,507,622,361
53,35,52,83,87,72,64,84,57,68,53,35,52,83,87,72,64,84,57,68,53,35,52,83,87,72,64,84,57,68,53,35,52,83,87,72,64,84,57,68,53,35,52,83,87,72,64,84,57,68,53,35,52,83,87,72,64,84,57,68,53,35,52,83,87,72,64,84,57,68,53,35,52,83,87,72,64,84,57,68,53,35,52,83,87,72,64,84,57,68,53,35,52,83,87,72,64,84,57,68,53,35,52,83,87,72,64,84,57,68,53,35,52,83,87,72,64,84,57,68,609,,,,,,,,,,,,
1359,1702,1432,1600,1580,1524,1525,1555,1514,1524,1566,1359,1702,1432,1600,1580,1524,1525,1555,1514,1524,1566,1359,1702,1432,1600,1580,1524,1525,1555,1514,1524,1566,1359,1702,1432,1600,1580,1524,1525,1555,1514,1524,1566,1359,1702,1432,1600,1580,1524,1525,1555,1514,1524,1566,1359,1702,1432,1600,1580,1524,1525,1555,1514,1524,1566,1359,1702,1432,1600,1580,1524,1525,1555,1514,1524,1566,1359,1702,1432,1600,1580,1524,1525,1555,1514,1524,1566,1359,1702,1432,1600,1580,1524,1525,1555,1514,1524,1566,1359,1702,1432,1600,1580,1524,1525,1555,1514,1524,1566,1359,1702,1432,1600,1580,1524,1525,1555,1514,1524,1566,1359,1702,1432,1600,1580,1524,1525,1555,1514,1524,1566,299
1540,1595,1543,1604,1569,1499,1629,1556,1586,1585,1575,1540,1595,1543,1604,1569,1499,1629,1556,1586,1585,1575,1540,1595,1543,1604,1569,1499,1629,1556,1586,1585,1575,1540,1595,1543,1604,1569,1499,1629,1556,1586,1585,1575,1540,1595,1543,1604,1569,1499,1629,1556,1586,1585,1575,1540,1595,1543,1604,1569,1499,1629,1556,1586,1585,1575,1540,1595,1543,1604,1569,1499,1629,1556,1586,1585,1575,1540,1595,1543,1604,1569,1499,1629,1556,1586,1585,1575,1540,1595,1543,1604,1569,1499,1629,1556,1586,1585,1575,1540,1595,1543,1604,1569,1499,1629,1556,1586,1585,1575,1540,1595,1543,1604,1569,1499,1629,1556,1586,1585,1575,1540,1595,1543,1604,1569,1499,1629,1556,1586,1585,1575,389
997,1014,1019,708,1365,947,1242,959,1103,734,1371,997,1014,1019,708,1365,947,1242,959,1103,734,1371,997,1014,1019,708,1365,947,1242,959,1103,734,1371,997,1014,1019,708,1365,947,1242,959,1103,734,1371,997,1014,1019,708,1365,947,1242,959,1103,734,1371,997,1014,1019,708,1365,947,1242,959,1103,734,1371,997,1014,1019,708,1365,947,1242,959,1103,734,1371,997,1014,1019,708,1365,947,1242,959,1103,734,1371,997,1014,1019,708,1365,947,1242,959,1103,734,1371,997,1014,1019,708,1365,947,1242,959,1103,734,1371,997,1014,1019,708,1365,947,1242,959,1103,734,1371,997,1014,1019,708,1365,947,1242,959,1103,734,1371,190
783,710,676,894,511,754,855,874,733,1032,783,783,710,676,894,511,754,855,874,733,1032,783,783,710,676,894,511,754,855,874,733,1032,783,783,710,676,894,511,754,855,874,733,1032,783,783,710,676,894,511,754,855,874,733,1032,783,783,710,676,894,511,754,855,874,733,1032,783,783,710,676,894,511,754,855,874,733,1032,783,783,710,676,894,511,754,855,874,733,1032,783,783,710,676,894,511,754,855,874,733,1032,783,783,710,676,894,511,754,855,874,733,1032,783,783,710,676,894,511,754,855,874,733,1032,783,783,710,676,894,511,754,855,874,733,1032,783,8
568,538,551,618,584,572,533,596,586,576,574,568,538,551,618,584,572,533,596,586,576,574,568,538,551,618,584,572,533,596,586,576,574,568,538,551,618,584,572,533,596,586,576,574,568,538,551,618,584,572,533,596,586,576,574,568,538,551,618,584,572,533,596,586,576,574,568,538,551,618,584,572,533,596,586,576,574,568,538,551,618,584,572,533,596,586,576,574,568,538,551,618,584,572,533,596,586,576,574,568,538,551,618,584,572,533,596,586,576,574,568,538,551,618,584,572,533,596,586,576,574,568,538,551,618,584,572,533,596,586,576,574,341
870,845,899,869,685,967,855,979,871,863,880,870,845,899,869,685,967,855,979,871,863,880,870,845,899,869,685,967,855,979,871,863,880,870,845,899,869,685,967,855,979,871,863,880,870,845,899,869,685,967,855,979,871,863,880,870,845,899,869,685,967,855,979,871,863,880,870,845,899,869,685,967,855,979,871,863,880,870,845,899,869,685,967,855,979,871,863,880,870,845,899,869,685,967,855,979,871,863,880,870,845,899,869,685,967,855,979,871,863,880,870,845,899,869,685,967,855,979,871,863,880,870,845,899,869,685,967,855,979,871,863,880,490
684,659,598,853,590,826,698,706,707,730,708,684,659,598,853,590,826,698,706,707,730,708,684,659,598,853,590,826,698,706,707,730,708,684,659,598,853,590,826,698,706,707,730,708,684,659,598,853,590,826,698,706,707,730,708,684,659,598,853,590,826,698,706,707,730,708,684,659,598,853,590,826,698,706,707,730,708,684,659,598,853,590,826,698,706,707,730,708,684,659,598,853,590,826,698,706,707,730,708,684,659,598,853,590,826,698,706,707,730,708,684,659,598,853,590,826,698,706,707,730,708,684,659,598,853,590,826,698,706,707,730,708,271
1228,1085,1285,1362,1276,1240,1199,1288,1264,1237,1290,1228,1085,1285,1362,1276,1240,1199,1288,1264,1237,1290,1228,1085,1285,1362,1276,1240,1199,1288,1264,1237,1290,1228,1085,1285,1362,1276,1240,1199,1288,1264,1237,1290,1228,1085,1285,1362,1276,1240,1199,1288,1264,1237,1290,1228,1085,1285,1362,1276,1240,1199,1288,1264,1237,1290,1228,1085,1285,1362,1276,1240,1199,1288,1264,1237,1290,1228,1085,1285,1362,1276,1240,1199,1288,1264,1237,1290,1228,1085,1285,1362,1276,1240,1199,1288,1264,1237,1290,1228,1085,1285,1362,1276,1240,1199,1288,1264,1237,1290,1228,1085,1285,1362,1276,1240,1199,1288,1264,1237,1290,1228,1085,1285,1362,1276,1240,1199,1288,1264,1237,1290,290
237,212,240,188,301,246,217,268,235,244,239,237,212,240,188,301,246,217,268,235,244,239,237,212,240,188,301,246,217,268,235,244,239,237,212,240,188,301,246,217,268,235,244,239,237,212,240,188,301,246,217,268,235,244,239,237,212,240,188,301,246,217,268,235,244,239,237,212,240,188,301,246,217,268,235,244,239,237,212,240,188,301,246,217,268,235,244,239,237,212,240,188,301,246,217,268,235,244,239,237,212,240,188,301,246,217,268,235,244,239,237,212,240,188,301,246,217,268,235,244,239,237,212,240,188,301,246,217,268,235,244,239,13
1094,1659,2256,2421,1834,1826,1837,1796,1919,1875,1922,1094,1659,2256,2421,1834,1826,1837,1796,1919,1875,1922,1094,1659,2256,2421,1834,1826,1837,1796,1919,1875,1922,1094,1659,2256,2421,1834,1826,1837,1796,1919,1875,1922,1094,1659,2256,2421,1834,1826,1837,1796,1919,1875,1922,1094,1659,2256,2421,1834,1826,1837,1796,1919,1875,1922,1094,1659,2256,2421,1834,1826,1837,1796,1919,1875,1922,1094,1659,2256,2421,1834,1826,1837,1796,1919,1875,1922,1094,1659,2256,2421,1834,1826,1837,1796,1919,1875,1922,1094,1659,2256,2421,1834,1826,1837,1796,1919,1875,1922,1094,1659,2256,2421,1834,1826,1837,1796,1919,1875,1922,1094,1659,2256,2421,1834,1826,1837,1796,1919,1875,1922,165
557,565,570,527,600,563,560,416,621,660,565,557,565,570,527,600,563,560,416,621,660,565,557,565,570,527,600,563,560,416,621,660,565,557,565,570,527,600,563,560,416,621,660,565,557,565,570,527,600,563,560,416,621,660,565,557,565,570,527,600,563,560,416,621,660,565,557,565,570,527,600,563,560,416,621,660,565,557,565,570,527,600,563,560,416,621,660,565,557,565,570,527,600,563,560,416,621,660,565,557,565,570,527,600,563,560,416,621,660,565,557,565,570,527,600,563,560,416,621,660,565,557,565,570,527,600,563,560,416,621,660,565,2
3050,3016,3043,3117,3057,3049,3064,3027,3043,3099,3058,3050,3016,3043,3117,3057,3049,3064,3027,3043,3099,3058,3050,3016,3043,3117,3057,3049,3064,3027,3043,3099,3058,3050,3016,3043,3117,3057,3049,3064,3027,3043,3099,3058,3050,3016,3043,3117,3057,3049,3064,3027,3043,3099,3058,3050,3016,3043,3117,3057,3049,3064,3027,3043,3099,3058,3050,3016,3043,3117,3057,3049,3064,3027,3043,3099,3058,3050,3016,3043,3117,3057,3049,3064,3027,3043,3099,3058,3050,3016,3043,3117,3057,3049,3064,3027,3043,3099,3058,3050,3016,3043,3117,3057,3049,3064,3027,3043,3099,3058,3050,3016,3043,3117,3057,3049,3064,3027,3043,3099,3058,3050,3016,3043,3117,3057,3049,3064,3027,3043,3099,3058,62
6369,6802,6541,6685,6176,7027,6424,6538,5887,7378,6785,6369,6802,6541,6685,6176,7027,6424,6538,5887,7378,6785,6369,6802,6541,6685,6176,7027,6424,6538,5887,7378,6785,6369,6802,6541,6685,6176,7027,6424,6538,5887,7378,6785,6369,6802,6541,6685,6176,7027,6424,6538,5887,7378,6785,6369,6802,6541,6685,6176,7027,6424,6538,5887,7378,6785,6369,6802,6541,6685,6176,7027,6424,6538,5887,7378,6785,6369,6802,6541,6685,6176,7027,6424,6538,5887,7378,6785,6369,6802,6541,6685,6176,7027,6424,6538,5887,7378,6785,6369,6802,6541,6685,6176,7027,6424,6538,5887,7378,6785,6369,6802,6541,6685,6176,7027,6424,6538,5887,7378,6785,6369,6802,6541,6685,6176,7027,6424,6538,5887,7378,6785,522
510,628,540,630,561,588,465,695,598,596,583,510,628,540,630,561,588,465,695,598,596,583,510,628,540,630,561,588,465,695,598,596,583,510,628,540,630,561,588,465,695,598,596,583,510,628,540,630,561,588,465,695,598,596,583,510,628,540,630,561,588,465,695,598,596,583,510,628,540,630,561,588,465,695,598,596,583,510,628,540,630,561,588,465,695,598,596,583,510,628,540,630,561,588,465,695,598,596,583,510,628,540,630,561,588,465,695,598,596,583,510,628,540,630,561,588,465,695,598,596,583,510,628,540,630,561,588,465,695,598,596,583,15
14,13,14,13,10,14,15,16,10,12,19,14,13,14,13,10,14,15,16,10,12,19,14,13,14,13,10,14,15,16,10,12,19,14,13,14,13,10,14,15,16,10,12,19,14,13,14,13,10,14,15,16,10,12,19,14,13,14,13,10,14,15,16,10,12,19,14,13,14,13,10,14,15,16,10,12,19,14,13,14,13,10,14,15,16,10,12,19,14,13,14,13,10,14,15,16,10,12,19,14,13,14,13,10,14,15,16,10,12,19,14,13,14,13,10,14,15,16,10,12,19,14,13,14,13,10,14,15,16,10,12,19,494
2452,2412,2433,2500,2266,2643,2353,2462,2482,2471,2491,2452,2412,2433,2500,2266,2643,2353,2462,2482,2471,2491,2452,2412,2433,2500,2266,2643,2353,2462,2482,2471,2491,2452,2412,2433,2500,2266,2643,2353,2462,2482,2471,2491,2452,2412,2433,2500,2266,2643,2353,2462,2482,2471,2491,2452,2412,2433,2500,2266,2643,2353,2462,2482,2471,2491,2452,2412,2433,2500,2266,2643,2353,2462,2482,2471,2491,2452,2412,2433,2500,2266,2643,2353,2462,2482,2471,2491,2452,2412,2433,2500,2266,2643,2353,2462,2482,2471,2491,2452,2412,2433,2500,2266,2643,2353,2462,2482,2471,2491,2452,2412,2433,2500,2266,2643,2353,2462,2482,2471,2491,2452,2412,2433,2500,2266,2643,2353,2462,2482,2471,2491,103
820,1033,737,1771,918,926,836,1558,1231,1151,1209,820,1033,737,1771,918,926,836,1558,1231,1151,1209,820,1033,737,1771,918,926,836,1558,1231,1151,1209,820,1033,737,1771,918,926,836,1558,1231,1151,1209,820,1033,737,1771,918,926,836,1558,1231,1151,1209,820,1033,737,1771,918,926,836,1558,1231,1151,1209,820,1033,737,1771,918,926,836,1558,1231,1151,1209,820,1033,737,1771,918,926,836,1558,1231,1151,1209,820,1033,737,1771,918,926,836,1558,1231,1151,1209,820,1033,737,1771,918,926,836,1558,1231,1151,1209,820,1033,737,1771,918,926,836,1558,1231,1151,1209,820,1033,737,1771,918,926,836,1558,1231,1151,1209,148
894,949,1088,873,787,1169,1077,745,964,1139,1064,894,949,1088,873,787,1169,1077,745,964,1139,1064,894,949,1088,873,787,1169,1077,745,964,1139,1064,894,949,1088,873,787,1169,1077,745,964,1139,1064,894,949,1088,873,787,1169,1077,745,964,1139,1064,894,949,1088,873,787,1169,1077,745,964,1139,1064,894,949,1088,873,787,1169,1077,745,964,1139,1064,894,949,1088,873,787,1169,1077,745,964,1139,1064,894,949,1088,873,787,1169,1077,745,964,1139,1064,894,949,1088,873,787,1169,1077,745,964,1139,1064,894,949,1088,873,787,1169,1077,745,964,1139,1064,894,949,1088,873,787,1169,1077,745,964,1139,1064,350
2316,2583,2794,2617,2633,2658,2529,2724,2602,2573,2646,2316,2583,2794,2617,2633,2658,2529,2724,2602,2573,2646,2316,2583,2794,2617,2633,2658,2529,2724,2602,2573,2646,2316,2583,2794,2617,2633,2658,2529,2724,2602,2573,2646,2316,2583,2794,2617,2633,2658,2529,2724,2602,2573,2646,2316,2583,2794,2617,2633,2658,2529,2724,2602,2573,2646,2316,2583,2794,2617,2633,2658,2529,2724,2602,2573,2646,2316,2583,2794,2617,2633,2658,2529,2724,2602,2573,2646,2316,2583,2794,2617,2633,2658,2529,2724,2602,2573,2646,2316,2583,2794,2617,2633,2658,2529,2724,2602,2573,2646,2316,2583,2794,2617,2633,2658,2529,2724,2602,2573,2646,2316,2583,2794,2617,2633,2658,2529,2724,2602,2573,2646,445
