band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_1_13,band_1_14,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_2_13,band_2_14,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_3_13,band_3_14,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_4_13,band_4_14,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_5_13,band_5_14,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_6_13,band_6_14,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_7_13,band_7_14,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_8_13,band_8_14,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_9_13,band_9_14,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_10_13,band_10_14,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_11_13,band_11_14,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12,band_12_13,band_12_14,census_code
22,21,24,22,23,22,20,23,23,22,23,22,20,25,22,21,24,22,23,22,20,23,23,22,23,22,20,25,22,21,24,22,23,22,20,23,23,22,23,22,20,25,22,21,24,22,23,22,20,23,23,22,23,22,20,25,22,21,24,22,23,22,20,23,23,22,23,22,20,25,22,21,24,22,23,22,20,23,23,22,23,22,20,25,22,21,24,22,23,22,20,23,23,22,23,22,20,25,22,21,24,22,23,22,20,23,23,22,23,22,20,25,22,21,24,22,23,22,20,23,23,22,23,22,20,25,22,21,24,22,23,22,20,23,23,22,23,22,20,25,22,21,24,22,23,22,20,23,23,22,23,22,20,25,22,21,24,22,23,22,20,23,23,22,23,22,20,25,495
731,627,931,675,786,825,727,801,762,764,765,763,763,764,731,627,931,675,786,825,727,801,762,764,765,763,763,764,731,627,931,675,786,825,727,801,762,764,765,763,763,764,731,627,931,675,786,825,727,801,762,764,765,763,763,764,731,627,931,675,786,825,727,801,762,764,765,763,763,764,731,627,931,675,786,825,727,801,762,764,765,763,763,764,731,627,931,675,786,825,727,801,762,764,765,763,763,764,731,627,931,675,786,825,727,801,762,764,765,763,763,764,731,627,931,675,786,825,727,801,762,764,765,763,763,764,731,627,931,675,786,825,727,801,762,764,765,763,763,764,731,627,931,675,786,825,727,801,762,764,765,763,763,764,731,627,931,675,786,825,727,801,762,764,765,763,763,764,245
1168,1176,1163,1141,1206,1123,1156,1200,1218,1167,1130,958,1432,1175,1168,1176,1163,1141,1206,1123,1156,1200,1218,1167,1130,958,1432,1175,1168,1176,1163,1141,1206,1123,1156,1200,1218,1167,1130,958,1432,1175,1168,1176,1163,1141,1206,1123,1156,1200,1218,1167,1130,958,1432,1175,1168,1176,1163,1141,1206,1123,1156,1200,1218,1167,1130,958,1432,1175,1168,1176,1163,1141,1206,1123,1156,1200,1218,1167,1130,958,1432,1175,1168,1176,1163,1141,1206,1123,1156,1200,1218,1167,1130,958,1432,1175,1168,1176,1163,1141,1206,1123,1156,1200,1218,1167,1130,958,1432,1175,1168,1176,1163,1141,1206,1123,1156,1200,1218,1167,1130,958,1432,1175,1168,1176,1163,1141,1206,1123,1156,1200,1218,1167,1130,958,1432,1175,1168,1176,1163,1141,1206,1123,1156,1200,1218,1167,1130,958,1432,1175,1168,1176,1163,1141,1206,1123,1156,1200,1218,1167,1130,958,1432,1175,151
1235,1175,1291,1125,1226,1352,1130,1171,1372,1202,1249,1227,1289,1235,1235,1175,1291,1125,1226,1352,1130,1171,1372,1202,1249,1227,1289,1235,1235,1175,1291,1125,1226,1352,1130,1171,1372,1202,1249,1227,1289,1235,1235,1175,1291,1125,1226,1352,1130,1171,1372,1202,1249,1227,1289,1235,1235,1175,1291,1125,1226,1352,1130,1171,1372,1202,1249,1227,1289,1235,1235,1175,1291,1125,1226,1352,1130,1171,1372,1202,1249,1227,1289,1235,1235,1175,1291,1125,1226,1352,1130,1171,1372,1202,1249,1227,1289,1235,1235,1175,1291,1125,1226,1352,1130,1171,1372,1202,1249,1227,1289,1235,1235,1175,1291,1125,1226,1352,1130,1171,1372,1202,1249,1227,1289,1235,1235,1175,1291,1125,1226,1352,1130,1171,1372,1202,1249,1227,1289,1235,1235,1175,1291,1125,1226,1352,1130,1171,1372,1202,1249,1227,1289,1235,1235,1175,1291,1125,1226,1352,1130,1171,1372,1202,1249,1227,1289,1235,150
778,801,800,790,791,769,820,793,711,843,776,808,811,808,778,801,800,790,791,769,820,793,711,843,776,808,811,808,778,801,800,790,791,769,820,793,711,843,776,808,811,808,778,801,800,790,791,769,820,793,711,843,776,808,811,808,778,801,800,790,791,769,820,793,711,843,776,808,811,808,778,801,800,790,791,769,820,793,711,843,776,808,811,808,778,801,800,790,791,769,820,793,711,843,776,808,811,808,778,801,800,790,791,769,820,793,711,843,776,808,811,808,778,801,800,790,791,769,820,793,711,843,776,808,811,808,778,801,800,790,791,769,820,793,711,843,776,808,811,808,778,801,800,790,791,769,820,793,711,843,776,808,811,808,778,801,800,790,791,769,820,793,711,843,776,808,811,808,348
1105,1088,1053,1141,1135,1069,1003,1235,1046,1168,1021,1188,1092,1118,1105,1088,1053,1141,1135,1069,1003,1235,1046,1168,1021,1188,1092,1118,1105,1088,1053,1141,1135,1069,1003,1235,1046,1168,1021,1188,1092,1118,1105,1088,1053,1141,1135,1069,1003,1235,1046,1168,1021,1188,1092,1118,1105,1088,1053,1141,1135,1069,1003,1235,1046,1168,1021,1188,1092,1118,1105,1088,1053,1141,1135,1069,1003,1235,1046,1168,1021,1188,1092,1118,1105,1088,1053,1141,1135,1069,1003,1235,1046,1168,1021,1188,1092,1118,1105,1088,1053,1141,1135,1069,1003,1235,1046,1168,1021,1188,1092,1118,1105,1088,1053,1141,1135,1069,1003,1235,1046,1168,1021,1188,1092,1118,1105,1088,1053,1141,1135,1069,1003,1235,1046,1168,1021,1188,1092,1118,1105,1088,1053,1141,1135,1069,1003,1235,1046,1168,1021,1188,1092,1118,1105,1088,1053,1141,1135,1069,1003,1235,1046,1168,1021,1188,1092,1118,272
1158,1298,1148,1313,1199,1221,1331,1251,1250,1219,986,1334,1351,1315,1158,1298,1148,1313,1199,1221,1331,1251,1250,1219,986,1334,1351,1315,1158,1298,1148,1313,1199,1221,1331,1251,1250,1219,986,1334,1351,1315,1158,1298,1148,1313,1199,1221,1331,1251,1250,1219,986,1334,1351,1315,1158,1298,1148,1313,1199,1221,1331,1251,1250,1219,986,1334,1351,1315,1158,1298,1148,1313,1199,1221,1331,1251,1250,1219,986,1334,1351,1315,1158,1298,1148,1313,1199,1221,1331,1251,1250,1219,986,1334,1351,1315,1158,1298,1148,1313,1199,1221,1331,1251,1250,1219,986,1334,1351,1315,1158,1298,1148,1313,1199,1221,1331,1251,1250,1219,986,1334,1351,1315,1158,1298,1148,1313,1199,1221,1331,1251,1250,1219,986,1334,1351,1315,1158,1298,1148,1313,1199,1221,1331,1251,1250,1219,986,1334,1351,1315,1158,1298,1148,1313,1199,1221,1331,1251,1250,1219,986,1334,1351,1315,622
1403,1405,1422,1410,1411,1412,1386,1393,1451,1409,1398,1417,1412,1417,1403,1405,1422,1410,1411,1412,1386,1393,1451,1409,1398,1417,1412,1417,1403,1405,1422,1410,1411,1412,1386,1393,1451,1409,1398,1417,1412,1417,1403,1405,1422,1410,1411,1412,1386,1393,1451,1409,1398,1417,1412,1417,1403,1405,1422,1410,1411,1412,1386,1393,1451,1409,1398,1417,1412,1417,1403,1405,1422,1410,1411,1412,1386,1393,1451,1409,1398,1417,1412,1417,1403,1405,1422,1410,1411,1412,1386,1393,1451,1409,1398,1417,1412,1417,1403,1405,1422,1410,1411,1412,1386,1393,1451,1409,1398,1417,1412,1417,1403,1405,1422,1410,1411,1412,1386,1393,1451,1409,1398,1417,1412,1417,1403,1405,1422,1410,1411,1412,1386,1393,1451,1409,1398,1417,1412,1417,1403,1405,1422,1410,1411,1412,1386,1393,1451,1409,1398,1417,1412,1417,1403,1405,1422,1410,1411,1412,1386,1393,1451,1409,1398,1417,1412,1417,125
1170,1191,1165,1127,1252,1180,1168,1193,1180,1182,1177,1182,1182,1184,1170,1191,1165,1127,1252,1180,1168,1193,1180,1182,1177,1182,1182,1184,1170,1191,1165,1127,1252,1180,1168,1193,1180,1182,1177,1182,1182,1184,1170,1191,1165,1127,1252,1180,1168,1193,1180,1182,1177,1182,1182,1184,1170,1191,1165,1127,1252,1180,1168,1193,1180,1182,1177,1182,1182,1184,1170,1191,1165,1127,1252,1180,1168,1193,1180,1182,1177,1182,1182,1184,1170,1191,1165,1127,1252,1180,1168,1193,1180,1182,1177,1182,1182,1184,1170,1191,1165,1127,1252,1180,1168,1193,1180,1182,1177,1182,1182,1184,1170,1191,1165,1127,1252,1180,1168,1193,1180,1182,1177,1182,1182,1184,1170,1191,1165,1127,1252,1180,1168,1193,1180,1182,1177,1182,1182,1184,1170,1191,1165,1127,1252,1180,1168,1193,1180,1182,1177,1182,1182,1184,1170,1191,1165,1127,1252,1180,1168,1193,1180,1182,1177,1182,1182,1184,347
709,770,634,817,738,706,629,811,845,633,843,732,745,746,709,770,634,817,738,706,629,811,845,633,843,732,745,746,709,770,634,817,738,706,629,811,845,633,843,732,745,746,709,770,634,817,738,706,629,811,845,633,843,732,745,746,709,770,634,817,738,706,629,811,845,633,843,732,745,746,709,770,634,817,738,706,629,811,845,633,843,732,745,746,709,770,634,817,738,706,629,811,845,633,843,732,745,746,709,770,634,817,738,706,629,811,845,633,843,732,745,746,709,770,634,817,738,706,629,811,845,633,843,732,745,746,709,770,634,817,738,706,629,811,845,633,843,732,745,746,709,770,634,817,738,706,629,811,845,633,843,732,745,746,709,770,634,817,738,706,629,811,845,633,843,732,745,746,229
3235,2472,2841,4071,2296,3676,4429,2953,3629,3131,3472,3887,3471,3392,3235,2472,2841,4071,2296,3676,4429,2953,3629,3131,3472,3887,3471,3392,3235,2472,2841,4071,2296,3676,4429,2953,3629,3131,3472,3887,3471,3392,3235,2472,2841,4071,2296,3676,4429,2953,3629,3131,3472,3887,3471,3392,3235,2472,2841,4071,2296,3676,4429,2953,3629,3131,3472,3887,3471,3392,3235,2472,2841,4071,2296,3676,4429,2953,3629,3131,3472,3887,3471,3392,3235,2472,2841,4071,2296,3676,4429,2953,3629,3131,3472,3887,3471,3392,3235,2472,2841,4071,2296,3676,4429,2953,3629,3131,3472,3887,3471,3392,3235,2472,2841,4071,2296,3676,4429,2953,3629,3131,3472,3887,3471,3392,3235,2472,2841,4071,2296,3676,4429,2953,3629,3131,3472,3887,3471,3392,3235,2472,2841,4071,2296,3676,4429,2953,3629,3131,3472,3887,3471,3392,3235,2472,2841,4071,2296,3676,4429,2953,3629,3131,3472,3887,3471,3392,523
1576,1510,255,2791,796,3845,1654,3505,1381,1789,1562,1644,1576,1510,255,2791,796,3845,1654,3505,1381,1789,1562,1644,1576,1510,255,2791,796,3845,1654,3505,1381,1789,1562,1644,1576,1510,255,2791,796,3845,1654,3505,1381,1789,1562,1644,1576,1510,255,2791,796,3845,1654,3505,1381,1789,1562,1644,1576,1510,255,2791,796,3845,1654,3505,1381,1789,1562,1644,1576,1510,255,2791,796,3845,1654,3505,1381,1789,1562,1644,1576,1510,255,2791,796,3845,1654,3505,1381,1789,1562,1644,1576,1510,255,2791,796,3845,1654,3505,1381,1789,1562,1644,1576,1510,255,2791,796,3845,1654,3505,1381,1789,1562,1644,1576,1510,255,2791,796,3845,1654,3505,1381,1789,1562,1644,1576,1510,255,2791,796,3845,1654,3505,1381,1789,1562,1644,167,,,,,,,,,,,,,,,,,,,,,,,,
2635,2598,2660,2860,2334,2708,2932,2671,2766,2330,2994,2570,2847,2729,2635,2598,2660,2860,2334,2708,2932,2671,2766,2330,2994,2570,2847,2729,2635,2598,2660,2860,2334,2708,2932,2671,2766,2330,2994,2570,2847,2729,2635,2598,2660,2860,2334,2708,2932,2671,2766,2330,2994,2570,2847,2729,2635,2598,2660,2860,2334,2708,2932,2671,2766,2330,2994,2570,2847,2729,2635,2598,2660,2860,2334,2708,2932,2671,2766,2330,2994,2570,2847,2729,2635,2598,2660,2860,2334,2708,2932,2671,2766,2330,2994,2570,2847,2729,2635,2598,2660,2860,2334,2708,2932,2671,2766,2330,2994,2570,2847,2729,2635,2598,2660,2860,2334,2708,2932,2671,2766,2330,2994,2570,2847,2729,2635,2598,2660,2860,2334,2708,2932,2671,2766,2330,2994,2570,2847,2729,2635,2598,2660,2860,2334,2708,2932,2671,2766,2330,2994,2570,2847,2729,2635,2598,2660,2860,2334,2708,2932,2671,2766,2330,2994,2570,2847,2729,104
764,879,874,750,800,973,825,840,776,911,861,768,911,851,764,879,874,750,800,973,825,840,776,911,861,768,911,851,764,879,874,750,800,973,825,840,776,911,861,768,911,851,764,879,874,750,800,973,825,840,776,911,861,768,911,851,764,879,874,750,800,973,825,840,776,911,861,768,911,851,764,879,874,750,800,973,825,840,776,911,861,768,911,851,764,879,874,750,800,973,825,840,776,911,861,768,911,851,764,879,874,750,800,973,825,840,776,911,861,768,911,851,764,879,874,750,800,973,825,840,776,911,861,768,911,851,764,879,874,750,800,973,825,840,776,911,861,768,911,851,764,879,874,750,800,973,825,840,776,911,861,768,911,851,764,879,874,750,800,973,825,840,776,911,861,768,911,851,136
1215,1030,1392,1071,1404,1174,1280,1259,1229,1218,1237,1205,1252,1229,1215,1030,1392,1071,1404,1174,1280,1259,1229,1218,1237,1205,1252,1229,1215,1030,1392,1071,1404,1174,1280,1259,1229,1218,1237,1205,1252,1229,1215,1030,1392,1071,1404,1174,1280,1259,1229,1218,1237,1205,1252,1229,1215,1030,1392,1071,1404,1174,1280,1259,1229,1218,1237,1205,1252,1229,1215,1030,1392,1071,1404,1174,1280,1259,1229,1218,1237,1205,1252,1229,1215,1030,1392,1071,1404,1174,1280,1259,1229,1218,1237,1205,1252,1229,1215,1030,1392,1071,1404,1174,1280,1259,1229,1218,1237,1205,1252,1229,1215,1030,1392,1071,1404,1174,1280,1259,1229,1218,1237,1205,1252,1229,1215,1030,1392,1071,1404,1174,1280,1259,1229,1218,1237,1205,1252,1229,1215,1030,1392,1071,1404,1174,1280,1259,1229,1218,1237,1205,1252,1229,1215,1030,1392,1071,1404,1174,1280,1259,1229,1218,1237,1205,1252,1229,309
986,1517,736,1997,1232,1258,1314,1232,1278,1212,1906,1361,1452,1406,986,1517,736,1997,1232,1258,1314,1232,1278,1212,1906,1361,1452,1406,986,1517,736,1997,1232,1258,1314,1232,1278,1212,1906,1361,1452,1406,986,1517,736,1997,1232,1258,1314,1232,1278,1212,1906,1361,1452,1406,986,1517,736,1997,1232,1258,1314,1232,1278,1212,1906,1361,1452,1406,986,1517,736,1997,1232,1258,1314,1232,1278,1212,1906,1361,1452,1406,986,1517,736,1997,1232,1258,1314,1232,1278,1212,1906,1361,1452,1406,986,1517,736,1997,1232,1258,1314,1232,1278,1212,1906,1361,1452,1406,986,1517,736,1997,1232,1258,1314,1232,1278,1212,1906,1361,1452,1406,986,1517,736,1997,1232,1258,1314,1232,1278,1212,1906,1361,1452,1406,986,1517,736,1997,1232,1258,1314,1232,1278,1212,1906,1361,1452,1406,986,1517,736,1997,1232,1258,1314,1232,1278,1212,1906,1361,1452,1406,627
2692,2689,2253,3089,2458,2942,2443,2895,2769,2692,2692,2685,2699,2693,2692,2689,2253,3089,2458,2942,2443,2895,2769,2692,2692,2685,2699,2693,2692,2689,2253,3089,2458,2942,2443,2895,2769,2692,2692,2685,2699,2693,2692,2689,2253,3089,2458,2942,2443,2895,2769,2692,2692,2685,2699,2693,2692,2689,2253,3089,2458,2942,2443,2895,2769,2692,2692,2685,2699,2693,2692,2689,2253,3089,2458,2942,2443,2895,2769,2692,2692,2685,2699,2693,2692,2689,2253,3089,2458,2942,2443,2895,2769,2692,2692,2685,2699,2693,2692,2689,2253,3089,2458,2942,2443,2895,2769,2692,2692,2685,2699,2693,2692,2689,2253,3089,2458,2942,2443,2895,2769,2692,2692,2685,2699,2693,2692,2689,2253,3089,2458,2942,2443,2895,2769,2692,2692,2685,2699,2693,2692,2689,2253,3089,2458,2942,2443,2895,2769,2692,2692,2685,2699,2693,2692,2689,2253,3089,2458,2942,2443,2895,2769,2692,2692,2685,2699,2693,56
609,669,646,653,647,639,644,655,633,658,609,684,645,646,609,669,646,653,647,639,644,655,633,658,609,684,645,646,609,669,646,653,647,639,644,655,633,658,609,684,645,646,609,669,646,653,647,639,644,655,633,658,609,684,645,646,609,669,646,653,647,639,644,655,633,658,609,684,645,646,609,669,646,653,647,639,644,655,633,658,609,684,645,646,609,669,646,653,647,639,644,655,633,658,609,684,645,646,609,669,646,653,647,639,644,655,633,658,609,684,645,646,609,669,646,653,647,639,644,655,633,658,609,684,645,646,609,669,646,653,647,639,644,655,633,658,609,684,645,646,609,669,646,653,647,639,644,655,633,658,609,684,645,646,609,669,646,653,647,639,644,655,633,658,609,684,645,646,174
2985,2273,3705,2321,3595,2905,3144,2988,2982,2997,2279,3648,2879,3155,2985,2273,3705,2321,3595,2905,3144,2988,2982,2997,2279,3648,2879,3155,2985,2273,3705,2321,3595,2905,3144,2988,2982,2997,2279,3648,2879,3155,2985,2273,3705,2321,3595,2905,3144,2988,2982,2997,2279,3648,2879,3155,2985,2273,3705,2321,3595,2905,3144,2988,2982,2997,2279,3648,2879,3155,2985,2273,3705,2321,3595,2905,3144,2988,2982,2997,2279,3648,2879,3155,2985,2273,3705,2321,3595,2905,3144,2988,2982,2997,2279,3648,2879,3155,2985,2273,3705,2321,3595,2905,3144,2988,2982,2997,2279,3648,2879,3155,2985,2273,3705,2321,3595,2905,3144,2988,2982,2997,2279,3648,2879,3155,2985,2273,3705,2321,3595,2905,3144,2988,2982,2997,2279,3648,2879,3155,2985,2273,3705,2321,3595,2905,3144,2988,2982,2997,2279,3648,2879,3155,2985,2273,3705,2321,3595,2905,3144,2988,2982,2997,2279,3648,2879,3155,500
2616,2696,2232,2749,3007,2225,3128,2554,2770,2552,2803,2479,2694,2827,2616,2696,2232,2749,3007,2225,3128,2554,2770,2552,2803,2479,2694,2827,2616,2696,2232,2749,3007,2225,3128,2554,2770,2552,2803,2479,2694,2827,2616,2696,2232,2749,3007,2225,3128,2554,2770,2552,2803,2479,2694,2827,2616,2696,2232,2749,3007,2225,3128,2554,2770,2552,2803,2479,2694,2827,2616,2696,2232,2749,3007,2225,3128,2554,2770,2552,2803,2479,2694,2827,2616,2696,2232,2749,3007,2225,3128,2554,2770,2552,2803,2479,2694,2827,2616,2696,2232,2749,3007,2225,3128,2554,2770,2552,2803,2479,2694,2827,2616,2696,2232,2749,3007,2225,3128,2554,2770,2552,2803,2479,2694,2827,2616,2696,2232,2749,3007,2225,3128,2554,2770,2552,2803,2479,2694,2827,2616,2696,2232,2749,3007,2225,3128,2554,2770,2552,2803,2479,2694,2827,2616,2696,2232,2749,3007,2225,3128,2554,2770,2552,2803,2479,2694,2827,417
4206,4077,4086,4493,4236,4085,4436,3480,4975,4269,4001,4376,4299,4264,4206,4077,4086,4493,4236,4085,4436,3480,4975,4269,4001,4376,4299,4264,4206,4077,4086,4493,4236,4085,4436,3480,4975,4269,4001,4376,4299,4264,4206,4077,4086,4493,4236,4085,4436,3480,4975,4269,4001,4376,4299,4264,4206,4077,4086,4493,4236,4085,4436,3480,4975,4269,4001,4376,4299,4264,4206,4077,4086,4493,4236,4085,4436,3480,4975,4269,4001,4376,4299,4264,4206,4077,4086,4493,4236,4085,4436,3480,4975,4269,4001,4376,4299,4264,4206,4077,4086,4493,4236,4085,4436,3480,4975,4269,4001,4376,4299,4264,4206,4077,4086,4493,4236,4085,4436,3480,4975,4269,4001,4376,4299,4264,4206,4077,4086,4493,4236,4085,4436,3480,4975,4269,4001,4376,4299,4264,4206,4077,4086,4493,4236,4085,4436,3480,4975,4269,4001,4376,4299,4264,4206,4077,4086,4493,4236,4085,4436,3480,4975,4269,4001,4376,4299,4264,539
5655,5708,5207,6186,5643,5538,4467,7104,5657,4384,7026,5685,5476,5909,5655,5708,5207,6186,5643,5538,4467,7104,5657,4384,7026,5685,5476,5909,5655,5708,5207,6186,5643,5538,4467,7104,5657,4384,7026,5685,5476,5909,5655,5708,5207,6186,5643,5538,4467,7104,5657,4384,7026,5685,5476,5909,5655,5708,5207,6186,5643,5538,4467,7104,5657,4384,7026,5685,5476,5909,5655,5708,5207,6186,5643,5538,4467,7104,5657,4384,7026,5685,5476,5909,5655,5708,5207,6186,5643,5538,4467,7104,5657,4384,7026,5685,5476,5909,5655,5708,5207,6186,5643,5538,4467,7104,5657,4384,7026,5685,5476,5909,5655,5708,5207,6186,5643,5538,4467,7104,5657,4384,7026,5685,5476,5909,5655,5708,5207,6186,5643,5538,4467,7104,5657,4384,7026,5685,5476,5909,5655,5708,5207,6186,5643,5538,4467,7104,5657,4384,7026,5685,5476,5909,5655,5708,5207,6186,5643,5538,4467,7104,5657,4384,7026,5685,5476,5909,112
939,946,1142,1020,1001,1090,1022,976,1059,1035,1029,1017,1031,1028,939,946,1142,1020,1001,1090,1022,976,1059,1035,1029,1017,1031,1028,939,946,1142,1020,1001,1090,1022,976,1059,1035,1029,1017,1031,1028,939,946,1142,1020,1001,1090,1022,976,1059,1035,1029,1017,1031,1028,939,946,1142,1020,1001,1090,1022,976,1059,1035,1029,1017,1031,1028,939,946,1142,1020,1001,1090,1022,976,1059,1035,1029,1017,1031,1028,939,946,1142,1020,1001,1090,1022,976,1059,1035,1029,1017,1031,1028,939,946,1142,1020,1001,1090,1022,976,1059,1035,1029,1017,1031,1028,939,946,1142,1020,1001,1090,1022,976,1059,1035,1029,1017,1031,1028,939,946,1142,1020,1001,1090,1022,976,1059,1035,1029,1017,1031,1028,939,946,1142,1020,1001,1090,1022,976,1059,1035,1029,1017,1031,1028,939,946,1142,1020,1001,1090,1022,976,1059,1035,1029,1017,1031,1028,64
1985,1985,1933,2049,1978,1972,2015,1975,1794,2151,2027,1981,1983,2007,1985,1985,1933,2049,1978,1972,2015,1975,1794,2151,2027,1981,1983,2007,1985,1985,1933,2049,1978,1972,2015,1975,1794,2151,2027,1981,1983,2007,1985,1985,1933,2049,1978,1972,2015,1975,1794,2151,2027,1981,1983,2007,1985,1985,1933,2049,1978,1972,2015,1975,1794,2151,2027,1981,1983,2007,1985,1985,1933,2049,1978,1972,2015,1975,1794,2151,2027,1981,1983,2007,1985,1985,1933,2049,1978,1972,2015,1975,1794,2151,2027,1981,1983,2007,1985,1985,1933,2049,1978,1972,2015,1975,1794,2151,2027,1981,1983,2007,1985,1985,1933,2049,1978,1972,2015,1975,1794,2151,2027,1981,1983,2007,1985,1985,1933,2049,1978,1972,2015,1975,1794,2151,2027,1981,1983,2007,1985,1985,1933,2049,1978,1972,2015,1975,1794,2151,2027,1981,1983,2007,1985,1985,1933,2049,1978,1972,2015,1975,1794,2151,2027,1981,1983,2007,458
1224,1352,1265,1318,1213,1353,1192,1402,1226,1320,1245,1307,1343,1300,1224,1352,1265,1318,1213,1353,1192,1402,1226,1320,1245,1307,1343,1300,1224,1352,1265,1318,1213,1353,1192,1402,1226,1320,1245,1307,1343,1300,1224,1352,1265,1318,1213,1353,1192,1402,1226,1320,1245,1307,1343,1300,1224,1352,1265,1318,1213,1353,1192,1402,1226,1320,1245,1307,1343,1300,1224,1352,1265,1318,1213,1353,1192,1402,1226,1320,1245,1307,1343,1300,1224,1352,1265,1318,1213,1353,1192,1402,1226,1320,1245,1307,1343,1300,1224,1352,1265,1318,1213,1353,1192,1402,1226,1320,1245,1307,1343,1300,1224,1352,1265,1318,1213,1353,1192,1402,1226,1320,1245,1307,1343,1300,1224,1352,1265,1318,1213,1353,1192,1402,1226,1320,1245,1307,1343,1300,1224,1352,1265,1318,1213,1353,1192,1402,1226,1320,1245,1307,1343,1300,1224,1352,1265,1318,1213,1353,1192,1402,1226,1320,1245,1307,1343,1300,346
2332,2180,2484,2110,2457,2411,2100,2342,2313,2534,2338,2178,2514,2362,2332,2180,2484,2110,2457,2411,2100,2342,2313,2534,2338,2178,2514,2362,2332,2180,2484,2110,2457,2411,2100,2342,2313,2534,2338,2178,2514,2362,2332,2180,2484,2110,2457,2411,2100,2342,2313,2534,2338,2178,2514,2362,2332,2180,2484,2110,2457,2411,2100,2342,2313,2534,2338,2178,2514,2362,2332,2180,2484,2110,2457,2411,2100,2342,2313,2534,2338,2178,2514,2362,2332,2180,2484,2110,2457,2411,2100,2342,2313,2534,2338,2178,2514,2362,2332,2180,2484,2110,2457,2411,2100,2342,2313,2534,2338,2178,2514,2362,2332,2180,2484,2110,2457,2411,2100,2342,2313,2534,2338,2178,2514,2362,2332,2180,2484,2110,2457,2411,2100,2342,2313,2534,2338,2178,2514,2362,2332,2180,2484,2110,2457,2411,2100,2342,2313,2534,2338,2178,2514,2362,2332,2180,2484,2110,2457,2411,2100,2342,2313,2534,2338,2178,2514,2362,546
1273,1236,1320,1166,1360,1216,1370,1028,1404,1086,1331,1210,1607,1278,1273,1236,1320,1166,1360,1216,1370,1028,1404,1086,1331,1210,1607,1278,1273,1236,1320,1166,1360,1216,1370,1028,1404,1086,1331,1210,1607,1278,1273,1236,1320,1166,1360,1216,1370,1028,1404,1086,1331,1210,1607,1278,1273,1236,1320,1166,1360,1216,1370,1028,1404,1086,1331,1210,1607,1278,1273,1236,1320,1166,1360,1216,1370,1028,1404,1086,1331,1210,1607,1278,1273,1236,1320,1166,1360,1216,1370,1028,1404,1086,1331,1210,1607,1278,1273,1236,1320,1166,1360,1216,1370,1028,1404,1086,1331,1210,1607,1278,1273,1236,1320,1166,1360,1216,1370,1028,1404,1086,1331,1210,1607,1278,1273,1236,1320,1166,1360,1216,1370,1028,1404,1086,1331,1210,1607,1278,1273,1236,1320,1166,1360,1216,1370,1028,1404,1086,1331,1210,1607,1278,1273,1236,1320,1166,1360,1216,1370,1028,1404,1086,1331,1210,1607,1278,625
488,473,463,527,430,538,488,494,489,490,483,492,488,489,488,473,463,527,430,538,488,494,489,490,483,492,488,489,488,473,463,527,430,538,488,494,489,490,483,492,488,489,488,473,463,527,430,538,488,494,489,490,483,492,488,489,488,473,463,527,430,538,488,494,489,490,483,492,488,489,488,473,463,527,430,538,488,494,489,490,483,492,488,489,488,473,463,527,430,538,488,494,489,490,483,492,488,489,488,473,463,527,430,538,488,494,489,490,483,492,488,489,488,473,463,527,430,538,488,494,489,490,483,492,488,489,488,473,463,527,430,538,488,494,489,490,483,492,488,489,488,473,463,527,430,538,488,494,489,490,483,492,488,489,488,473,463,527,430,538,488,494,489,490,483,492,488,489,31
