band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_1_13,band_1_14,band_1_15,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_2_13,band_2_14,band_2_15,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_3_13,band_3_14,band_3_15,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_4_13,band_4_14,band_4_15,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_5_13,band_5_14,band_5_15,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_6_13,band_6_14,band_6_15,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_7_13,band_7_14,band_7_15,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_8_13,band_8_14,band_8_15,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_9_13,band_9_14,band_9_15,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_10_13,band_10_14,band_10_15,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_11_13,band_11_14,band_11_15,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12,band_12_13,band_12_14,band_12_15,census_code
470,500,439,528,481,488,473,483,496,491,416,524,506,467,512,470,500,439,528,481,488,473,483,496,491,416,524,506,467,512,470,500,439,528,481,488,473,483,496,491,416,524,506,467,512,470,500,439,528,481,488,473,483,496,491,416,524,506,467,512,470,500,439,528,481,488,473,483,496,491,416,524,506,467,512,470,500,439,528,481,488,473,483,496,491,416,524,506,467,512,470,500,439,528,481,488,473,483,496,491,416,524,506,467,512,470,500,439,528,481,488,473,483,496,491,416,524,506,467,512,470,500,439,528,481,488,473,483,496,491,416,524,506,467,512,470,500,439,528,481,488,473,483,496,491,416,524,506,467,512,470,500,439,528,481,488,473,483,496,491,416,524,506,467,512,470,500,439,528,481,488,473,483,496,491,416,524,506,467,512,72
1222,1360,1275,1321,1288,1256,1344,1255,1333,1313,1292,1301,1237,1332,1323,1222,1360,1275,1321,1288,1256,1344,1255,1333,1313,1292,1301,1237,1332,1323,1222,1360,1275,1321,1288,1256,1344,1255,1333,1313,1292,1301,1237,1332,1323,1222,1360,1275,1321,1288,1256,1344,1255,1333,1313,1292,1301,1237,1332,1323,1222,1360,1275,1321,1288,1256,1344,1255,1333,1313,1292,1301,1237,1332,1323,1222,1360,1275,1321,1288,1256,1344,1255,1333,1313,1292,1301,1237,1332,1323,1222,1360,1275,1321,1288,1256,1344,1255,1333,1313,1292,1301,1237,1332,1323,1222,1360,1275,1321,1288,1256,1344,1255,1333,1313,1292,1301,1237,1332,1323,1222,1360,1275,1321,1288,1256,1344,1255,1333,1313,1292,1301,1237,1332,1323,1222,1360,1275,1321,1288,1256,1344,1255,1333,1313,1292,1301,1237,1332,1323,1222,1360,1275,1321,1288,1256,1344,1255,1333,1313,1292,1301,1237,1332,1323,1222,1360,1275,1321,1288,1256,1344,1255,1333,1313,1292,1301,1237,1332,1323,358
1395,1264,1461,1523,1150,1658,1217,1472,1581,1427,1363,1369,1402,1513,1431,1395,1264,1461,1523,1150,1658,1217,1472,1581,1427,1363,1369,1402,1513,1431,1395,1264,1461,1523,1150,1658,1217,1472,1581,1427,1363,1369,1402,1513,1431,1395,1264,1461,1523,1150,1658,1217,1472,1581,1427,1363,1369,1402,1513,1431,1395,1264,1461,1523,1150,1658,1217,1472,1581,1427,1363,1369,1402,1513,1431,1395,1264,1461,1523,1150,1658,1217,1472,1581,1427,1363,1369,1402,1513,1431,1395,1264,1461,1523,1150,1658,1217,1472,1581,1427,1363,1369,1402,1513,1431,1395,1264,1461,1523,1150,1658,1217,1472,1581,1427,1363,1369,1402,1513,1431,1395,1264,1461,1523,1150,1658,1217,1472,1581,1427,1363,1369,1402,1513,1431,1395,1264,1461,1523,1150,1658,1217,1472,1581,1427,1363,1369,1402,1513,1431,1395,1264,1461,1523,1150,1658,1217,1472,1581,1427,1363,1369,1402,1513,1431,1395,1264,1461,1523,1150,1658,1217,1472,1581,1427,1363,1369,1402,1513,1431,529
578,717,482,857,675,627,1349,608,396,974,673,625,648,717,578,717,482,857,675,627,1349,608,396,974,673,625,648,717,578,717,482,857,675,627,1349,608,396,974,673,625,648,717,578,717,482,857,675,627,1349,608,396,974,673,625,648,717,578,717,482,857,675,627,1349,608,396,974,673,625,648,717,578,717,482,857,675,627,1349,608,396,974,673,625,648,717,578,717,482,857,675,627,1349,608,396,974,673,625,648,717,578,717,482,857,675,627,1349,608,396,974,673,625,648,717,578,717,482,857,675,627,1349,608,396,974,673,625,648,717,578,717,482,857,675,627,1349,608,396,974,673,625,648,717,578,717,482,857,675,627,1349,608,396,974,673,625,648,717,578,717,482,857,675,627,1349,608,396,974,673,625,648,717,218,,,,,,,,,,,,
1313,1483,1382,1453,1426,1374,1390,1081,1748,1061,1722,1410,1378,1539,1413,1313,1483,1382,1453,1426,1374,1390,1081,1748,1061,1722,1410,1378,1539,1413,1313,1483,1382,1453,1426,1374,1390,1081,1748,1061,1722,1410,1378,1539,1413,1313,1483,1382,1453,1426,1374,1390,1081,1748,1061,1722,1410,1378,1539,1413,1313,1483,1382,1453,1426,1374,1390,1081,1748,1061,1722,1410,1378,1539,1413,1313,1483,1382,1453,1426,1374,1390,1081,1748,1061,1722,1410,1378,1539,1413,1313,1483,1382,1453,1426,1374,1390,1081,1748,1061,1722,1410,1378,1539,1413,1313,1483,1382,1453,1426,1374,1390,1081,1748,1061,1722,1410,1378,1539,1413,1313,1483,1382,1453,1426,1374,1390,1081,1748,1061,1722,1410,1378,1539,1413,1313,1483,1382,1453,1426,1374,1390,1081,1748,1061,1722,1410,1378,1539,1413,1313,1483,1382,1453,1426,1374,1390,1081,1748,1061,1722,1410,1378,1539,1413,1313,1483,1382,1453,1426,1374,1390,1081,1748,1061,1722,1410,1378,1539,1413,152
964,954,699,931,1163,1069,976,974,889,1001,928,850,1104,950,1043,964,954,699,931,1163,1069,976,974,889,1001,928,850,1104,950,1043,964,954,699,931,1163,1069,976,974,889,1001,928,850,1104,950,1043,964,954,699,931,1163,1069,976,974,889,1001,928,850,1104,950,1043,964,954,699,931,1163,1069,976,974,889,1001,928,850,1104,950,1043,964,954,699,931,1163,1069,976,974,889,1001,928,850,1104,950,1043,964,954,699,931,1163,1069,976,974,889,1001,928,850,1104,950,1043,964,954,699,931,1163,1069,976,974,889,1001,928,850,1104,950,1043,964,954,699,931,1163,1069,976,974,889,1001,928,850,1104,950,1043,964,954,699,931,1163,1069,976,974,889,1001,928,850,1104,950,1043,964,954,699,931,1163,1069,976,974,889,1001,928,850,1104,950,1043,964,954,699,931,1163,1069,976,974,889,1001,928,850,1104,950,1043,235
1254,1268,1205,1325,381,1679,1722,69,1709,1737,1523,1287,1261,1224,1305,1254,1268,1205,1325,381,1679,1722,69,1709,1737,1523,1287,1261,1224,1305,1254,1268,1205,1325,381,1679,1722,69,1709,1737,1523,1287,1261,1224,1305,1254,1268,1205,1325,381,1679,1722,69,1709,1737,1523,1287,1261,1224,1305,1254,1268,1205,1325,381,1679,1722,69,1709,1737,1523,1287,1261,1224,1305,1254,1268,1205,1325,381,1679,1722,69,1709,1737,1523,1287,1261,1224,1305,1254,1268,1205,1325,381,1679,1722,69,1709,1737,1523,1287,1261,1224,1305,1254,1268,1205,1325,381,1679,1722,69,1709,1737,1523,1287,1261,1224,1305,1254,1268,1205,1325,381,1679,1722,69,1709,1737,1523,1287,1261,1224,1305,1254,1268,1205,1325,381,1679,1722,69,1709,1737,1523,1287,1261,1224,1305,1254,1268,1205,1325,381,1679,1722,69,1709,1737,1523,1287,1261,1224,1305,1254,1268,1205,1325,381,1679,1722,69,1709,1737,1523,1287,1261,1224,1305,575
1499,1461,1531,557,2442,1499,727,2260,1508,534,2360,1600,1481,1469,1545,1499,1461,1531,557,2442,1499,727,2260,1508,534,2360,1600,1481,1469,1545,1499,1461,1531,557,2442,1499,727,2260,1508,534,2360,1600,1481,1469,1545,1499,1461,1531,557,2442,1499,727,2260,1508,534,2360,1600,1481,1469,1545,1499,1461,1531,557,2442,1499,727,2260,1508,534,2360,1600,1481,1469,1545,1499,1461,1531,557,2442,1499,727,2260,1508,534,2360,1600,1481,1469,1545,1499,1461,1531,557,2442,1499,727,2260,1508,534,2360,1600,1481,1469,1545,1499,1461,1531,557,2442,1499,727,2260,1508,534,2360,1600,1481,1469,1545,1499,1461,1531,557,2442,1499,727,2260,1508,534,2360,1600,1481,1469,1545,1499,1461,1531,557,2442,1499,727,2260,1508,534,2360,1600,1481,1469,1545,1499,1461,1531,557,2442,1499,727,2260,1508,534,2360,1600,1481,1469,1545,1499,1461,1531,557,2442,1499,727,2260,1508,534,2360,1600,1481,1469,1545,424
2134,2247,2188,2192,1997,2302,2268,2091,1842,2638,2193,2191,2190,2149,2232,2134,2247,2188,2192,1997,2302,2268,2091,1842,2638,2193,2191,2190,2149,2232,2134,2247,2188,2192,1997,2302,2268,2091,1842,2638,2193,2191,2190,2149,2232,2134,2247,2188,2192,1997,2302,2268,2091,1842,2638,2193,2191,2190,2149,2232,2134,2247,2188,2192,1997,2302,2268,2091,1842,2638,2193,2191,2190,2149,2232,2134,2247,2188,2192,1997,2302,2268,2091,1842,2638,2193,2191,2190,2149,2232,2134,2247,2188,2192,1997,2302,2268,2091,1842,2638,2193,2191,2190,2149,2232,2134,2247,2188,2192,1997,2302,2268,2091,1842,2638,2193,2191,2190,2149,2232,2134,2247,2188,2192,1997,2302,2268,2091,1842,2638,2193,2191,2190,2149,2232,2134,2247,2188,2192,1997,2302,2268,2091,1842,2638,2193,2191,2190,2149,2232,2134,2247,2188,2192,1997,2302,2268,2091,1842,2638,2193,2191,2190,2149,2232,2134,2247,2188,2192,1997,2302,2268,2091,1842,2638,2193,2191,2190,2149,2232,454
1191,1199,1310,1281,1212,1282,1215,1247,1226,1248,1219,1259,1301,1252,1248,1191,1199,1310,1281,1212,1282,1215,1247,1226,1248,1219,1259,1301,1252,1248,1191,1199,1310,1281,1212,1282,1215,1247,1226,1248,1219,1259,1301,1252,1248,1191,1199,1310,1281,1212,1282,1215,1247,1226,1248,1219,1259,1301,1252,1248,1191,1199,1310,1281,1212,1282,1215,1247,1226,1248,1219,1259,1301,1252,1248,1191,1199,1310,1281,1212,1282,1215,1247,1226,1248,1219,1259,1301,1252,1248,1191,1199,1310,1281,1212,1282,1215,1247,1226,1248,1219,1259,1301,1252,1248,1191,1199,1310,1281,1212,1282,1215,1247,1226,1248,1219,1259,1301,1252,1248,1191,1199,1310,1281,1212,1282,1215,1247,1226,1248,1219,1259,1301,1252,1248,1191,1199,1310,1281,1212,1282,1215,1247,1226,1248,1219,1259,1301,1252,1248,1191,1199,1310,1281,1212,1282,1215,1247,1226,1248,1219,1259,1301,1252,1248,1191,1199,1310,1281,1212,1282,1215,1247,1226,1248,1219,1259,1301,1252,1248,359
444,440,448,444,446,445,443,444,448,444,426,459,448,432,459,444,440,448,444,446,445,443,444,448,444,426,459,448,432,459,444,440,448,444,446,445,443,444,448,444,426,459,448,432,459,444,440,448,444,446,445,443,444,448,444,426,459,448,432,459,444,440,448,444,446,445,443,444,448,444,426,459,448,432,459,444,440,448,444,446,445,443,444,448,444,426,459,448,432,459,444,440,448,444,446,445,443,444,448,444,426,459,448,432,459,444,440,448,444,446,445,443,444,448,444,426,459,448,432,459,444,440,448,444,446,445,443,444,448,444,426,459,448,432,459,444,440,448,444,446,445,443,444,448,444,426,459,448,432,459,444,440,448,444,446,445,443,444,448,444,426,459,448,432,459,444,440,448,444,446,445,443,444,448,444,426,459,448,432,459,87
355,291,543,775,1105,1052,49,829,536,468,458,466,355,291,543,775,1105,1052,49,829,536,468,458,466,355,291,543,775,1105,1052,49,829,536,468,458,466,355,291,543,775,1105,1052,49,829,536,468,458,466,355,291,543,775,1105,1052,49,829,536,468,458,466,355,291,543,775,1105,1052,49,829,536,468,458,466,355,291,543,775,1105,1052,49,829,536,468,458,466,355,291,543,775,1105,1052,49,829,536,468,458,466,355,291,543,775,1105,1052,49,829,536,468,458,466,355,291,543,775,1105,1052,49,829,536,468,458,466,355,291,543,775,1105,1052,49,829,536,468,458,466,355,291,543,775,1105,1052,49,829,536,468,458,466,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790,787,679,897,747,817,807,691,906,743,838,768,805,783,814,790,787,679,897,747,817,807,691,906,743,838,768,805,783,814,790,787,679,897,747,817,807,691,906,743,838,768,805,783,814,790,787,679,897,747,817,807,691,906,743,838,768,805,783,814,790,787,679,897,747,817,807,691,906,743,838,768,805,783,814,790,787,679,897,747,817,807,691,906,743,838,768,805,783,814,790,787,679,897,747,817,807,691,906,743,838,768,805,783,814,790,787,679,897,747,817,807,691,906,743,838,768,805,783,814,790,787,679,897,747,817,807,691,906,743,838,768,805,783,814,790,787,679,897,747,817,807,691,906,743,838,768,805,783,814,790,787,679,897,747,817,807,691,906,743,838,768,805,783,814,790,787,679,897,747,817,807,691,906,743,838,768,805,783,814,311
20,21,19,22,22,21,21,20,21,21,21,20,21,17,25,20,21,19,22,22,21,21,20,21,21,21,20,21,17,25,20,21,19,22,22,21,21,20,21,21,21,20,21,17,25,20,21,19,22,22,21,21,20,21,21,21,20,21,17,25,20,21,19,22,22,21,21,20,21,21,21,20,21,17,25,20,21,19,22,22,21,21,20,21,21,21,20,21,17,25,20,21,19,22,22,21,21,20,21,21,21,20,21,17,25,20,21,19,22,22,21,21,20,21,21,21,20,21,17,25,20,21,19,22,22,21,21,20,21,21,21,20,21,17,25,20,21,19,22,22,21,21,20,21,21,21,20,21,17,25,20,21,19,22,22,21,21,20,21,21,21,20,21,17,25,20,21,19,22,22,21,21,20,21,21,21,20,21,17,25,495
677,681,650,756,755,751,716,710,714,709,716,711,713,712,713,677,681,650,756,755,751,716,710,714,709,716,711,713,712,713,677,681,650,756,755,751,716,710,714,709,716,711,713,712,713,677,681,650,756,755,751,716,710,714,709,716,711,713,712,713,677,681,650,756,755,751,716,710,714,709,716,711,713,712,713,677,681,650,756,755,751,716,710,714,709,716,711,713,712,713,677,681,650,756,755,751,716,710,714,709,716,711,713,712,713,677,681,650,756,755,751,716,710,714,709,716,711,713,712,713,677,681,650,756,755,751,716,710,714,709,716,711,713,712,713,677,681,650,756,755,751,716,710,714,709,716,711,713,712,713,677,681,650,756,755,751,716,710,714,709,716,711,713,712,713,677,681,650,756,755,751,716,710,714,709,716,711,713,712,713,245
1002,1023,1240,845,1295,1132,1117,1100,1039,1149,1069,1013,1199,1094,1096,1002,1023,1240,845,1295,1132,1117,1100,1039,1149,1069,1013,1199,1094,1096,1002,1023,1240,845,1295,1132,1117,1100,1039,1149,1069,1013,1199,1094,1096,1002,1023,1240,845,1295,1132,1117,1100,1039,1149,1069,1013,1199,1094,1096,1002,1023,1240,845,1295,1132,1117,1100,1039,1149,1069,1013,1199,1094,1096,1002,1023,1240,845,1295,1132,1117,1100,1039,1149,1069,1013,1199,1094,1096,1002,1023,1240,845,1295,1132,1117,1100,1039,1149,1069,1013,1199,1094,1096,1002,1023,1240,845,1295,1132,1117,1100,1039,1149,1069,1013,1199,1094,1096,1002,1023,1240,845,1295,1132,1117,1100,1039,1149,1069,1013,1199,1094,1096,1002,1023,1240,845,1295,1132,1117,1100,1039,1149,1069,1013,1199,1094,1096,1002,1023,1240,845,1295,1132,1117,1100,1039,1149,1069,1013,1199,1094,1096,1002,1023,1240,845,1295,1132,1117,1100,1039,1149,1069,1013,1199,1094,1096,151
1134,1104,1189,1156,1156,1064,1247,1091,1219,1145,1161,1080,1136,1243,1154,1134,1104,1189,1156,1156,1064,1247,1091,1219,1145,1161,1080,1136,1243,1154,1134,1104,1189,1156,1156,1064,1247,1091,1219,1145,1161,1080,1136,1243,1154,1134,1104,1189,1156,1156,1064,1247,1091,1219,1145,1161,1080,1136,1243,1154,1134,1104,1189,1156,1156,1064,1247,1091,1219,1145,1161,1080,1136,1243,1154,1134,1104,1189,1156,1156,1064,1247,1091,1219,1145,1161,1080,1136,1243,1154,1134,1104,1189,1156,1156,1064,1247,1091,1219,1145,1161,1080,1136,1243,1154,1134,1104,1189,1156,1156,1064,1247,1091,1219,1145,1161,1080,1136,1243,1154,1134,1104,1189,1156,1156,1064,1247,1091,1219,1145,1161,1080,1136,1243,1154,1134,1104,1189,1156,1156,1064,1247,1091,1219,1145,1161,1080,1136,1243,1154,1134,1104,1189,1156,1156,1064,1247,1091,1219,1145,1161,1080,1136,1243,1154,1134,1104,1189,1156,1156,1064,1247,1091,1219,1145,1161,1080,1136,1243,1154,150
731,685,802,741,741,733,738,739,749,735,722,720,774,732,757,731,685,802,741,741,733,738,739,749,735,722,720,774,732,757,731,685,802,741,741,733,738,739,749,735,722,720,774,732,757,731,685,802,741,741,733,738,739,749,735,722,720,774,732,757,731,685,802,741,741,733,738,739,749,735,722,720,774,732,757,731,685,802,741,741,733,738,739,749,735,722,720,774,732,757,731,685,802,741,741,733,738,739,749,735,722,720,774,732,757,731,685,802,741,741,733,738,739,749,735,722,720,774,732,757,731,685,802,741,741,733,738,739,749,735,722,720,774,732,757,731,685,802,741,741,733,738,739,749,735,722,720,774,732,757,731,685,802,741,741,733,738,739,749,735,722,720,774,732,757,731,685,802,741,741,733,738,739,749,735,722,720,774,732,757,348
1026,1031,1013,780,1267,1058,958,1113,980,1072,842,1211,946,1123,1042,1026,1031,1013,780,1267,1058,958,1113,980,1072,842,1211,946,1123,1042,1026,1031,1013,780,1267,1058,958,1113,980,1072,842,1211,946,1123,1042,1026,1031,1013,780,1267,1058,958,1113,980,1072,842,1211,946,1123,1042,1026,1031,1013,780,1267,1058,958,1113,980,1072,842,1211,946,1123,1042,1026,1031,1013,780,1267,1058,958,1113,980,1072,842,1211,946,1123,1042,1026,1031,1013,780,1267,1058,958,1113,980,1072,842,1211,946,1123,1042,1026,1031,1013,780,1267,1058,958,1113,980,1072,842,1211,946,1123,1042,1026,1031,1013,780,1267,1058,958,1113,980,1072,842,1211,946,1123,1042,1026,1031,1013,780,1267,1058,958,1113,980,1072,842,1211,946,1123,1042,1026,1031,1013,780,1267,1058,958,1113,980,1072,842,1211,946,1123,1042,1026,1031,1013,780,1267,1058,958,1113,980,1072,842,1211,946,1123,1042,272
1158,1000,1212,1122,1208,1238,1142,1142,976,1202,1047,1441,1161,1166,1159,1158,1000,1212,1122,1208,1238,1142,1142,976,1202,1047,1441,1161,1166,1159,1158,1000,1212,1122,1208,1238,1142,1142,976,1202,1047,1441,1161,1166,1159,1158,1000,1212,1122,1208,1238,1142,1142,976,1202,1047,1441,1161,1166,1159,1158,1000,1212,1122,1208,1238,1142,1142,976,1202,1047,1441,1161,1166,1159,1158,1000,1212,1122,1208,1238,1142,1142,976,1202,1047,1441,1161,1166,1159,1158,1000,1212,1122,1208,1238,1142,1142,976,1202,1047,1441,1161,1166,1159,1158,1000,1212,1122,1208,1238,1142,1142,976,1202,1047,1441,1161,1166,1159,1158,1000,1212,1122,1208,1238,1142,1142,976,1202,1047,1441,1161,1166,1159,1158,1000,1212,1122,1208,1238,1142,1142,976,1202,1047,1441,1161,1166,1159,1158,1000,1212,1122,1208,1238,1142,1142,976,1202,1047,1441,1161,1166,1159,1158,1000,1212,1122,1208,1238,1142,1142,976,1202,1047,1441,1161,1166,1159,622
1315,1316,1317,1316,1317,1297,1275,1378,1308,1322,1305,1324,1321,1316,1319,1315,1316,1317,1316,1317,1297,1275,1378,1308,1322,1305,1324,1321,1316,1319,1315,1316,1317,1316,1317,1297,1275,1378,1308,1322,1305,1324,1321,1316,1319,1315,1316,1317,1316,1317,1297,1275,1378,1308,1322,1305,1324,1321,1316,1319,1315,1316,1317,1316,1317,1297,1275,1378,1308,1322,1305,1324,1321,1316,1319,1315,1316,1317,1316,1317,1297,1275,1378,1308,1322,1305,1324,1321,1316,1319,1315,1316,1317,1316,1317,1297,1275,1378,1308,1322,1305,1324,1321,1316,1319,1315,1316,1317,1316,1317,1297,1275,1378,1308,1322,1305,1324,1321,1316,1319,1315,1316,1317,1316,1317,1297,1275,1378,1308,1322,1305,1324,1321,1316,1319,1315,1316,1317,1316,1317,1297,1275,1378,1308,1322,1305,1324,1321,1316,1319,1315,1316,1317,1316,1317,1297,1275,1378,1308,1322,1305,1324,1321,1316,1319,1315,1316,1317,1316,1317,1297,1275,1378,1308,1322,1305,1324,1321,1316,1319,125
1062,1039,1206,1098,1059,999,1252,1085,1120,1102,1087,1117,1101,1101,1105,1062,1039,1206,1098,1059,999,1252,1085,1120,1102,1087,1117,1101,1101,1105,1062,1039,1206,1098,1059,999,1252,1085,1120,1102,1087,1117,1101,1101,1105,1062,1039,1206,1098,1059,999,1252,1085,1120,1102,1087,1117,1101,1101,1105,1062,1039,1206,1098,1059,999,1252,1085,1120,1102,1087,1117,1101,1101,1105,1062,1039,1206,1098,1059,999,1252,1085,1120,1102,1087,1117,1101,1101,1105,1062,1039,1206,1098,1059,999,1252,1085,1120,1102,1087,1117,1101,1101,1105,1062,1039,1206,1098,1059,999,1252,1085,1120,1102,1087,1117,1101,1101,1105,1062,1039,1206,1098,1059,999,1252,1085,1120,1102,1087,1117,1101,1101,1105,1062,1039,1206,1098,1059,999,1252,1085,1120,1102,1087,1117,1101,1101,1105,1062,1039,1206,1098,1059,999,1252,1085,1120,1102,1087,1117,1101,1101,1105,1062,1039,1206,1098,1059,999,1252,1085,1120,1102,1087,1117,1101,1101,1105,347
689,661,608,735,752,697,598,765,710,689,690,671,708,688,697,689,661,608,735,752,697,598,765,710,689,690,671,708,688,697,689,661,608,735,752,697,598,765,710,689,690,671,708,688,697,689,661,608,735,752,697,598,765,710,689,690,671,708,688,697,689,661,608,735,752,697,598,765,710,689,690,671,708,688,697,689,661,608,735,752,697,598,765,710,689,690,671,708,688,697,689,661,608,735,752,697,598,765,710,689,690,671,708,688,697,689,661,608,735,752,697,598,765,710,689,690,671,708,688,697,689,661,608,735,752,697,598,765,710,689,690,671,708,688,697,689,661,608,735,752,697,598,765,710,689,690,671,708,688,697,689,661,608,735,752,697,598,765,710,689,690,671,708,688,697,689,661,608,735,752,697,598,765,710,689,690,671,708,688,697,229
2012,3695,2841,3972,2395,3676,2292,2137,4828,2987,3581,3087,3158,3070,3224,2012,3695,2841,3972,2395,3676,2292,2137,4828,2987,3581,3087,3158,3070,3224,2012,3695,2841,3972,2395,3676,2292,2137,4828,2987,3581,3087,3158,3070,3224,2012,3695,2841,3972,2395,3676,2292,2137,4828,2987,3581,3087,3158,3070,3224,2012,3695,2841,3972,2395,3676,2292,2137,4828,2987,3581,3087,3158,3070,3224,2012,3695,2841,3972,2395,3676,2292,2137,4828,2987,3581,3087,3158,3070,3224,2012,3695,2841,3972,2395,3676,2292,2137,4828,2987,3581,3087,3158,3070,3224,2012,3695,2841,3972,2395,3676,2292,2137,4828,2987,3581,3087,3158,3070,3224,2012,3695,2841,3972,2395,3676,2292,2137,4828,2987,3581,3087,3158,3070,3224,2012,3695,2841,3972,2395,3676,2292,2137,4828,2987,3581,3087,3158,3070,3224,2012,3695,2841,3972,2395,3676,2292,2137,4828,2987,3581,3087,3158,3070,3224,2012,3695,2841,3972,2395,3676,2292,2137,4828,2987,3581,3087,3158,3070,3224,523
1351,1532,458,2539,1048,3845,1654,2154,1744,988,1929,1422,1644,1351,1532,458,2539,1048,3845,1654,2154,1744,988,1929,1422,1644,1351,1532,458,2539,1048,3845,1654,2154,1744,988,1929,1422,1644,1351,1532,458,2539,1048,3845,1654,2154,1744,988,1929,1422,1644,1351,1532,458,2539,1048,3845,1654,2154,1744,988,1929,1422,1644,1351,1532,458,2539,1048,3845,1654,2154,1744,988,1929,1422,1644,1351,1532,458,2539,1048,3845,1654,2154,1744,988,1929,1422,1644,1351,1532,458,2539,1048,3845,1654,2154,1744,988,1929,1422,1644,1351,1532,458,2539,1048,3845,1654,2154,1744,988,1929,1422,1644,1351,1532,458,2539,1048,3845,1654,2154,1744,988,1929,1422,1644,1351,1532,458,2539,1048,3845,1654,2154,1744,988,1929,1422,1644,1351,1532,458,2539,1048,3845,1654,2154,1744,988,1929,1422,1644,167,,,,,,,,,,,,,,,,,,,,,,,,
2507,2472,1878,2725,2672,2667,2372,2756,2295,2744,2207,2794,2512,2501,2532,2507,2472,1878,2725,2672,2667,2372,2756,2295,2744,2207,2794,2512,2501,2532,2507,2472,1878,2725,2672,2667,2372,2756,2295,2744,2207,2794,2512,2501,2532,2507,2472,1878,2725,2672,2667,2372,2756,2295,2744,2207,2794,2512,2501,2532,2507,2472,1878,2725,2672,2667,2372,2756,2295,2744,2207,2794,2512,2501,2532,2507,2472,1878,2725,2672,2667,2372,2756,2295,2744,2207,2794,2512,2501,2532,2507,2472,1878,2725,2672,2667,2372,2756,2295,2744,2207,2794,2512,2501,2532,2507,2472,1878,2725,2672,2667,2372,2756,2295,2744,2207,2794,2512,2501,2532,2507,2472,1878,2725,2672,2667,2372,2756,2295,2744,2207,2794,2512,2501,2532,2507,2472,1878,2725,2672,2667,2372,2756,2295,2744,2207,2794,2512,2501,2532,2507,2472,1878,2725,2672,2667,2372,2756,2295,2744,2207,2794,2512,2501,2532,2507,2472,1878,2725,2672,2667,2372,2756,2295,2744,2207,2794,2512,2501,2532,104
764,754,819,644,877,763,852,779,809,612,864,883,712,854,797,764,754,819,644,877,763,852,779,809,612,864,883,712,854,797,764,754,819,644,877,763,852,779,809,612,864,883,712,854,797,764,754,819,644,877,763,852,779,809,612,864,883,712,854,797,764,754,819,644,877,763,852,779,809,612,864,883,712,854,797,764,754,819,644,877,763,852,779,809,612,864,883,712,854,797,764,754,819,644,877,763,852,779,809,612,864,883,712,854,797,764,754,819,644,877,763,852,779,809,612,864,883,712,854,797,764,754,819,644,877,763,852,779,809,612,864,883,712,854,797,764,754,819,644,877,763,852,779,809,612,864,883,712,854,797,764,754,819,644,877,763,852,779,809,612,864,883,712,854,797,764,754,819,644,877,763,852,779,809,612,864,883,712,854,797,136
