band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_1_13,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_2_13,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_3_13,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_4_13,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_5_13,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_6_13,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_7_13,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_8_13,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_9_13,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_10_13,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_11_13,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12,band_12_13,census_code
1768,2025,2128,2105,2699,1681,1903,2047,2233,2043,3139,1880,2499,1768,2025,2128,2105,2699,1681,1903,2047,2233,2043,3139,1880,2499,1768,2025,2128,2105,2699,1681,1903,2047,2233,2043,3139,1880,2499,1768,2025,2128,2105,2699,1681,1903,2047,2233,2043,3139,1880,2499,1768,2025,2128,2105,2699,1681,1903,2047,2233,2043,3139,1880,2499,1768,2025,2128,2105,2699,1681,1903,2047,2233,2043,3139,1880,2499,1768,2025,2128,2105,2699,1681,1903,2047,2233,2043,3139,1880,2499,1768,2025,2128,2105,2699,1681,1903,2047,2233,2043,3139,1880,2499,1768,2025,2128,2105,2699,1681,1903,2047,2233,2043,3139,1880,2499,1768,2025,2128,2105,2699,1681,1903,2047,2233,2043,3139,1880,2499,1768,2025,2128,2105,2699,1681,1903,2047,2233,2043,3139,1880,2499,1768,2025,2128,2105,2699,1681,1903,2047,2233,2043,3139,1880,2499,574
665,652,660,573,693,300,949,832,666,634,701,667,668,665,652,660,573,693,300,949,832,666,634,701,667,668,665,652,660,573,693,300,949,832,666,634,701,667,668,665,652,660,573,693,300,949,832,666,634,701,667,668,665,652,660,573,693,300,949,832,666,634,701,667,668,665,652,660,573,693,300,949,832,666,634,701,667,668,665,652,660,573,693,300,949,832,666,634,701,667,668,665,652,660,573,693,300,949,832,666,634,701,667,668,665,652,660,573,693,300,949,832,666,634,701,667,668,665,652,660,573,693,300,949,832,666,634,701,667,668,665,652,660,573,693,300,949,832,666,634,701,667,668,665,652,660,573,693,300,949,832,666,634,701,667,668,210
1551,1537,1555,1526,1509,1630,1470,1162,2023,1551,1551,1545,1559,1551,1537,1555,1526,1509,1630,1470,1162,2023,1551,1551,1545,1559,1551,1537,1555,1526,1509,1630,1470,1162,2023,1551,1551,1545,1559,1551,1537,1555,1526,1509,1630,1470,1162,2023,1551,1551,1545,1559,1551,1537,1555,1526,1509,1630,1470,1162,2023,1551,1551,1545,1559,1551,1537,1555,1526,1509,1630,1470,1162,2023,1551,1551,1545,1559,1551,1537,1555,1526,1509,1630,1470,1162,2023,1551,1551,1545,1559,1551,1537,1555,1526,1509,1630,1470,1162,2023,1551,1551,1545,1559,1551,1537,1555,1526,1509,1630,1470,1162,2023,1551,1551,1545,1559,1551,1537,1555,1526,1509,1630,1470,1162,2023,1551,1551,1545,1559,1551,1537,1555,1526,1509,1630,1470,1162,2023,1551,1551,1545,1559,1551,1537,1555,1526,1509,1630,1470,1162,2023,1551,1551,1545,1559,170
1163,1090,1231,1158,1191,1094,1223,1195,1103,1236,962,1381,1169,1163,1090,1231,1158,1191,1094,1223,1195,1103,1236,962,1381,1169,1163,1090,1231,1158,1191,1094,1223,1195,1103,1236,962,1381,1169,1163,1090,1231,1158,1191,1094,1223,1195,1103,1236,962,1381,1169,1163,1090,1231,1158,1191,1094,1223,1195,1103,1236,962,1381,1169,1163,1090,1231,1158,1191,1094,1223,1195,1103,1236,962,1381,1169,1163,1090,1231,1158,1191,1094,1223,1195,1103,1236,962,1381,1169,1163,1090,1231,1158,1191,1094,1223,1195,1103,1236,962,1381,1169,1163,1090,1231,1158,1191,1094,1223,1195,1103,1236,962,1381,1169,1163,1090,1231,1158,1191,1094,1223,1195,1103,1236,962,1381,1169,1163,1090,1231,1158,1191,1094,1223,1195,1103,1236,962,1381,1169,1163,1090,1231,1158,1191,1094,1223,1195,1103,1236,962,1381,1169,387
834,801,860,653,949,744,943,766,727,885,1009,714,958,834,801,860,653,949,744,943,766,727,885,1009,714,958,834,801,860,653,949,744,943,766,727,885,1009,714,958,834,801,860,653,949,744,943,766,727,885,1009,714,958,834,801,860,653,949,744,943,766,727,885,1009,714,958,834,801,860,653,949,744,943,766,727,885,1009,714,958,834,801,860,653,949,744,943,766,727,885,1009,714,958,834,801,860,653,949,744,943,766,727,885,1009,714,958,834,801,860,653,949,744,943,766,727,885,1009,714,958,834,801,860,653,949,744,943,766,727,885,1009,714,958,834,801,860,653,949,744,943,766,727,885,1009,714,958,834,801,860,653,949,744,943,766,727,885,1009,714,958,147
836,896,812,1342,958,1172,940,1064,928,1053,1059,996,1021,836,896,812,1342,958,1172,940,1064,928,1053,1059,996,1021,836,896,812,1342,958,1172,940,1064,928,1053,1059,996,1021,836,896,812,1342,958,1172,940,1064,928,1053,1059,996,1021,836,896,812,1342,958,1172,940,1064,928,1053,1059,996,1021,836,896,812,1342,958,1172,940,1064,928,1053,1059,996,1021,836,896,812,1342,958,1172,940,1064,928,1053,1059,996,1021,836,896,812,1342,958,1172,940,1064,928,1053,1059,996,1021,836,896,812,1342,958,1172,940,1064,928,1053,1059,996,1021,836,896,812,1342,958,1172,940,1064,928,1053,1059,996,1021,836,896,812,1342,958,1172,940,1064,928,1053,1059,996,1021,836,896,812,1342,958,1172,940,1064,928,1053,1059,996,1021,294
836,896,812,1342,958,1172,940,1064,928,1053,1059,996,1021,836,896,812,1342,958,1172,940,1064,928,1053,1059,996,1021,836,896,812,1342,958,1172,940,1064,928,1053,1059,996,1021,836,896,812,1342,958,1172,940,1064,928,1053,1059,996,1021,836,896,812,1342,958,1172,940,1064,928,1053,1059,996,1021,836,896,812,1342,958,1172,940,1064,928,1053,1059,996,1021,836,896,812,1342,958,1172,940,1064,928,1053,1059,996,1021,836,896,812,1342,958,1172,940,1064,928,1053,1059,996,1021,836,896,812,1342,958,1172,940,1064,928,1053,1059,996,1021,836,896,812,1342,958,1172,940,1064,928,1053,1059,996,1021,836,896,812,1342,958,1172,940,1064,928,1053,1059,996,1021,836,896,812,1342,958,1172,940,1064,928,1053,1059,996,1021,294
2784,2774,2507,2739,2808,2909,2938,2812,2768,2741,2832,2698,2881,2784,2774,2507,2739,2808,2909,2938,2812,2768,2741,2832,2698,2881,2784,2774,2507,2739,2808,2909,2938,2812,2768,2741,2832,2698,2881,2784,2774,2507,2739,2808,2909,2938,2812,2768,2741,2832,2698,2881,2784,2774,2507,2739,2808,2909,2938,2812,2768,2741,2832,2698,2881,2784,2774,2507,2739,2808,2909,2938,2812,2768,2741,2832,2698,2881,2784,2774,2507,2739,2808,2909,2938,2812,2768,2741,2832,2698,2881,2784,2774,2507,2739,2808,2909,2938,2812,2768,2741,2832,2698,2881,2784,2774,2507,2739,2808,2909,2938,2812,2768,2741,2832,2698,2881,2784,2774,2507,2739,2808,2909,2938,2812,2768,2741,2832,2698,2881,2784,2774,2507,2739,2808,2909,2938,2812,2768,2741,2832,2698,2881,2784,2774,2507,2739,2808,2909,2938,2812,2768,2741,2832,2698,2881,388
330,254,371,702,408,359,468,407,364,485,378,454,417,330,254,371,702,408,359,468,407,364,485,378,454,417,330,254,371,702,408,359,468,407,364,485,378,454,417,330,254,371,702,408,359,468,407,364,485,378,454,417,330,254,371,702,408,359,468,407,364,485,378,454,417,330,254,371,702,408,359,468,407,364,485,378,454,417,330,254,371,702,408,359,468,407,364,485,378,454,417,330,254,371,702,408,359,468,407,364,485,378,454,417,330,254,371,702,408,359,468,407,364,485,378,454,417,330,254,371,702,408,359,468,407,364,485,378,454,417,330,254,371,702,408,359,468,407,364,485,378,454,417,330,254,371,702,408,359,468,407,364,485,378,454,417,322
1430,2156,1685,1157,1454,1588,1855,1956,1850,1659,2405,2332,1794,1430,2156,1685,1157,1454,1588,1855,1956,1850,1659,2405,2332,1794,1430,2156,1685,1157,1454,1588,1855,1956,1850,1659,2405,2332,1794,1430,2156,1685,1157,1454,1588,1855,1956,1850,1659,2405,2332,1794,1430,2156,1685,1157,1454,1588,1855,1956,1850,1659,2405,2332,1794,1430,2156,1685,1157,1454,1588,1855,1956,1850,1659,2405,2332,1794,1430,2156,1685,1157,1454,1588,1855,1956,1850,1659,2405,2332,1794,1430,2156,1685,1157,1454,1588,1855,1956,1850,1659,2405,2332,1794,1430,2156,1685,1157,1454,1588,1855,1956,1850,1659,2405,2332,1794,1430,2156,1685,1157,1454,1588,1855,1956,1850,1659,2405,2332,1794,1430,2156,1685,1157,1454,1588,1855,1956,1850,1659,2405,2332,1794,1430,2156,1685,1157,1454,1588,1855,1956,1850,1659,2405,2332,1794,578
567,465,717,587,422,508,639,521,796,616,404,746,606,567,465,717,587,422,508,639,521,796,616,404,746,606,567,465,717,587,422,508,639,521,796,616,404,746,606,567,465,717,587,422,508,639,521,796,616,404,746,606,567,465,717,587,422,508,639,521,796,616,404,746,606,567,465,717,587,422,508,639,521,796,616,404,746,606,567,465,717,587,422,508,639,521,796,616,404,746,606,567,465,717,587,422,508,639,521,796,616,404,746,606,567,465,717,587,422,508,639,521,796,616,404,746,606,567,465,717,587,422,508,639,521,796,616,404,746,606,567,465,717,587,422,508,639,521,796,616,404,746,606,567,465,717,587,422,508,639,521,796,616,404,746,606,232
822,1273,1373,363,1609,653,1791,599,1643,562,1695,1482,1204,822,1273,1373,363,1609,653,1791,599,1643,562,1695,1482,1204,822,1273,1373,363,1609,653,1791,599,1643,562,1695,1482,1204,822,1273,1373,363,1609,653,1791,599,1643,562,1695,1482,1204,822,1273,1373,363,1609,653,1791,599,1643,562,1695,1482,1204,822,1273,1373,363,1609,653,1791,599,1643,562,1695,1482,1204,822,1273,1373,363,1609,653,1791,599,1643,562,1695,1482,1204,822,1273,1373,363,1609,653,1791,599,1643,562,1695,1482,1204,822,1273,1373,363,1609,653,1791,599,1643,562,1695,1482,1204,822,1273,1373,363,1609,653,1791,599,1643,562,1695,1482,1204,822,1273,1373,363,1609,653,1791,599,1643,562,1695,1482,1204,822,1273,1373,363,1609,653,1791,599,1643,562,1695,1482,1204,195
174,239,247,220,253,224,206,221,262,228,219,231,232,174,239,247,220,253,224,206,221,262,228,219,231,232,174,239,247,220,253,224,206,221,262,228,219,231,232,174,239,247,220,253,224,206,221,262,228,219,231,232,174,239,247,220,253,224,206,221,262,228,219,231,232,174,239,247,220,253,224,206,221,262,228,219,231,232,174,239,247,220,253,224,206,221,262,228,219,231,232,174,239,247,220,253,224,206,221,262,228,219,231,232,174,239,247,220,253,224,206,221,262,228,219,231,232,174,239,247,220,253,224,206,221,262,228,219,231,232,174,239,247,220,253,224,206,221,262,228,219,231,232,174,239,247,220,253,224,206,221,262,228,219,231,232,240
13333,12629,14048,13319,13352,11573,14617,13791,13366,13325,13263,13419,13341,13333,12629,14048,13319,13352,11573,14617,13791,13366,13325,13263,13419,13341,13333,12629,14048,13319,13352,11573,14617,13791,13366,13325,13263,13419,13341,13333,12629,14048,13319,13352,11573,14617,13791,13366,13325,13263,13419,13341,13333,12629,14048,13319,13352,11573,14617,13791,13366,13325,13263,13419,13341,13333,12629,14048,13319,13352,11573,14617,13791,13366,13325,13263,13419,13341,13333,12629,14048,13319,13352,11573,14617,13791,13366,13325,13263,13419,13341,13333,12629,14048,13319,13352,11573,14617,13791,13366,13325,13263,13419,13341,13333,12629,14048,13319,13352,11573,14617,13791,13366,13325,13263,13419,13341,13333,12629,14048,13319,13352,11573,14617,13791,13366,13325,13263,13419,13341,13333,12629,14048,13319,13352,11573,14617,13791,13366,13325,13263,13419,13341,13333,12629,14048,13319,13352,11573,14617,13791,13366,13325,13263,13419,13341,114
670,786,621,682,818,770,703,809,938,750,747,815,762,670,786,621,682,818,770,703,809,938,750,747,815,762,670,786,621,682,818,770,703,809,938,750,747,815,762,670,786,621,682,818,770,703,809,938,750,747,815,762,670,786,621,682,818,770,703,809,938,750,747,815,762,670,786,621,682,818,770,703,809,938,750,747,815,762,670,786,621,682,818,770,703,809,938,750,747,815,762,670,786,621,682,818,770,703,809,938,750,747,815,762,670,786,621,682,818,770,703,809,938,750,747,815,762,670,786,621,682,818,770,703,809,938,750,747,815,762,670,786,621,682,818,770,703,809,938,750,747,815,762,670,786,621,682,818,770,703,809,938,750,747,815,762,159
305,583,441,445,310,573,460,367,503,464,446,445,446,305,583,441,445,310,573,460,367,503,464,446,445,446,305,583,441,445,310,573,460,367,503,464,446,445,446,305,583,441,445,310,573,460,367,503,464,446,445,446,305,583,441,445,310,573,460,367,503,464,446,445,446,305,583,441,445,310,573,460,367,503,464,446,445,446,305,583,441,445,310,573,460,367,503,464,446,445,446,305,583,441,445,310,573,460,367,503,464,446,445,446,305,583,441,445,310,573,460,367,503,464,446,445,446,305,583,441,445,310,573,460,367,503,464,446,445,446,305,583,441,445,310,573,460,367,503,464,446,445,446,305,583,441,445,310,573,460,367,503,464,446,445,446,598
1625,2944,2236,2367,1549,2297,2924,2256,1157,2580,3113,2503,2370,1625,2944,2236,2367,1549,2297,2924,2256,1157,2580,3113,2503,2370,1625,2944,2236,2367,1549,2297,2924,2256,1157,2580,3113,2503,2370,1625,2944,2236,2367,1549,2297,2924,2256,1157,2580,3113,2503,2370,1625,2944,2236,2367,1549,2297,2924,2256,1157,2580,3113,2503,2370,1625,2944,2236,2367,1549,2297,2924,2256,1157,2580,3113,2503,2370,1625,2944,2236,2367,1549,2297,2924,2256,1157,2580,3113,2503,2370,1625,2944,2236,2367,1549,2297,2924,2256,1157,2580,3113,2503,2370,1625,2944,2236,2367,1549,2297,2924,2256,1157,2580,3113,2503,2370,1625,2944,2236,2367,1549,2297,2924,2256,1157,2580,3113,2503,2370,1625,2944,2236,2367,1549,2297,2924,2256,1157,2580,3113,2503,2370,1625,2944,2236,2367,1549,2297,2924,2256,1157,2580,3113,2503,2370,200
3158,2887,3422,3214,3108,3151,3280,1977,4128,3263,3271,3219,3188,3158,2887,3422,3214,3108,3151,3280,1977,4128,3263,3271,3219,3188,3158,2887,3422,3214,3108,3151,3280,1977,4128,3263,3271,3219,3188,3158,2887,3422,3214,3108,3151,3280,1977,4128,3263,3271,3219,3188,3158,2887,3422,3214,3108,3151,3280,1977,4128,3263,3271,3219,3188,3158,2887,3422,3214,3108,3151,3280,1977,4128,3263,3271,3219,3188,3158,2887,3422,3214,3108,3151,3280,1977,4128,3263,3271,3219,3188,3158,2887,3422,3214,3108,3151,3280,1977,4128,3263,3271,3219,3188,3158,2887,3422,3214,3108,3151,3280,1977,4128,3263,3271,3219,3188,3158,2887,3422,3214,3108,3151,3280,1977,4128,3263,3271,3219,3188,3158,2887,3422,3214,3108,3151,3280,1977,4128,3263,3271,3219,3188,3158,2887,3422,3214,3108,3151,3280,1977,4128,3263,3271,3219,3188,535
864,887,1178,845,1117,1001,797,905,957,1222,954,1033,1045,864,887,1178,845,1117,1001,797,905,957,1222,954,1033,1045,864,887,1178,845,1117,1001,797,905,957,1222,954,1033,1045,864,887,1178,845,1117,1001,797,905,957,1222,954,1033,1045,864,887,1178,845,1117,1001,797,905,957,1222,954,1033,1045,864,887,1178,845,1117,1001,797,905,957,1222,954,1033,1045,864,887,1178,845,1117,1001,797,905,957,1222,954,1033,1045,864,887,1178,845,1117,1001,797,905,957,1222,954,1033,1045,864,887,1178,845,1117,1001,797,905,957,1222,954,1033,1045,864,887,1178,845,1117,1001,797,905,957,1222,954,1033,1045,864,887,1178,845,1117,1001,797,905,957,1222,954,1033,1045,864,887,1178,845,1117,1001,797,905,957,1222,954,1033,1045,184
1104,1109,1046,1147,1015,1194,1035,1154,1163,1053,1096,1172,1115,1104,1109,1046,1147,1015,1194,1035,1154,1163,1053,1096,1172,1115,1104,1109,1046,1147,1015,1194,1035,1154,1163,1053,1096,1172,1115,1104,1109,1046,1147,1015,1194,1035,1154,1163,1053,1096,1172,1115,1104,1109,1046,1147,1015,1194,1035,1154,1163,1053,1096,1172,1115,1104,1109,1046,1147,1015,1194,1035,1154,1163,1053,1096,1172,1115,1104,1109,1046,1147,1015,1194,1035,1154,1163,1053,1096,1172,1115,1104,1109,1046,1147,1015,1194,1035,1154,1163,1053,1096,1172,1115,1104,1109,1046,1147,1015,1194,1035,1154,1163,1053,1096,1172,1115,1104,1109,1046,1147,1015,1194,1035,1154,1163,1053,1096,1172,1115,1104,1109,1046,1147,1015,1194,1035,1154,1163,1053,1096,1172,1115,1104,1109,1046,1147,1015,1194,1035,1154,1163,1053,1096,1172,1115,330
621,620,447,457,625,703,770,670,655,657,610,605,660,621,620,447,457,625,703,770,670,655,657,610,605,660,621,620,447,457,625,703,770,670,655,657,610,605,660,621,620,447,457,625,703,770,670,655,657,610,605,660,621,620,447,457,625,703,770,670,655,657,610,605,660,621,620,447,457,625,703,770,670,655,657,610,605,660,621,620,447,457,625,703,770,670,655,657,610,605,660,621,620,447,457,625,703,770,670,655,657,610,605,660,621,620,447,457,625,703,770,670,655,657,610,605,660,621,620,447,457,625,703,770,670,655,657,610,605,660,621,620,447,457,625,703,770,670,655,657,610,605,660,621,620,447,457,625,703,770,670,655,657,610,605,660,588
1085,1205,1195,1033,1117,1338,1151,1163,643,1298,1540,1141,1200,1085,1205,1195,1033,1117,1338,1151,1163,643,1298,1540,1141,1200,1085,1205,1195,1033,1117,1338,1151,1163,643,1298,1540,1141,1200,1085,1205,1195,1033,1117,1338,1151,1163,643,1298,1540,1141,1200,1085,1205,1195,1033,1117,1338,1151,1163,643,1298,1540,1141,1200,1085,1205,1195,1033,1117,1338,1151,1163,643,1298,1540,1141,1200,1085,1205,1195,1033,1117,1338,1151,1163,643,1298,1540,1141,1200,1085,1205,1195,1033,1117,1338,1151,1163,643,1298,1540,1141,1200,1085,1205,1195,1033,1117,1338,1151,1163,643,1298,1540,1141,1200,1085,1205,1195,1033,1117,1338,1151,1163,643,1298,1540,1141,1200,1085,1205,1195,1033,1117,1338,1151,1163,643,1298,1540,1141,1200,1085,1205,1195,1033,1117,1338,1151,1163,643,1298,1540,1141,1200,188
2397,2247,3160,2580,2448,2364,3162,1455,3300,2618,3430,2420,3218,2397,2247,3160,2580,2448,2364,3162,1455,3300,2618,3430,2420,3218,2397,2247,3160,2580,2448,2364,3162,1455,3300,2618,3430,2420,3218,2397,2247,3160,2580,2448,2364,3162,1455,3300,2618,3430,2420,3218,2397,2247,3160,2580,2448,2364,3162,1455,3300,2618,3430,2420,3218,2397,2247,3160,2580,2448,2364,3162,1455,3300,2618,3430,2420,3218,2397,2247,3160,2580,2448,2364,3162,1455,3300,2618,3430,2420,3218,2397,2247,3160,2580,2448,2364,3162,1455,3300,2618,3430,2420,3218,2397,2247,3160,2580,2448,2364,3162,1455,3300,2618,3430,2420,3218,2397,2247,3160,2580,2448,2364,3162,1455,3300,2618,3430,2420,3218,2397,2247,3160,2580,2448,2364,3162,1455,3300,2618,3430,2420,3218,2397,2247,3160,2580,2448,2364,3162,1455,3300,2618,3430,2420,3218,528
1263,1235,1235,1365,1275,1242,1297,1109,1443,1273,1197,1343,1293,1263,1235,1235,1365,1275,1242,1297,1109,1443,1273,1197,1343,1293,1263,1235,1235,1365,1275,1242,1297,1109,1443,1273,1197,1343,1293,1263,1235,1235,1365,1275,1242,1297,1109,1443,1273,1197,1343,1293,1263,1235,1235,1365,1275,1242,1297,1109,1443,1273,1197,1343,1293,1263,1235,1235,1365,1275,1242,1297,1109,1443,1273,1197,1343,1293,1263,1235,1235,1365,1275,1242,1297,1109,1443,1273,1197,1343,1293,1263,1235,1235,1365,1275,1242,1297,1109,1443,1273,1197,1343,1293,1263,1235,1235,1365,1275,1242,1297,1109,1443,1273,1197,1343,1293,1263,1235,1235,1365,1275,1242,1297,1109,1443,1273,1197,1343,1293,1263,1235,1235,1365,1275,1242,1297,1109,1443,1273,1197,1343,1293,1263,1235,1235,1365,1275,1242,1297,1109,1443,1273,1197,1343,1293,394
2099,2185,1947,2114,2335,1906,2389,2281,2183,2159,2162,2151,2169,2099,2185,1947,2114,2335,1906,2389,2281,2183,2159,2162,2151,2169,2099,2185,1947,2114,2335,1906,2389,2281,2183,2159,2162,2151,2169,2099,2185,1947,2114,2335,1906,2389,2281,2183,2159,2162,2151,2169,2099,2185,1947,2114,2335,1906,2389,2281,2183,2159,2162,2151,2169,2099,2185,1947,2114,2335,1906,2389,2281,2183,2159,2162,2151,2169,2099,2185,1947,2114,2335,1906,2389,2281,2183,2159,2162,2151,2169,2099,2185,1947,2114,2335,1906,2389,2281,2183,2159,2162,2151,2169,2099,2185,1947,2114,2335,1906,2389,2281,2183,2159,2162,2151,2169,2099,2185,1947,2114,2335,1906,2389,2281,2183,2159,2162,2151,2169,2099,2185,1947,2114,2335,1906,2389,2281,2183,2159,2162,2151,2169,2099,2185,1947,2114,2335,1906,2389,2281,2183,2159,2162,2151,2169,260
54,54,60,40,76,35,56,63,63,57,66,33,93,54,54,60,40,76,35,56,63,63,57,66,33,93,54,54,60,40,76,35,56,63,63,57,66,33,93,54,54,60,40,76,35,56,63,63,57,66,33,93,54,54,60,40,76,35,56,63,63,57,66,33,93,54,54,60,40,76,35,56,63,63,57,66,33,93,54,54,60,40,76,35,56,63,63,57,66,33,93,54,54,60,40,76,35,56,63,63,57,66,33,93,54,54,60,40,76,35,56,63,63,57,66,33,93,54,54,60,40,76,35,56,63,63,57,66,33,93,54,54,60,40,76,35,56,63,63,57,66,33,93,54,54,60,40,76,35,56,63,63,57,66,33,93,536
679,652,721,714,684,698,695,692,628,748,700,688,696,679,652,721,714,684,698,695,692,628,748,700,688,696,679,652,721,714,684,698,695,692,628,748,700,688,696,679,652,721,714,684,698,695,692,628,748,700,688,696,679,652,721,714,684,698,695,692,628,748,700,688,696,679,652,721,714,684,698,695,692,628,748,700,688,696,679,652,721,714,684,698,695,692,628,748,700,688,696,679,652,721,714,684,698,695,692,628,748,700,688,696,679,652,721,714,684,698,695,692,628,748,700,688,696,679,652,721,714,684,698,695,692,628,748,700,688,696,679,652,721,714,684,698,695,692,628,748,700,688,696,679,652,721,714,684,698,695,692,628,748,700,688,696,302
1704,1786,1818,1650,1815,1849,1758,1788,1767,1754,1783,1765,1788,1704,1786,1818,1650,1815,1849,1758,1788,1767,1754,1783,1765,1788,1704,1786,1818,1650,1815,1849,1758,1788,1767,1754,1783,1765,1788,1704,1786,1818,1650,1815,1849,1758,1788,1767,1754,1783,1765,1788,1704,1786,1818,1650,1815,1849,1758,1788,1767,1754,1783,1765,1788,1704,1786,1818,1650,1815,1849,1758,1788,1767,1754,1783,1765,1788,1704,1786,1818,1650,1815,1849,1758,1788,1767,1754,1783,1765,1788,1704,1786,1818,1650,1815,1849,1758,1788,1767,1754,1783,1765,1788,1704,1786,1818,1650,1815,1849,1758,1788,1767,1754,1783,1765,1788,1704,1786,1818,1650,1815,1849,1758,1788,1767,1754,1783,1765,1788,1704,1786,1818,1650,1815,1849,1758,1788,1767,1754,1783,1765,1788,1704,1786,1818,1650,1815,1849,1758,1788,1767,1754,1783,1765,1788,558
938,1108,946,878,1361,1049,971,1105,1061,1035,975,1129,1050,938,1108,946,878,1361,1049,971,1105,1061,1035,975,1129,1050,938,1108,946,878,1361,1049,971,1105,1061,1035,975,1129,1050,938,1108,946,878,1361,1049,971,1105,1061,1035,975,1129,1050,938,1108,946,878,1361,1049,971,1105,1061,1035,975,1129,1050,938,1108,946,878,1361,1049,971,1105,1061,1035,975,1129,1050,938,1108,946,878,1361,1049,971,1105,1061,1035,975,1129,1050,938,1108,946,878,1361,1049,971,1105,1061,1035,975,1129,1050,938,1108,946,878,1361,1049,971,1105,1061,1035,975,1129,1050,938,1108,946,878,1361,1049,971,1105,1061,1035,975,1129,1050,938,1108,946,878,1361,1049,971,1105,1061,1035,975,1129,1050,938,1108,946,878,1361,1049,971,1105,1061,1035,975,1129,1050,106
1038,1024,1057,1066,1045,1046,1033,1056,1042,1057,1045,1054,1047,1038,1024,1057,1066,1045,1046,1033,1056,1042,1057,1045,1054,1047,1038,1024,1057,1066,1045,1046,1033,1056,1042,1057,1045,1054,1047,1038,1024,1057,1066,1045,1046,1033,1056,1042,1057,1045,1054,1047,1038,1024,1057,1066,1045,1046,1033,1056,1042,1057,1045,1054,1047,1038,1024,1057,1066,1045,1046,1033,1056,1042,1057,1045,1054,1047,1038,1024,1057,1066,1045,1046,1033,1056,1042,1057,1045,1054,1047,1038,1024,1057,1066,1045,1046,1033,1056,1042,1057,1045,1054,1047,1038,1024,1057,1066,1045,1046,1033,1056,1042,1057,1045,1054,1047,1038,1024,1057,1066,1045,1046,1033,1056,1042,1057,1045,1054,1047,1038,1024,1057,1066,1045,1046,1033,1056,1042,1057,1045,1054,1047,1038,1024,1057,1066,1045,1046,1033,1056,1042,1057,1045,1054,1047,212
3375,3222,3527,3396,3378,3382,3246,3503,3364,3381,3405,3068,3692,3375,3222,3527,3396,3378,3382,3246,3503,3364,3381,3405,3068,3692,3375,3222,3527,3396,3378,3382,3246,3503,3364,3381,3405,3068,3692,3375,3222,3527,3396,3378,3382,3246,3503,3364,3381,3405,3068,3692,3375,3222,3527,3396,3378,3382,3246,3503,3364,3381,3405,3068,3692,3375,3222,3527,3396,3378,3382,3246,3503,3364,3381,3405,3068,3692,3375,3222,3527,3396,3378,3382,3246,3503,3364,3381,3405,3068,3692,3375,3222,3527,3396,3378,3382,3246,3503,3364,3381,3405,3068,3692,3375,3222,3527,3396,3378,3382,3246,3503,3364,3381,3405,3068,3692,3375,3222,3527,3396,3378,3382,3246,3503,3364,3381,3405,3068,3692,3375,3222,3527,3396,3378,3382,3246,3503,3364,3381,3405,3068,3692,3375,3222,3527,3396,3378,3382,3246,3503,3364,3381,3405,3068,3692,571
