band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,census_code
900,1040,854,1080,969,936,981,999,900,1040,854,1080,969,936,981,999,900,1040,854,1080,969,936,981,999,900,1040,854,1080,969,936,981,999,900,1040,854,1080,969,936,981,999,900,1040,854,1080,969,936,981,999,900,1040,854,1080,969,936,981,999,900,1040,854,1080,969,936,981,999,900,1040,854,1080,969,936,981,999,900,1040,854,1080,969,936,981,999,900,1040,854,1080,969,936,981,999,900,1040,854,1080,969,936,981,999,271
1627,1809,1683,1752,1684,1738,1729,1732,1627,1809,1683,1752,1684,1738,1729,1732,1627,1809,1683,1752,1684,1738,1729,1732,1627,1809,1683,1752,1684,1738,1729,1732,1627,1809,1683,1752,1684,1738,1729,1732,1627,1809,1683,1752,1684,1738,1729,1732,1627,1809,1683,1752,1684,1738,1729,1732,1627,1809,1683,1752,1684,1738,1729,1732,1627,1809,1683,1752,1684,1738,1729,1732,1627,1809,1683,1752,1684,1738,1729,1732,1627,1809,1683,1752,1684,1738,1729,1732,1627,1809,1683,1752,1684,1738,1729,1732,290
320,257,300,400,364,329,323,334,320,257,300,400,364,329,323,334,320,257,300,400,364,329,323,334,320,257,300,400,364,329,323,334,320,257,300,400,364,329,323,334,320,257,300,400,364,329,323,334,320,257,300,400,364,329,323,334,320,257,300,400,364,329,323,334,320,257,300,400,364,329,323,334,320,257,300,400,364,329,323,334,320,257,300,400,364,329,323,334,320,257,300,400,364,329,323,334,13
2296,2713,2457,2302,2960,2243,2615,2853,2296,2713,2457,2302,2960,2243,2615,2853,2296,2713,2457,2302,2960,2243,2615,2853,2296,2713,2457,2302,2960,2243,2615,2853,2296,2713,2457,2302,2960,2243,2615,2853,2296,2713,2457,2302,2960,2243,2615,2853,2296,2713,2457,2302,2960,2243,2615,2853,2296,2713,2457,2302,2960,2243,2615,2853,2296,2713,2457,2302,2960,2243,2615,2853,2296,2713,2457,2302,2960,2243,2615,2853,2296,2713,2457,2302,2960,2243,2615,2853,2296,2713,2457,2302,2960,2243,2615,2853,165
776,770,780,765,775,492,1069,777,776,770,780,765,775,492,1069,777,776,770,780,765,775,492,1069,777,776,770,780,765,775,492,1069,777,776,770,780,765,775,492,1069,777,776,770,780,765,775,492,1069,777,776,770,780,765,775,492,1069,777,776,770,780,765,775,492,1069,777,776,770,780,765,775,492,1069,777,776,770,780,765,775,492,1069,777,776,770,780,765,775,492,1069,777,776,770,780,765,775,492,1069,777,2
4200,4203,4127,4176,4304,4205,4202,4206,4200,4203,4127,4176,4304,4205,4202,4206,4200,4203,4127,4176,4304,4205,4202,4206,4200,4203,4127,4176,4304,4205,4202,4206,4200,4203,4127,4176,4304,4205,4202,4206,4200,4203,4127,4176,4304,4205,4202,4206,4200,4203,4127,4176,4304,4205,4202,4206,4200,4203,4127,4176,4304,4205,4202,4206,4200,4203,4127,4176,4304,4205,4202,4206,4200,4203,4127,4176,4304,4205,4202,4206,4200,4203,4127,4176,4304,4205,4202,4206,4200,4203,4127,4176,4304,4205,4202,4206,62
8139,8381,10236,9478,9132,9069,9030,9147,8139,8381,10236,9478,9132,9069,9030,9147,8139,8381,10236,9478,9132,9069,9030,9147,8139,8381,10236,9478,9132,9069,9030,9147,8139,8381,10236,9478,9132,9069,9030,9147,8139,8381,10236,9478,9132,9069,9030,9147,8139,8381,10236,9478,9132,9069,9030,9147,8139,8381,10236,9478,9132,9069,9030,9147,8139,8381,10236,9478,9132,9069,9030,9147,8139,8381,10236,9478,9132,9069,9030,9147,8139,8381,10236,9478,9132,9069,9030,9147,8139,8381,10236,9478,9132,9069,9030,9147,522
717,762,910,806,727,866,795,811,717,762,910,806,727,866,795,811,717,762,910,806,727,866,795,811,717,762,910,806,727,866,795,811,717,762,910,806,727,866,795,811,717,762,910,806,727,866,795,811,717,762,910,806,727,866,795,811,717,762,910,806,727,866,795,811,717,762,910,806,727,866,795,811,717,762,910,806,727,866,795,811,717,762,910,806,727,866,795,811,717,762,910,806,727,866,795,811,15
17,19,18,21,18,16,22,19,17,19,18,21,18,16,22,19,17,19,18,21,18,16,22,19,17,19,18,21,18,16,22,19,17,19,18,21,18,16,22,19,17,19,18,21,18,16,22,19,17,19,18,21,18,16,22,19,17,19,18,21,18,16,22,19,17,19,18,21,18,16,22,19,17,19,18,21,18,16,22,19,17,19,18,21,18,16,22,19,17,19,18,21,18,16,22,19,494
3365,3365,3354,3368,3401,3312,3368,3432,3365,3365,3354,3368,3401,3312,3368,3432,3365,3365,3354,3368,3401,3312,3368,3432,3365,3365,3354,3368,3401,3312,3368,3432,3365,3365,3354,3368,3401,3312,3368,3432,3365,3365,3354,3368,3401,3312,3368,3432,3365,3365,3354,3368,3401,3312,3368,3432,3365,3365,3354,3368,3401,3312,3368,3432,3365,3365,3354,3368,3401,3312,3368,3432,3365,3365,3354,3368,3401,3312,3368,3432,3365,3365,3354,3368,3401,3312,3368,3432,3365,3365,3354,3368,3401,3312,3368,3432,103
1226,1364,1771,918,1762,1558,1759,1832,1226,1364,1771,918,1762,1558,1759,1832,1226,1364,1771,918,1762,1558,1759,1832,1226,1364,1771,918,1762,1558,1759,1832,1226,1364,1771,918,1762,1558,1759,1832,1226,1364,1771,918,1762,1558,1759,1832,1226,1364,1771,918,1762,1558,1759,1832,1226,1364,1771,918,1762,1558,1759,1832,1226,1364,1771,918,1762,1558,1759,1832,1226,1364,1771,918,1762,1558,1759,1832,1226,1364,1771,918,1762,1558,1759,1832,1226,1364,1771,918,1762,1558,1759,1832,148
1170,1059,1575,1501,1386,1243,1466,1349,1170,1059,1575,1501,1386,1243,1466,1349,1170,1059,1575,1501,1386,1243,1466,1349,1170,1059,1575,1501,1386,1243,1466,1349,1170,1059,1575,1501,1386,1243,1466,1349,1170,1059,1575,1501,1386,1243,1466,1349,1170,1059,1575,1501,1386,1243,1466,1349,1170,1059,1575,1501,1386,1243,1466,1349,1170,1059,1575,1501,1386,1243,1466,1349,1170,1059,1575,1501,1386,1243,1466,1349,1170,1059,1575,1501,1386,1243,1466,1349,1170,1059,1575,1501,1386,1243,1466,1349,350
3571,3341,3830,3594,3444,3717,3519,3659,3571,3341,3830,3594,3444,3717,3519,3659,3571,3341,3830,3594,3444,3717,3519,3659,3571,3341,3830,3594,3444,3717,3519,3659,3571,3341,3830,3594,3444,3717,3519,3659,3571,3341,3830,3594,3444,3717,3519,3659,3571,3341,3830,3594,3444,3717,3519,3659,3571,3341,3830,3594,3444,3717,3519,3659,3571,3341,3830,3594,3444,3717,3519,3659,3571,3341,3830,3594,3444,3717,3519,3659,3571,3341,3830,3594,3444,3717,3519,3659,3571,3341,3830,3594,3444,3717,3519,3659,445
3628,3642,3555,3696,3648,3641,3608,3662,3628,3642,3555,3696,3648,3641,3608,3662,3628,3642,3555,3696,3648,3641,3608,3662,3628,3642,3555,3696,3648,3641,3608,3662,3628,3642,3555,3696,3648,3641,3608,3662,3628,3642,3555,3696,3648,3641,3608,3662,3628,3642,3555,3696,3648,3641,3608,3662,3628,3642,3555,3696,3648,3641,3608,3662,3628,3642,3555,3696,3648,3641,3608,3662,3628,3642,3555,3696,3648,3641,3608,3662,3628,3642,3555,3696,3648,3641,3608,3662,3628,3642,3555,3696,3648,3641,3608,3662,400
3984,4055,3682,4371,3988,4056,4024,4025,3984,4055,3682,4371,3988,4056,4024,4025,3984,4055,3682,4371,3988,4056,4024,4025,3984,4055,3682,4371,3988,4056,4024,4025,3984,4055,3682,4371,3988,4056,4024,4025,3984,4055,3682,4371,3988,4056,4024,4025,3984,4055,3682,4371,3988,4056,4024,4025,3984,4055,3682,4371,3988,4056,4024,4025,3984,4055,3682,4371,3988,4056,4024,4025,3984,4055,3682,4371,3988,4056,4024,4025,3984,4055,3682,4371,3988,4056,4024,4025,3984,4055,3682,4371,3988,4056,4024,4025,530
3186,3102,3261,2438,3901,3129,3280,3188,3186,3102,3261,2438,3901,3129,3280,3188,3186,3102,3261,2438,3901,3129,3280,3188,3186,3102,3261,2438,3901,3129,3280,3188,3186,3102,3261,2438,3901,3129,3280,3188,3186,3102,3261,2438,3901,3129,3280,3188,3186,3102,3261,2438,3901,3129,3280,3188,3186,3102,3261,2438,3901,3129,3280,3188,3186,3102,3261,2438,3901,3129,3280,3188,3186,3102,3261,2438,3901,3129,3280,3188,3186,3102,3261,2438,3901,3129,3280,3188,3186,3102,3261,2438,3901,3129,3280,3188,497
1221,1364,1291,1213,1388,1291,1299,1296,1221,1364,1291,1213,1388,1291,1299,1296,1221,1364,1291,1213,1388,1291,1299,1296,1221,1364,1291,1213,1388,1291,1299,1296,1221,1364,1291,1213,1388,1291,1299,1296,1221,1364,1291,1213,1388,1291,1299,1296,1221,1364,1291,1213,1388,1291,1299,1296,1221,1364,1291,1213,1388,1291,1299,1296,1221,1364,1291,1213,1388,1291,1299,1296,1221,1364,1291,1213,1388,1291,1299,1296,1221,1364,1291,1213,1388,1291,1299,1296,1221,1364,1291,1213,1388,1291,1299,1296,303
4139,4172,4291,4391,4230,4256,4256,4268,4139,4172,4291,4391,4230,4256,4256,4268,4139,4172,4291,4391,4230,4256,4256,4268,4139,4172,4291,4391,4230,4256,4256,4268,4139,4172,4291,4391,4230,4256,4256,4268,4139,4172,4291,4391,4230,4256,4256,4268,4139,4172,4291,4391,4230,4256,4256,4268,4139,4172,4291,4391,4230,4256,4256,4268,4139,4172,4291,4391,4230,4256,4256,4268,4139,4172,4291,4391,4230,4256,4256,4268,4139,4172,4291,4391,4230,4256,4256,4268,4139,4172,4291,4391,4230,4256,4256,4268,257
5686,5769,5653,6163,5607,5893,5980,5824,5686,5769,5653,6163,5607,5893,5980,5824,5686,5769,5653,6163,5607,5893,5980,5824,5686,5769,5653,6163,5607,5893,5980,5824,5686,5769,5653,6163,5607,5893,5980,5824,5686,5769,5653,6163,5607,5893,5980,5824,5686,5769,5653,6163,5607,5893,5980,5824,5686,5769,5653,6163,5607,5893,5980,5824,5686,5769,5653,6163,5607,5893,5980,5824,5686,5769,5653,6163,5607,5893,5980,5824,5686,5769,5653,6163,5607,5893,5980,5824,5686,5769,5653,6163,5607,5893,5980,5824,423
7418,8290,7862,7741,8010,7896,7859,7887,7418,8290,7862,7741,8010,7896,7859,7887,7418,8290,7862,7741,8010,7896,7859,7887,7418,8290,7862,7741,8010,7896,7859,7887,7418,8290,7862,7741,8010,7896,7859,7887,7418,8290,7862,7741,8010,7896,7859,7887,7418,8290,7862,7741,8010,7896,7859,7887,7418,8290,7862,7741,8010,7896,7859,7887,7418,8290,7862,7741,8010,7896,7859,7887,7418,8290,7862,7741,8010,7896,7859,7887,7418,8290,7862,7741,8010,7896,7859,7887,7418,8290,7862,7741,8010,7896,7859,7887,526
968,1113,1436,1597,1083,1442,1299,1291,968,1113,1436,1597,1083,1442,1299,1291,968,1113,1436,1597,1083,1442,1299,1291,968,1113,1436,1597,1083,1442,1299,1291,968,1113,1436,1597,1083,1442,1299,1291,968,1113,1436,1597,1083,1442,1299,1291,968,1113,1436,1597,1083,1442,1299,1291,968,1113,1436,1597,1083,1442,1299,1291,968,1113,1436,1597,1083,1442,1299,1291,968,1113,1436,1597,1083,1442,1299,1291,968,1113,1436,1597,1083,1442,1299,1291,968,1113,1436,1597,1083,1442,1299,1291,47
1563,1636,1260,1832,1332,1730,2045,1693,1563,1636,1260,1832,1332,1730,2045,1693,1563,1636,1260,1832,1332,1730,2045,1693,1563,1636,1260,1832,1332,1730,2045,1693,1563,1636,1260,1832,1332,1730,2045,1693,1563,1636,1260,1832,1332,1730,2045,1693,1563,1636,1260,1832,1332,1730,2045,1693,1563,1636,1260,1832,1332,1730,2045,1693,1563,1636,1260,1832,1332,1730,2045,1693,1563,1636,1260,1832,1332,1730,2045,1693,1563,1636,1260,1832,1332,1730,2045,1693,1563,1636,1260,1832,1332,1730,2045,1693,187
6402,6233,6558,6343,5593,6473,7175,6437,6402,6233,6558,6343,5593,6473,7175,6437,6402,6233,6558,6343,5593,6473,7175,6437,6402,6233,6558,6343,5593,6473,7175,6437,6402,6233,6558,6343,5593,6473,7175,6437,6402,6233,6558,6343,5593,6473,7175,6437,6402,6233,6558,6343,5593,6473,7175,6437,6402,6233,6558,6343,5593,6473,7175,6437,6402,6233,6558,6343,5593,6473,7175,6437,6402,6233,6558,6343,5593,6473,7175,6437,6402,6233,6558,6343,5593,6473,7175,6437,6402,6233,6558,6343,5593,6473,7175,6437,455
40,40,38,42,40,40,40,40,40,40,38,42,40,40,40,40,40,40,38,42,40,40,40,40,40,40,38,42,40,40,40,40,40,40,38,42,40,40,40,40,40,40,38,42,40,40,40,40,40,40,38,42,40,40,40,40,40,40,38,42,40,40,40,40,40,40,38,42,40,40,40,40,40,40,38,42,40,40,40,40,40,40,38,42,40,40,40,40,40,40,38,42,40,40,40,40,91
2599,2966,2734,2823,2649,2911,2788,2790,2599,2966,2734,2823,2649,2911,2788,2790,2599,2966,2734,2823,2649,2911,2788,2790,2599,2966,2734,2823,2649,2911,2788,2790,2599,2966,2734,2823,2649,2911,2788,2790,2599,2966,2734,2823,2649,2911,2788,2790,2599,2966,2734,2823,2649,2911,2788,2790,2599,2966,2734,2823,2649,2911,2788,2790,2599,2966,2734,2823,2649,2911,2788,2790,2599,2966,2734,2823,2649,2911,2788,2790,2599,2966,2734,2823,2649,2911,2788,2790,2599,2966,2734,2823,2649,2911,2788,2790,502
385,646,7,875,598,391,706,519,385,646,7,875,598,391,706,519,385,646,7,875,598,391,706,519,385,646,7,875,598,391,706,519,385,646,7,875,598,391,706,519,385,646,7,875,598,391,706,519,385,646,7,875,598,391,706,519,385,646,7,875,598,391,706,519,385,646,7,875,598,391,706,519,385,646,7,875,598,391,706,519,385,646,7,875,598,391,706,519,385,646,7,875,598,391,706,519,28
644,881,922,871,1031,868,1025,1011,644,881,922,871,1031,868,1025,1011,644,881,922,871,1031,868,1025,1011,644,881,922,871,1031,868,1025,1011,644,881,922,871,1031,868,1025,1011,644,881,922,871,1031,868,1025,1011,644,881,922,871,1031,868,1025,1011,644,881,922,871,1031,868,1025,1011,644,881,922,871,1031,868,1025,1011,644,881,922,871,1031,868,1025,1011,644,881,922,871,1031,868,1025,1011,644,881,922,871,1031,868,1025,1011,29
5426,4021,6330,3533,6409,6980,5238,5667,5426,4021,6330,3533,6409,6980,5238,5667,5426,4021,6330,3533,6409,6980,5238,5667,5426,4021,6330,3533,6409,6980,5238,5667,5426,4021,6330,3533,6409,6980,5238,5667,5426,4021,6330,3533,6409,6980,5238,5667,5426,4021,6330,3533,6409,6980,5238,5667,5426,4021,6330,3533,6409,6980,5238,5667,5426,4021,6330,3533,6409,6980,5238,5667,5426,4021,6330,3533,6409,6980,5238,5667,5426,4021,6330,3533,6409,6980,5238,5667,5426,4021,6330,3533,6409,6980,5238,5667,447
3841,3933,3821,4009,4008,3908,3947,3935,3841,3933,3821,4009,4008,3908,3947,3935,3841,3933,3821,4009,4008,3908,3947,3935,3841,3933,3821,4009,4008,3908,3947,3935,3841,3933,3821,4009,4008,3908,3947,3935,3841,3933,3821,4009,4008,3908,3947,3935,3841,3933,3821,4009,4008,3908,3947,3935,3841,3933,3821,4009,4008,3908,3947,3935,3841,3933,3821,4009,4008,3908,3947,3935,3841,3933,3821,4009,4008,3908,3947,3935,3841,3933,3821,4009,4008,3908,3947,3935,3841,3933,3821,4009,4008,3908,3947,3935,396
775,863,819,780,828,847,821,819,775,863,819,780,828,847,821,819,775,863,819,780,828,847,821,819,775,863,819,780,828,847,821,819,775,863,819,780,828,847,821,819,775,863,819,780,828,847,821,819,775,863,819,780,828,847,821,819,775,863,819,780,828,847,821,819,775,863,819,780,828,847,821,819,775,863,819,780,828,847,821,819,775,863,819,780,828,847,821,819,775,863,819,780,828,847,821,819,356
3148,2700,3202,3502,3230,3067,3142,3276,3148,2700,3202,3502,3230,3067,3142,3276,3148,2700,3202,3502,3230,3067,3142,3276,3148,2700,3202,3502,3230,3067,3142,3276,3148,2700,3202,3502,3230,3067,3142,3276,3148,2700,3202,3502,3230,3067,3142,3276,3148,2700,3202,3502,3230,3067,3142,3276,3148,2700,3202,3502,3230,3067,3142,3276,3148,2700,3202,3502,3230,3067,3142,3276,3148,2700,3202,3502,3230,3067,3142,3276,3148,2700,3202,3502,3230,3067,3142,3276,3148,2700,3202,3502,3230,3067,3142,3276,337
2226,2242,2174,2423,2271,2079,2507,2275,2226,2242,2174,2423,2271,2079,2507,2275,2226,2242,2174,2423,2271,2079,2507,2275,2226,2242,2174,2423,2271,2079,2507,2275,2226,2242,2174,2423,2271,2079,2507,2275,2226,2242,2174,2423,2271,2079,2507,2275,2226,2242,2174,2423,2271,2079,2507,2275,2226,2242,2174,2423,2271,2079,2507,2275,2226,2242,2174,2423,2271,2079,2507,2275,2226,2242,2174,2423,2271,2079,2507,2275,2226,2242,2174,2423,2271,2079,2507,2275,2226,2242,2174,2423,2271,2079,2507,2275,183
959,983,974,908,897,1092,984,980,959,983,974,908,897,1092,984,980,959,983,974,908,897,1092,984,980,959,983,974,908,897,1092,984,980,959,983,974,908,897,1092,984,980,959,983,974,908,897,1092,984,980,959,983,974,908,897,1092,984,980,959,983,974,908,897,1092,984,980,959,983,974,908,897,1092,984,980,959,983,974,908,897,1092,984,980,959,983,974,908,897,1092,984,980,959,983,974,908,897,1092,984,980,320
220,1200,682,590,921,740,791,737,220,1200,682,590,921,740,791,737,220,1200,682,590,921,740,791,737,220,1200,682,590,921,740,791,737,220,1200,682,590,921,740,791,737,220,1200,682,590,921,740,791,737,220,1200,682,590,921,740,791,737,220,1200,682,590,921,740,791,737,220,1200,682,590,921,740,791,737,220,1200,682,590,921,740,791,737,220,1200,682,590,921,740,791,737,220,1200,682,590,921,740,791,737,318
3761,5158,4463,4546,4485,3578,5390,4485,3761,5158,4463,4546,4485,3578,5390,4485,3761,5158,4463,4546,4485,3578,5390,4485,3761,5158,4463,4546,4485,3578,5390,4485,3761,5158,4463,4546,4485,3578,5390,4485,3761,5158,4463,4546,4485,3578,5390,4485,3761,5158,4463,4546,4485,3578,5390,4485,3761,5158,4463,4546,4485,3578,5390,4485,3761,5158,4463,4546,4485,3578,5390,4485,3761,5158,4463,4546,4485,3578,5390,4485,3761,5158,4463,4546,4485,3578,5390,4485,3761,5158,4463,4546,4485,3578,5390,4485,375
3873,4737,4306,4305,3960,4638,4217,4412,3873,4737,4306,4305,3960,4638,4217,4412,3873,4737,4306,4305,3960,4638,4217,4412,3873,4737,4306,4305,3960,4638,4217,4412,3873,4737,4306,4305,3960,4638,4217,4412,3873,4737,4306,4305,3960,4638,4217,4412,3873,4737,4306,4305,3960,4638,4217,4412,3873,4737,4306,4305,3960,4638,4217,4412,3873,4737,4306,4305,3960,4638,4217,4412,3873,4737,4306,4305,3960,4638,4217,4412,3873,4737,4306,4305,3960,4638,4217,4412,3873,4737,4306,4305,3960,4638,4217,4412,390
2322,1751,1705,3511,835,2719,2837,2910,2322,1751,1705,3511,835,2719,2837,2910,2322,1751,1705,3511,835,2719,2837,2910,2322,1751,1705,3511,835,2719,2837,2910,2322,1751,1705,3511,835,2719,2837,2910,2322,1751,1705,3511,835,2719,2837,2910,2322,1751,1705,3511,835,2719,2837,2910,2322,1751,1705,3511,835,2719,2837,2910,2322,1751,1705,3511,835,2719,2837,2910,2322,1751,1705,3511,835,2719,2837,2910,2322,1751,1705,3511,835,2719,2837,2910,2322,1751,1705,3511,835,2719,2837,2910,273
1327,1336,1332,1325,1308,1360,1271,1396,1327,1336,1332,1325,1308,1360,1271,1396,1327,1336,1332,1325,1308,1360,1271,1396,1327,1336,1332,1325,1308,1360,1271,1396,1327,1336,1332,1325,1308,1360,1271,1396,1327,1336,1332,1325,1308,1360,1271,1396,1327,1336,1332,1325,1308,1360,1271,1396,1327,1336,1332,1325,1308,1360,1271,1396,1327,1336,1332,1325,1308,1360,1271,1396,1327,1336,1332,1325,1308,1360,1271,1396,1327,1336,1332,1325,1308,1360,1271,1396,1327,1336,1332,1325,1308,1360,1271,1396,324
2469,2471,2439,2456,2512,2426,2505,2505,2469,2471,2439,2456,2512,2426,2505,2505,2469,2471,2439,2456,2512,2426,2505,2505,2469,2471,2439,2456,2512,2426,2505,2505,2469,2471,2439,2456,2512,2426,2505,2505,2469,2471,2439,2456,2512,2426,2505,2505,2469,2471,2439,2456,2512,2426,2505,2505,2469,2471,2439,2456,2512,2426,2505,2505,2469,2471,2439,2456,2512,2426,2505,2505,2469,2471,2439,2456,2512,2426,2505,2505,2469,2471,2439,2456,2512,2426,2505,2505,2469,2471,2439,2456,2512,2426,2505,2505,179
2093,2059,2117,2101,2088,2083,2093,2108,2093,2059,2117,2101,2088,2083,2093,2108,2093,2059,2117,2101,2088,2083,2093,2108,2093,2059,2117,2101,2088,2083,2093,2108,2093,2059,2117,2101,2088,2083,2093,2108,2093,2059,2117,2101,2088,2083,2093,2108,2093,2059,2117,2101,2088,2083,2093,2108,2093,2059,2117,2101,2088,2083,2093,2108,2093,2059,2117,2101,2088,2083,2093,2108,2093,2059,2117,2101,2088,2083,2093,2108,2093,2059,2117,2101,2088,2083,2093,2108,2093,2059,2117,2101,2088,2083,2093,2108,405
1432,1453,1447,1121,1750,1435,1462,1459,1432,1453,1447,1121,1750,1435,1462,1459,1432,1453,1447,1121,1750,1435,1462,1459,1432,1453,1447,1121,1750,1435,1462,1459,1432,1453,1447,1121,1750,1435,1462,1459,1432,1453,1447,1121,1750,1435,1462,1459,1432,1453,1447,1121,1750,1435,1462,1459,1432,1453,1447,1121,1750,1435,1462,1459,1432,1453,1447,1121,1750,1435,1462,1459,1432,1453,1447,1121,1750,1435,1462,1459,1432,1453,1447,1121,1750,1435,1462,1459,1432,1453,1447,1121,1750,1435,1462,1459,5
1972,1981,2224,2011,2101,2000,2123,2061,1972,1981,2224,2011,2101,2000,2123,2061,1972,1981,2224,2011,2101,2000,2123,2061,1972,1981,2224,2011,2101,2000,2123,2061,1972,1981,2224,2011,2101,2000,2123,2061,1972,1981,2224,2011,2101,2000,2123,2061,1972,1981,2224,2011,2101,2000,2123,2061,1972,1981,2224,2011,2101,2000,2123,2061,1972,1981,2224,2011,2101,2000,2123,2061,1972,1981,2224,2011,2101,2000,2123,2061,1972,1981,2224,2011,2101,2000,2123,2061,1972,1981,2224,2011,2101,2000,2123,2061,581
4311,4342,4399,4088,4629,4372,4363,4363,4311,4342,4399,4088,4629,4372,4363,4363,4311,4342,4399,4088,4629,4372,4363,4363,4311,4342,4399,4088,4629,4372,4363,4363,4311,4342,4399,4088,4629,4372,4363,4363,4311,4342,4399,4088,4629,4372,4363,4363,4311,4342,4399,4088,4629,4372,4363,4363,4311,4342,4399,4088,4629,4372,4363,4363,4311,4342,4399,4088,4629,4372,4363,4363,4311,4342,4399,4088,4629,4372,4363,4363,4311,4342,4399,4088,4629,4372,4363,4363,4311,4342,4399,4088,4629,4372,4363,4363,111
1334,1334,1336,1194,1450,1272,1422,1336,1334,1334,1336,1194,1450,1272,1422,1336,1334,1334,1336,1194,1450,1272,1422,1336,1334,1334,1336,1194,1450,1272,1422,1336,1334,1334,1336,1194,1450,1272,1422,1336,1334,1334,1336,1194,1450,1272,1422,1336,1334,1334,1336,1194,1450,1272,1422,1336,1334,1334,1336,1194,1450,1272,1422,1336,1334,1334,1336,1194,1450,1272,1422,1336,1334,1334,1336,1194,1450,1272,1422,1336,1334,1334,1336,1194,1450,1272,1422,1336,1334,1334,1336,1194,1450,1272,1422,1336,378
18,23,21,18,22,21,20,21,18,23,21,18,22,21,20,21,18,23,21,18,22,21,20,21,18,23,21,18,22,21,20,21,18,23,21,18,22,21,20,21,18,23,21,18,22,21,20,21,18,23,21,18,22,21,20,21,18,23,21,18,22,21,20,21,18,23,21,18,22,21,20,21,18,23,21,18,22,21,20,21,18,23,21,18,22,21,20,21,18,23,21,18,22,21,20,21,634
4770,4749,4685,4639,5011,4754,4789,4775,4770,4749,4685,4639,5011,4754,4789,4775,4770,4749,4685,4639,5011,4754,4789,4775,4770,4749,4685,4639,5011,4754,4789,4775,4770,4749,4685,4639,5011,4754,4789,4775,4770,4749,4685,4639,5011,4754,4789,4775,4770,4749,4685,4639,5011,4754,4789,4775,4770,4749,4685,4639,5011,4754,4789,4775,4770,4749,4685,4639,5011,4754,4789,4775,4770,4749,4685,4639,5011,4754,4789,4775,4770,4749,4685,4639,5011,4754,4789,4775,4770,4749,4685,4639,5011,4754,4789,4775,119
1124,1127,1060,1198,1129,977,1211,1195,1124,1127,1060,1198,1129,977,1211,1195,1124,1127,1060,1198,1129,977,1211,1195,1124,1127,1060,1198,1129,977,1211,1195,1124,1127,1060,1198,1129,977,1211,1195,1124,1127,1060,1198,1129,977,1211,1195,1124,1127,1060,1198,1129,977,1211,1195,1124,1127,1060,1198,1129,977,1211,1195,1124,1127,1060,1198,1129,977,1211,1195,1124,1127,1060,1198,1129,977,1211,1195,1124,1127,1060,1198,1129,977,1211,1195,1124,1127,1060,1198,1129,977,1211,1195,162
1557,1556,1501,1494,1678,1563,1481,1636,1557,1556,1501,1494,1678,1563,1481,1636,1557,1556,1501,1494,1678,1563,1481,1636,1557,1556,1501,1494,1678,1563,1481,1636,1557,1556,1501,1494,1678,1563,1481,1636,1557,1556,1501,1494,1678,1563,1481,1636,1557,1556,1501,1494,1678,1563,1481,1636,1557,1556,1501,1494,1678,1563,1481,1636,1557,1556,1501,1494,1678,1563,1481,1636,1557,1556,1501,1494,1678,1563,1481,1636,1557,1556,1501,1494,1678,1563,1481,1636,1557,1556,1501,1494,1678,1563,1481,1636,298
4597,4667,4633,4631,4582,4677,4582,4697,4597,4667,4633,4631,4582,4677,4582,4697,4597,4667,4633,4631,4582,4677,4582,4697,4597,4667,4633,4631,4582,4677,4582,4697,4597,4667,4633,4631,4582,4677,4582,4697,4597,4667,4633,4631,4582,4677,4582,4697,4597,4667,4633,4631,4582,4677,4582,4697,4597,4667,4633,4631,4582,4677,4582,4697,4597,4667,4633,4631,4582,4677,4582,4697,4597,4667,4633,4631,4582,4677,4582,4697,4597,4667,4633,4631,4582,4677,4582,4697,4597,4667,4633,4631,4582,4677,4582,4697,409
2745,4208,2353,4732,2318,4276,3996,3522,2745,4208,2353,4732,2318,4276,3996,3522,2745,4208,2353,4732,2318,4276,3996,3522,2745,4208,2353,4732,2318,4276,3996,3522,2745,4208,2353,4732,2318,4276,3996,3522,2745,4208,2353,4732,2318,4276,3996,3522,2745,4208,2353,4732,2318,4276,3996,3522,2745,4208,2353,4732,2318,4276,3996,3522,2745,4208,2353,4732,2318,4276,3996,3522,2745,4208,2353,4732,2318,4276,3996,3522,2745,4208,2353,4732,2318,4276,3996,3522,2745,4208,2353,4732,2318,4276,3996,3522,574
