band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,census_code
1029,1141,1067,1128,1095,1092,1029,1141,1067,1128,1095,1092,1029,1141,1067,1128,1095,1092,1029,1141,1067,1128,1095,1092,1029,1141,1067,1128,1095,1092,1029,1141,1067,1128,1095,1092,1029,1141,1067,1128,1095,1092,1029,1141,1067,1128,1095,1092,1029,1141,1067,1128,1095,1092,1029,1141,1067,1128,1095,1092,1029,1141,1067,1128,1095,1092,1029,1141,1067,1128,1095,1092,356
4165,4254,4133,4163,4163,4389,4165,4254,4133,4163,4163,4389,4165,4254,4133,4163,4163,4389,4165,4254,4133,4163,4163,4389,4165,4254,4133,4163,4163,4389,4165,4254,4133,4163,4163,4389,4165,4254,4133,4163,4163,4389,4165,4254,4133,4163,4163,4389,4165,4254,4133,4163,4163,4389,4165,4254,4133,4163,4163,4389,4165,4254,4133,4163,4163,4389,4165,4254,4133,4163,4163,4389,337
2868,3018,3179,2761,3305,3066,2868,3018,3179,2761,3305,3066,2868,3018,3179,2761,3305,3066,2868,3018,3179,2761,3305,3066,2868,3018,3179,2761,3305,3066,2868,3018,3179,2761,3305,3066,2868,3018,3179,2761,3305,3066,2868,3018,3179,2761,3305,3066,2868,3018,3179,2761,3305,3066,2868,3018,3179,2761,3305,3066,2868,3018,3179,2761,3305,3066,2868,3018,3179,2761,3305,3066,183
1260,1308,1256,1234,1415,1304,1260,1308,1256,1234,1415,1304,1260,1308,1256,1234,1415,1304,1260,1308,1256,1234,1415,1304,1260,1308,1256,1234,1415,1304,1260,1308,1256,1234,1415,1304,1260,1308,1256,1234,1415,1304,1260,1308,1256,1234,1415,1304,1260,1308,1256,1234,1415,1304,1260,1308,1256,1234,1415,1304,1260,1308,1256,1234,1415,1304,1260,1308,1256,1234,1415,1304,320
786,1172,734,1226,976,987,786,1172,734,1226,976,987,786,1172,734,1226,976,987,786,1172,734,1226,976,987,786,1172,734,1226,976,987,786,1172,734,1226,976,987,786,1172,734,1226,976,987,786,1172,734,1226,976,987,786,1172,734,1226,976,987,786,1172,734,1226,976,987,786,1172,734,1226,976,987,786,1172,734,1226,976,987,318
5330,6604,5994,4892,6181,6865,5330,6604,5994,4892,6181,6865,5330,6604,5994,4892,6181,6865,5330,6604,5994,4892,6181,6865,5330,6604,5994,4892,6181,6865,5330,6604,5994,4892,6181,6865,5330,6604,5994,4892,6181,6865,5330,6604,5994,4892,6181,6865,5330,6604,5994,4892,6181,6865,5330,6604,5994,4892,6181,6865,5330,6604,5994,4892,6181,6865,5330,6604,5994,4892,6181,6865,375
5063,6297,5861,5739,5686,5802,5063,6297,5861,5739,5686,5802,5063,6297,5861,5739,5686,5802,5063,6297,5861,5739,5686,5802,5063,6297,5861,5739,5686,5802,5063,6297,5861,5739,5686,5802,5063,6297,5861,5739,5686,5802,5063,6297,5861,5739,5686,5802,5063,6297,5861,5739,5686,5802,5063,6297,5861,5739,5686,5802,5063,6297,5861,5739,5686,5802,5063,6297,5861,5739,5686,5802,390
2630,3148,3511,3104,3008,3189,2630,3148,3511,3104,3008,3189,2630,3148,3511,3104,3008,3189,2630,3148,3511,3104,3008,3189,2630,3148,3511,3104,3008,3189,2630,3148,3511,3104,3008,3189,2630,3148,3511,3104,3008,3189,2630,3148,3511,3104,3008,3189,2630,3148,3511,3104,3008,3189,2630,3148,3511,3104,3008,3189,2630,3148,3511,3104,3008,3189,2630,3148,3511,3104,3008,3189,273
1737,1808,1775,1771,1724,1840,1737,1808,1775,1771,1724,1840,1737,1808,1775,1771,1724,1840,1737,1808,1775,1771,1724,1840,1737,1808,1775,1771,1724,1840,1737,1808,1775,1771,1724,1840,1737,1808,1775,1771,1724,1840,1737,1808,1775,1771,1724,1840,1737,1808,1775,1771,1724,1840,1737,1808,1775,1771,1724,1840,1737,1808,1775,1771,1724,1840,1737,1808,1775,1771,1724,1840,324
3265,3283,3287,3312,3318,3318,3265,3283,3287,3312,3318,3318,3265,3283,3287,3312,3318,3318,3265,3283,3287,3312,3318,3318,3265,3283,3287,3312,3318,3318,3265,3283,3287,3312,3318,3318,3265,3283,3287,3312,3318,3318,3265,3283,3287,3312,3318,3318,3265,3283,3287,3312,3318,3318,3265,3283,3287,3312,3318,3318,3265,3283,3287,3312,3318,3318,3265,3283,3287,3312,3318,3318,179
2755,2814,2801,2736,2811,2825,2755,2814,2801,2736,2811,2825,2755,2814,2801,2736,2811,2825,2755,2814,2801,2736,2811,2825,2755,2814,2801,2736,2811,2825,2755,2814,2801,2736,2811,2825,2755,2814,2801,2736,2811,2825,2755,2814,2801,2736,2811,2825,2755,2814,2801,2736,2811,2825,2755,2814,2801,2736,2811,2825,2755,2814,2801,2736,2811,2825,2755,2814,2801,2736,2811,2825,405
1918,1627,1908,2084,2093,1929,1918,1627,1908,2084,2093,1929,1918,1627,1908,2084,2093,1929,1918,1627,1908,2084,2093,1929,1918,1627,1908,2084,2093,1929,1918,1627,1908,2084,2093,1929,1918,1627,1908,2084,2093,1929,1918,1627,1908,2084,2093,1929,1918,1627,1908,2084,2093,1929,1918,1627,1908,2084,2093,1929,1918,1627,1908,2084,2093,1929,1918,1627,1908,2084,2093,1929,5
2690,2683,2815,2615,2900,2770,2690,2683,2815,2615,2900,2770,2690,2683,2815,2615,2900,2770,2690,2683,2815,2615,2900,2770,2690,2683,2815,2615,2900,2770,2690,2683,2815,2615,2900,2770,2690,2683,2815,2615,2900,2770,2690,2683,2815,2615,2900,2770,2690,2683,2815,2615,2900,2770,2690,2683,2815,2615,2900,2770,2690,2683,2815,2615,2900,2770,2690,2683,2815,2615,2900,2770,581
5801,5354,5985,6105,4889,6733,5801,5354,5985,6105,4889,6733,5801,5354,5985,6105,4889,6733,5801,5354,5985,6105,4889,6733,5801,5354,5985,6105,4889,6733,5801,5354,5985,6105,4889,6733,5801,5354,5985,6105,4889,6733,5801,5354,5985,6105,4889,6733,5801,5354,5985,6105,4889,6733,5801,5354,5985,6105,4889,6733,5801,5354,5985,6105,4889,6733,5801,5354,5985,6105,4889,6733,111
1762,1785,1651,1891,1808,1781,1762,1785,1651,1891,1808,1781,1762,1785,1651,1891,1808,1781,1762,1785,1651,1891,1808,1781,1762,1785,1651,1891,1808,1781,1762,1785,1651,1891,1808,1781,1762,1785,1651,1891,1808,1781,1762,1785,1651,1891,1808,1781,1762,1785,1651,1891,1808,1781,1762,1785,1651,1891,1808,1781,1762,1785,1651,1891,1808,1781,1762,1785,1651,1891,1808,1781,378
28,26,26,29,27,28,28,26,26,29,27,28,28,26,26,29,27,28,28,26,26,29,27,28,28,26,26,29,27,28,28,26,26,29,27,28,28,26,26,29,27,28,28,26,26,29,27,28,28,26,26,29,27,28,28,26,26,29,27,28,28,26,26,29,27,28,28,26,26,29,27,28,634
6361,6350,6132,6591,6373,6365,6361,6350,6132,6591,6373,6365,6361,6350,6132,6591,6373,6365,6361,6350,6132,6591,6373,6365,6361,6350,6132,6591,6373,6365,6361,6350,6132,6591,6373,6365,6361,6350,6132,6591,6373,6365,6361,6350,6132,6591,6373,6365,6361,6350,6132,6591,6373,6365,6361,6350,6132,6591,6373,6365,6361,6350,6132,6591,6373,6365,6361,6350,6132,6591,6373,6365,119
1501,1506,1502,1495,1513,1504,1501,1506,1502,1495,1513,1504,1501,1506,1502,1495,1513,1504,1501,1506,1502,1495,1513,1504,1501,1506,1502,1495,1513,1504,1501,1506,1502,1495,1513,1504,1501,1506,1502,1495,1513,1504,1501,1506,1502,1495,1513,1504,1501,1506,1502,1495,1513,1504,1501,1506,1502,1495,1513,1504,1501,1506,1502,1495,1513,1504,1501,1506,1502,1495,1513,1504,162
2075,2011,2022,2081,2179,2098,2075,2011,2022,2081,2179,2098,2075,2011,2022,2081,2179,2098,2075,2011,2022,2081,2179,2098,2075,2011,2022,2081,2179,2098,2075,2011,2022,2081,2179,2098,2075,2011,2022,2081,2179,2098,2075,2011,2022,2081,2179,2098,2075,2011,2022,2081,2179,2098,2075,2011,2022,2081,2179,2098,2075,2011,2022,2081,2179,2098,2075,2011,2022,2081,2179,2098,298
6171,6184,6173,6141,6219,6178,6171,6184,6173,6141,6219,6178,6171,6184,6173,6141,6219,6178,6171,6184,6173,6141,6219,6178,6171,6184,6173,6141,6219,6178,6171,6184,6173,6141,6219,6178,6171,6184,6173,6141,6219,6178,6171,6184,6173,6141,6219,6178,6171,6184,6173,6141,6219,6178,6171,6184,6173,6141,6219,6178,6171,6184,6173,6141,6219,6178,6171,6184,6173,6141,6219,6178,409
3793,5513,4732,4551,4853,4708,3793,5513,4732,4551,4853,4708,3793,5513,4732,4551,4853,4708,3793,5513,4732,4551,4853,4708,3793,5513,4732,4551,4853,4708,3793,5513,4732,4551,4853,4708,3793,5513,4732,4551,4853,4708,3793,5513,4732,4551,4853,4708,3793,5513,4732,4551,4853,4708,3793,5513,4732,4551,4853,4708,3793,5513,4732,4551,4853,4708,3793,5513,4732,4551,4853,4708,574
1401,1473,1449,1173,1715,1449,1401,1473,1449,1173,1715,1449,1401,1473,1449,1173,1715,1449,1401,1473,1449,1173,1715,1449,1401,1473,1449,1173,1715,1449,1401,1473,1449,1173,1715,1449,1401,1473,1449,1173,1715,1449,1401,1473,1449,1173,1715,1449,1401,1473,1449,1173,1715,1449,1401,1473,1449,1173,1715,1449,1401,1473,1449,1173,1715,1449,1401,1473,1449,1173,1715,1449,210
3359,3218,3495,3374,3342,3381,3359,3218,3495,3374,3342,3381,3359,3218,3495,3374,3342,3381,3359,3218,3495,3374,3342,3381,3359,3218,3495,3374,3342,3381,3359,3218,3495,3374,3342,3381,3359,3218,3495,3374,3342,3381,3359,3218,3495,3374,3342,3381,3359,3218,3495,3374,3342,3381,3359,3218,3495,3374,3342,3381,3359,3218,3495,3374,3342,3381,3359,3218,3495,3374,3342,3381,170
2529,2487,2245,2862,2523,2550,2529,2487,2245,2862,2523,2550,2529,2487,2245,2862,2523,2550,2529,2487,2245,2862,2523,2550,2529,2487,2245,2862,2523,2550,2529,2487,2245,2862,2523,2550,2529,2487,2245,2862,2523,2550,2529,2487,2245,2862,2523,2550,2529,2487,2245,2862,2523,2550,2529,2487,2245,2862,2523,2550,2529,2487,2245,2862,2523,2550,2529,2487,2245,2862,2523,2550,387
1724,1891,1757,1700,1811,1960,1724,1891,1757,1700,1811,1960,1724,1891,1757,1700,1811,1960,1724,1891,1757,1700,1811,1960,1724,1891,1757,1700,1811,1960,1724,1891,1757,1700,1811,1960,1724,1891,1757,1700,1811,1960,1724,1891,1757,1700,1811,1960,1724,1891,1757,1700,1811,1960,1724,1891,1757,1700,1811,1960,1724,1891,1757,1700,1811,1960,1724,1891,1757,1700,1811,1960,147
1732,2154,2597,2192,2170,2232,1732,2154,2597,2192,2170,2232,1732,2154,2597,2192,2170,2232,1732,2154,2597,2192,2170,2232,1732,2154,2597,2192,2170,2232,1732,2154,2597,2192,2170,2232,1732,2154,2597,2192,2170,2232,1732,2154,2597,2192,2170,2232,1732,2154,2597,2192,2170,2232,1732,2154,2597,2192,2170,2232,1732,2154,2597,2192,2170,2232,1732,2154,2597,2192,2170,2232,294
1732,2154,2597,2192,2170,2232,1732,2154,2597,2192,2170,2232,1732,2154,2597,2192,2170,2232,1732,2154,2597,2192,2170,2232,1732,2154,2597,2192,2170,2232,1732,2154,2597,2192,2170,2232,1732,2154,2597,2192,2170,2232,1732,2154,2597,2192,2170,2232,1732,2154,2597,2192,2170,2232,1732,2154,2597,2192,2170,2232,1732,2154,2597,2192,2170,2232,1732,2154,2597,2192,2170,2232,294
5618,6445,5439,6613,6012,6064,5618,6445,5439,6613,6012,6064,5618,6445,5439,6613,6012,6064,5618,6445,5439,6613,6012,6064,5618,6445,5439,6613,6012,6064,5618,6445,5439,6613,6012,6064,5618,6445,5439,6613,6012,6064,5618,6445,5439,6613,6012,6064,5618,6445,5439,6613,6012,6064,5618,6445,5439,6613,6012,6064,5618,6445,5439,6613,6012,6064,5618,6445,5439,6613,6012,6064,388
897,789,1006,855,888,962,897,789,1006,855,888,962,897,789,1006,855,888,962,897,789,1006,855,888,962,897,789,1006,855,888,962,897,789,1006,855,888,962,897,789,1006,855,888,962,897,789,1006,855,888,962,897,789,1006,855,888,962,897,789,1006,855,888,962,897,789,1006,855,888,962,897,789,1006,855,888,962,322
3627,4138,3560,3806,4064,4126,3627,4138,3560,3806,4064,4126,3627,4138,3560,3806,4064,4126,3627,4138,3560,3806,4064,4126,3627,4138,3560,3806,4064,4126,3627,4138,3560,3806,4064,4126,3627,4138,3560,3806,4064,4126,3627,4138,3560,3806,4064,4126,3627,4138,3560,3806,4064,4126,3627,4138,3560,3806,4064,4126,3627,4138,3560,3806,4064,4126,3627,4138,3560,3806,4064,4126,578
1261,1268,1264,1262,1187,1352,1261,1268,1264,1262,1187,1352,1261,1268,1264,1262,1187,1352,1261,1268,1264,1262,1187,1352,1261,1268,1264,1262,1187,1352,1261,1268,1264,1262,1187,1352,1261,1268,1264,1262,1187,1352,1261,1268,1264,1262,1187,1352,1261,1268,1264,1262,1187,1352,1261,1268,1264,1262,1187,1352,1261,1268,1264,1262,1187,1352,1261,1268,1264,1262,1187,1352,232
2095,1736,2262,3825,2465,2686,2095,1736,2262,3825,2465,2686,2095,1736,2262,3825,2465,2686,2095,1736,2262,3825,2465,2686,2095,1736,2262,3825,2465,2686,2095,1736,2262,3825,2465,2686,2095,1736,2262,3825,2465,2686,2095,1736,2262,3825,2465,2686,2095,1736,2262,3825,2465,2686,2095,1736,2262,3825,2465,2686,2095,1736,2262,3825,2465,2686,2095,1736,2262,3825,2465,2686,195
489,391,524,549,510,493,489,391,524,549,510,493,489,391,524,549,510,493,489,391,524,549,510,493,489,391,524,549,510,493,489,391,524,549,510,493,489,391,524,549,510,493,489,391,524,549,510,493,489,391,524,549,510,493,489,391,524,549,510,493,489,391,524,549,510,493,489,391,524,549,510,493,240
28337,29217,28964,29058,28902,28898,28337,29217,28964,29058,28902,28898,28337,29217,28964,29058,28902,28898,28337,29217,28964,29058,28902,28898,28337,29217,28964,29058,28902,28898,28337,29217,28964,29058,28902,28898,28337,29217,28964,29058,28902,28898,28337,29217,28964,29058,28902,28898,28337,29217,28964,29058,28902,28898,28337,29217,28964,29058,28902,28898,28337,29217,28964,29058,28902,28898,28337,29217,28964,29058,28902,28898,114
1456,1303,2169,1363,1931,1649,1456,1303,2169,1363,1931,1649,1456,1303,2169,1363,1931,1649,1456,1303,2169,1363,1931,1649,1456,1303,2169,1363,1931,1649,1456,1303,2169,1363,1931,1649,1456,1303,2169,1363,1931,1649,1456,1303,2169,1363,1931,1649,1456,1303,2169,1363,1931,1649,1456,1303,2169,1363,1931,1649,1456,1303,2169,1363,1931,1649,1456,1303,2169,1363,1931,1649,159
888,1039,869,1063,964,965,888,1039,869,1063,964,965,888,1039,869,1063,964,965,888,1039,869,1063,964,965,888,1039,869,1063,964,965,888,1039,869,1063,964,965,888,1039,869,1063,964,965,888,1039,869,1063,964,965,888,1039,869,1063,964,965,888,1039,869,1063,964,965,888,1039,869,1063,964,965,888,1039,869,1063,964,965,598
4930,5039,3049,6337,5568,4998,4930,5039,3049,6337,5568,4998,4930,5039,3049,6337,5568,4998,4930,5039,3049,6337,5568,4998,4930,5039,3049,6337,5568,4998,4930,5039,3049,6337,5568,4998,4930,5039,3049,6337,5568,4998,4930,5039,3049,6337,5568,4998,4930,5039,3049,6337,5568,4998,4930,5039,3049,6337,5568,4998,4930,5039,3049,6337,5568,4998,4930,5039,3049,6337,5568,4998,200
6676,6005,7478,7352,6868,6887,6676,6005,7478,7352,6868,6887,6676,6005,7478,7352,6868,6887,6676,6005,7478,7352,6868,6887,6676,6005,7478,7352,6868,6887,6676,6005,7478,7352,6868,6887,6676,6005,7478,7352,6868,6887,6676,6005,7478,7352,6868,6887,6676,6005,7478,7352,6868,6887,6676,6005,7478,7352,6868,6887,6676,6005,7478,7352,6868,6887,6676,6005,7478,7352,6868,6887,535
2052,1722,2153,2607,2084,2187,2052,1722,2153,2607,2084,2187,2052,1722,2153,2607,2084,2187,2052,1722,2153,2607,2084,2187,2052,1722,2153,2607,2084,2187,2052,1722,2153,2607,2084,2187,2052,1722,2153,2607,2084,2187,2052,1722,2153,2607,2084,2187,2052,1722,2153,2607,2084,2187,2052,1722,2153,2607,2084,2187,2052,1722,2153,2607,2084,2187,2052,1722,2153,2607,2084,2187,184
2400,2353,2430,2413,2404,2403,2400,2353,2430,2413,2404,2403,2400,2353,2430,2413,2404,2403,2400,2353,2430,2413,2404,2403,2400,2353,2430,2413,2404,2403,2400,2353,2430,2413,2404,2403,2400,2353,2430,2413,2404,2403,2400,2353,2430,2413,2404,2403,2400,2353,2430,2413,2404,2403,2400,2353,2430,2413,2404,2403,2400,2353,2430,2413,2404,2403,2400,2353,2430,2413,2404,2403,330
1271,1429,1165,1428,1457,1350,1271,1429,1165,1428,1457,1350,1271,1429,1165,1428,1457,1350,1271,1429,1165,1428,1457,1350,1271,1429,1165,1428,1457,1350,1271,1429,1165,1428,1457,1350,1271,1429,1165,1428,1457,1350,1271,1429,1165,1428,1457,1350,1271,1429,1165,1428,1457,1350,1271,1429,1165,1428,1457,1350,1271,1429,1165,1428,1457,1350,1271,1429,1165,1428,1457,1350,588
2515,2494,2336,2585,2624,2555,2515,2494,2336,2585,2624,2555,2515,2494,2336,2585,2624,2555,2515,2494,2336,2585,2624,2555,2515,2494,2336,2585,2624,2555,2515,2494,2336,2585,2624,2555,2515,2494,2336,2585,2624,2555,2515,2494,2336,2585,2624,2555,2515,2494,2336,2585,2624,2555,2515,2494,2336,2585,2624,2555,2515,2494,2336,2585,2624,2555,2515,2494,2336,2585,2624,2555,188
4644,5740,4812,7917,3804,7882,4644,5740,4812,7917,3804,7882,4644,5740,4812,7917,3804,7882,4644,5740,4812,7917,3804,7882,4644,5740,4812,7917,3804,7882,4644,5740,4812,7917,3804,7882,4644,5740,4812,7917,3804,7882,4644,5740,4812,7917,3804,7882,4644,5740,4812,7917,3804,7882,4644,5740,4812,7917,3804,7882,4644,5740,4812,7917,3804,7882,4644,5740,4812,7917,3804,7882,528
2498,2959,2828,2759,2762,2764,2498,2959,2828,2759,2762,2764,2498,2959,2828,2759,2762,2764,2498,2959,2828,2759,2762,2764,2498,2959,2828,2759,2762,2764,2498,2959,2828,2759,2762,2764,2498,2959,2828,2759,2762,2764,2498,2959,2828,2759,2762,2764,2498,2959,2828,2759,2762,2764,2498,2959,2828,2759,2762,2764,2498,2959,2828,2759,2762,2764,2498,2959,2828,2759,2762,2764,394
4652,4646,4677,4738,4677,4690,4652,4646,4677,4738,4677,4690,4652,4646,4677,4738,4677,4690,4652,4646,4677,4738,4677,4690,4652,4646,4677,4738,4677,4690,4652,4646,4677,4738,4677,4690,4652,4646,4677,4738,4677,4690,4652,4646,4677,4738,4677,4690,4652,4646,4677,4738,4677,4690,4652,4646,4677,4738,4677,4690,4652,4646,4677,4738,4677,4690,4652,4646,4677,4738,4677,4690,260
123,116,136,107,142,126,123,116,136,107,142,126,123,116,136,107,142,126,123,116,136,107,142,126,123,116,136,107,142,126,123,116,136,107,142,126,123,116,136,107,142,126,123,116,136,107,142,126,123,116,136,107,142,126,123,116,136,107,142,126,123,116,136,107,142,126,123,116,136,107,142,126,536
1331,1531,1602,1522,1477,1532,1331,1531,1602,1522,1477,1532,1331,1531,1602,1522,1477,1532,1331,1531,1602,1522,1477,1532,1331,1531,1602,1522,1477,1532,1331,1531,1602,1522,1477,1532,1331,1531,1602,1522,1477,1532,1331,1531,1602,1522,1477,1532,1331,1531,1602,1522,1477,1532,1331,1531,1602,1522,1477,1532,1331,1531,1602,1522,1477,1532,1331,1531,1602,1522,1477,1532,302
3831,3744,3826,3723,4024,3877,3831,3744,3826,3723,4024,3877,3831,3744,3826,3723,4024,3877,3831,3744,3826,3723,4024,3877,3831,3744,3826,3723,4024,3877,3831,3744,3826,3723,4024,3877,3831,3744,3826,3723,4024,3877,3831,3744,3826,3723,4024,3877,3831,3744,3826,3723,4024,3877,3831,3744,3826,3723,4024,3877,3831,3744,3826,3723,4024,3877,3831,3744,3826,3723,4024,3877,558
2258,2256,2277,2209,2310,2296,2258,2256,2277,2209,2310,2296,2258,2256,2277,2209,2310,2296,2258,2256,2277,2209,2310,2296,2258,2256,2277,2209,2310,2296,2258,2256,2277,2209,2310,2296,2258,2256,2277,2209,2310,2296,2258,2256,2277,2209,2310,2296,2258,2256,2277,2209,2310,2296,2258,2256,2277,2209,2310,2296,2258,2256,2277,2209,2310,2296,2258,2256,2277,2209,2310,2296,106
2268,2264,2252,2270,2282,2274,2268,2264,2252,2270,2282,2274,2268,2264,2252,2270,2282,2274,2268,2264,2252,2270,2282,2274,2268,2264,2252,2270,2282,2274,2268,2264,2252,2270,2282,2274,2268,2264,2252,2270,2282,2274,2268,2264,2252,2270,2282,2274,2268,2264,2252,2270,2282,2274,2268,2264,2252,2270,2282,2274,2268,2264,2252,2270,2282,2274,2268,2264,2252,2270,2282,2274,212
6597,6927,8207,7552,7330,7326,6597,6927,8207,7552,7330,7326,6597,6927,8207,7552,7330,7326,6597,6927,8207,7552,7330,7326,6597,6927,8207,7552,7330,7326,6597,6927,8207,7552,7330,7326,6597,6927,8207,7552,7330,7326,6597,6927,8207,7552,7330,7326,6597,6927,8207,7552,7330,7326,6597,6927,8207,7552,7330,7326,6597,6927,8207,7552,7330,7326,6597,6927,8207,7552,7330,7326,571
2773,2773,2727,2728,2865,2774,2773,2773,2727,2728,2865,2774,2773,2773,2727,2728,2865,2774,2773,2773,2727,2728,2865,2774,2773,2773,2727,2728,2865,2774,2773,2773,2727,2728,2865,2774,2773,2773,2727,2728,2865,2774,2773,2773,2727,2728,2865,2774,2773,2773,2727,2728,2865,2774,2773,2773,2727,2728,2865,2774,2773,2773,2727,2728,2865,2774,2773,2773,2727,2728,2865,2774,506
3699,3675,3717,3711,3714,3707,3699,3675,3717,3711,3714,3707,3699,3675,3717,3711,3714,3707,3699,3675,3717,3711,3714,3707,3699,3675,3717,3711,3714,3707,3699,3675,3717,3711,3714,3707,3699,3675,3717,3711,3714,3707,3699,3675,3717,3711,3714,3707,3699,3675,3717,3711,3714,3707,3699,3675,3717,3711,3714,3707,3699,3675,3717,3711,3714,3707,3699,3675,3717,3711,3714,3707,450
2667,2994,2359,3946,3022,3023,2667,2994,2359,3946,3022,3023,2667,2994,2359,3946,3022,3023,2667,2994,2359,3946,3022,3023,2667,2994,2359,3946,3022,3023,2667,2994,2359,3946,3022,3023,2667,2994,2359,3946,3022,3023,2667,2994,2359,3946,3022,3023,2667,2994,2359,3946,3022,3023,2667,2994,2359,3946,3022,3023,2667,2994,2359,3946,3022,3023,2667,2994,2359,3946,3022,3023,59
1734,1670,1650,1838,1664,1906,1734,1670,1650,1838,1664,1906,1734,1670,1650,1838,1664,1906,1734,1670,1650,1838,1664,1906,1734,1670,1650,1838,1664,1906,1734,1670,1650,1838,1664,1906,1734,1670,1650,1838,1664,1906,1734,1670,1650,1838,1664,1906,1734,1670,1650,1838,1664,1906,1734,1670,1650,1838,1664,1906,1734,1670,1650,1838,1664,1906,1734,1670,1650,1838,1664,1906,206
870,1519,1303,961,1791,1364,870,1519,1303,961,1791,1364,870,1519,1303,961,1791,1364,870,1519,1303,961,1791,1364,870,1519,1303,961,1791,1364,870,1519,1303,961,1791,1364,870,1519,1303,961,1791,1364,870,1519,1303,961,1791,1364,870,1519,1303,961,1791,1364,870,1519,1303,961,1791,1364,870,1519,1303,961,1791,1364,870,1519,1303,961,1791,1364,36
8861,9012,8904,8860,9039,8941,8861,9012,8904,8860,9039,8941,8861,9012,8904,8860,9039,8941,8861,9012,8904,8860,9039,8941,8861,9012,8904,8860,9039,8941,8861,9012,8904,8860,9039,8941,8861,9012,8904,8860,9039,8941,8861,9012,8904,8860,9039,8941,8861,9012,8904,8860,9039,8941,8861,9012,8904,8860,9039,8941,8861,9012,8904,8860,9039,8941,8861,9012,8904,8860,9039,8941,410
2488,2414,2582,2540,2536,2539,2488,2414,2582,2540,2536,2539,2488,2414,2582,2540,2536,2539,2488,2414,2582,2540,2536,2539,2488,2414,2582,2540,2536,2539,2488,2414,2582,2540,2536,2539,2488,2414,2582,2540,2536,2539,2488,2414,2582,2540,2536,2539,2488,2414,2582,2540,2536,2539,2488,2414,2582,2540,2536,2539,2488,2414,2582,2540,2536,2539,2488,2414,2582,2540,2536,2539,623
688,654,723,657,714,697,688,654,723,657,714,697,688,654,723,657,714,697,688,654,723,657,714,697,688,654,723,657,714,697,688,654,723,657,714,697,688,654,723,657,714,697,688,654,723,657,714,697,688,654,723,657,714,697,688,654,723,657,714,697,688,654,723,657,714,697,688,654,723,657,714,697,239
3413,3388,3324,3455,3523,3459,3413,3388,3324,3455,3523,3459,3413,3388,3324,3455,3523,3459,3413,3388,3324,3455,3523,3459,3413,3388,3324,3455,3523,3459,3413,3388,3324,3455,3523,3459,3413,3388,3324,3455,3523,3459,3413,3388,3324,3455,3523,3459,3413,3388,3324,3455,3523,3459,3413,3388,3324,3455,3523,3459,3413,3388,3324,3455,3523,3459,3413,3388,3324,3455,3523,3459,631
1412,1434,1460,1438,1437,1437,1412,1434,1460,1438,1437,1437,1412,1434,1460,1438,1437,1437,1412,1434,1460,1438,1437,1437,1412,1434,1460,1438,1437,1437,1412,1434,1460,1438,1437,1437,1412,1434,1460,1438,1437,1437,1412,1434,1460,1438,1437,1437,1412,1434,1460,1438,1437,1437,1412,1434,1460,1438,1437,1437,1412,1434,1460,1438,1437,1437,1412,1434,1460,1438,1437,1437,222
1697,1714,2016,1751,1887,1890,1697,1714,2016,1751,1887,1890,1697,1714,2016,1751,1887,1890,1697,1714,2016,1751,1887,1890,1697,1714,2016,1751,1887,1890,1697,1714,2016,1751,1887,1890,1697,1714,2016,1751,1887,1890,1697,1714,2016,1751,1887,1890,1697,1714,2016,1751,1887,1890,1697,1714,2016,1751,1887,1890,1697,1714,2016,1751,1887,1890,1697,1714,2016,1751,1887,1890,20
4686,5337,4883,5387,5072,5097,4686,5337,4883,5387,5072,5097,4686,5337,4883,5387,5072,5097,4686,5337,4883,5387,5072,5097,4686,5337,4883,5387,5072,5097,4686,5337,4883,5387,5072,5097,4686,5337,4883,5387,5072,5097,4686,5337,4883,5387,5072,5097,4686,5337,4883,5387,5072,5097,4686,5337,4883,5387,5072,5097,4686,5337,4883,5387,5072,5097,4686,5337,4883,5387,5072,5097,34
1786,1772,1789,1804,1787,1795,1786,1772,1789,1804,1787,1795,1786,1772,1789,1804,1787,1795,1786,1772,1789,1804,1787,1795,1786,1772,1789,1804,1787,1795,1786,1772,1789,1804,1787,1795,1786,1772,1789,1804,1787,1795,1786,1772,1789,1804,1787,1795,1786,1772,1789,1804,1787,1795,1786,1772,1789,1804,1787,1795,1786,1772,1789,1804,1787,1795,1786,1772,1789,1804,1787,1795,208
