band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,census_code
2819,2832,2691,2958,2636,2944,2903,2819,2832,2691,2958,2636,2944,2903,2819,2832,2691,2958,2636,2944,2903,2819,2832,2691,2958,2636,2944,2903,2819,2832,2691,2958,2636,2944,2903,2819,2832,2691,2958,2636,2944,2903,2819,2832,2691,2958,2636,2944,2903,2819,2832,2691,2958,2636,2944,2903,2819,2832,2691,2958,2636,2944,2903,2819,2832,2691,2958,2636,2944,2903,2819,2832,2691,2958,2636,2944,2903,2819,2832,2691,2958,2636,2944,2903,179
2372,2412,2385,2166,2545,2467,2395,2372,2412,2385,2166,2545,2467,2395,2372,2412,2385,2166,2545,2467,2395,2372,2412,2385,2166,2545,2467,2395,2372,2412,2385,2166,2545,2467,2395,2372,2412,2385,2166,2545,2467,2395,2372,2412,2385,2166,2545,2467,2395,2372,2412,2385,2166,2545,2467,2395,2372,2412,2385,2166,2545,2467,2395,2372,2412,2385,2166,2545,2467,2395,2372,2412,2385,2166,2545,2467,2395,2372,2412,2385,2166,2545,2467,2395,405
1498,1798,1610,1692,1654,1648,1659,1498,1798,1610,1692,1654,1648,1659,1498,1798,1610,1692,1654,1648,1659,1498,1798,1610,1692,1654,1648,1659,1498,1798,1610,1692,1654,1648,1659,1498,1798,1610,1692,1654,1648,1659,1498,1798,1610,1692,1654,1648,1659,1498,1798,1610,1692,1654,1648,1659,1498,1798,1610,1692,1654,1648,1659,1498,1798,1610,1692,1654,1648,1659,1498,1798,1610,1692,1654,1648,1659,1498,1798,1610,1692,1654,1648,1659,5
2325,2153,2521,2363,2359,2397,2355,2325,2153,2521,2363,2359,2397,2355,2325,2153,2521,2363,2359,2397,2355,2325,2153,2521,2363,2359,2397,2355,2325,2153,2521,2363,2359,2397,2355,2325,2153,2521,2363,2359,2397,2355,2325,2153,2521,2363,2359,2397,2355,2325,2153,2521,2363,2359,2397,2355,2325,2153,2521,2363,2359,2397,2355,2325,2153,2521,2363,2359,2397,2355,2325,2153,2521,2363,2359,2397,2355,2325,2153,2521,2363,2359,2397,2355,581
4969,4919,5019,5017,4962,5000,4981,4969,4919,5019,5017,4962,5000,4981,4969,4919,5019,5017,4962,5000,4981,4969,4919,5019,5017,4962,5000,4981,4969,4919,5019,5017,4962,5000,4981,4969,4919,5019,5017,4962,5000,4981,4969,4919,5019,5017,4962,5000,4981,4969,4919,5019,5017,4962,5000,4981,4969,4919,5019,5017,4962,5000,4981,4969,4919,5019,5017,4962,5000,4981,4969,4919,5019,5017,4962,5000,4981,4969,4919,5019,5017,4962,5000,4981,111
1454,1569,1547,1500,1507,1548,1553,1454,1569,1547,1500,1507,1548,1553,1454,1569,1547,1500,1507,1548,1553,1454,1569,1547,1500,1507,1548,1553,1454,1569,1547,1500,1507,1548,1553,1454,1569,1547,1500,1507,1548,1553,1454,1569,1547,1500,1507,1548,1553,1454,1569,1547,1500,1507,1548,1553,1454,1569,1547,1500,1507,1548,1553,1454,1569,1547,1500,1507,1548,1553,1454,1569,1547,1500,1507,1548,1553,1454,1569,1547,1500,1507,1548,1553,378
24,23,23,22,25,22,25,24,23,23,22,25,22,25,24,23,23,22,25,22,25,24,23,23,22,25,22,25,24,23,23,22,25,22,25,24,23,23,22,25,22,25,24,23,23,22,25,22,25,24,23,23,22,25,22,25,24,23,23,22,25,22,25,24,23,23,22,25,22,25,24,23,23,22,25,22,25,24,23,23,22,25,22,25,634
5453,5432,5469,5081,5808,5476,5453,5453,5432,5469,5081,5808,5476,5453,5453,5432,5469,5081,5808,5476,5453,5453,5432,5469,5081,5808,5476,5453,5453,5432,5469,5081,5808,5476,5453,5453,5432,5469,5081,5808,5476,5453,5453,5432,5469,5081,5808,5476,5453,5453,5432,5469,5081,5808,5476,5453,5453,5432,5469,5081,5808,5476,5453,5453,5432,5469,5081,5808,5476,5453,5453,5432,5469,5081,5808,5476,5453,5453,5432,5469,5081,5808,5476,5453,119
1193,1338,1334,1251,1327,1255,1323,1193,1338,1334,1251,1327,1255,1323,1193,1338,1334,1251,1327,1255,1323,1193,1338,1334,1251,1327,1255,1323,1193,1338,1334,1251,1327,1255,1323,1193,1338,1334,1251,1327,1255,1323,1193,1338,1334,1251,1327,1255,1323,1193,1338,1334,1251,1327,1255,1323,1193,1338,1334,1251,1327,1255,1323,1193,1338,1334,1251,1327,1255,1323,1193,1338,1334,1251,1327,1255,1323,1193,1338,1334,1251,1327,1255,1323,162
1745,1770,1789,1808,1789,1783,1782,1745,1770,1789,1808,1789,1783,1782,1745,1770,1789,1808,1789,1783,1782,1745,1770,1789,1808,1789,1783,1782,1745,1770,1789,1808,1789,1783,1782,1745,1770,1789,1808,1789,1783,1782,1745,1770,1789,1808,1789,1783,1782,1745,1770,1789,1808,1789,1783,1782,1745,1770,1789,1808,1789,1783,1782,1745,1770,1789,1808,1789,1783,1782,1745,1770,1789,1808,1789,1783,1782,1745,1770,1789,1808,1789,1783,1782,298
5294,5283,5261,5321,5312,5300,5295,5294,5283,5261,5321,5312,5300,5295,5294,5283,5261,5321,5312,5300,5295,5294,5283,5261,5321,5312,5300,5295,5294,5283,5261,5321,5312,5300,5295,5294,5283,5261,5321,5312,5300,5295,5294,5283,5261,5321,5312,5300,5295,5294,5283,5261,5321,5312,5300,5295,5294,5283,5261,5321,5312,5300,5295,5294,5283,5261,5321,5312,5300,5295,5294,5283,5261,5321,5312,5300,5295,5294,5283,5261,5321,5312,5300,5295,409
3793,4233,2699,5357,2507,5182,4379,3793,4233,2699,5357,2507,5182,4379,3793,4233,2699,5357,2507,5182,4379,3793,4233,2699,5357,2507,5182,4379,3793,4233,2699,5357,2507,5182,4379,3793,4233,2699,5357,2507,5182,4379,3793,4233,2699,5357,2507,5182,4379,3793,4233,2699,5357,2507,5182,4379,3793,4233,2699,5357,2507,5182,4379,3793,4233,2699,5357,2507,5182,4379,3793,4233,2699,5357,2507,5182,4379,3793,4233,2699,5357,2507,5182,4379,574
1234,1177,1132,1229,1371,1272,1245,1234,1177,1132,1229,1371,1272,1245,1234,1177,1132,1229,1371,1272,1245,1234,1177,1132,1229,1371,1272,1245,1234,1177,1132,1229,1371,1272,1245,1234,1177,1132,1229,1371,1272,1245,1234,1177,1132,1229,1371,1272,1245,1234,1177,1132,1229,1371,1272,1245,1234,1177,1132,1229,1371,1272,1245,1234,1177,1132,1229,1371,1272,1245,1234,1177,1132,1229,1371,1272,1245,1234,1177,1132,1229,1371,1272,1245,210
2882,2862,2873,2821,2938,2815,2978,2882,2862,2873,2821,2938,2815,2978,2882,2862,2873,2821,2938,2815,2978,2882,2862,2873,2821,2938,2815,2978,2882,2862,2873,2821,2938,2815,2978,2882,2862,2873,2821,2938,2815,2978,2882,2862,2873,2821,2938,2815,2978,2882,2862,2873,2821,2938,2815,2978,2882,2862,2873,2821,2938,2815,2978,2882,2862,2873,2821,2938,2815,2978,2882,2862,2873,2821,2938,2815,2978,2882,2862,2873,2821,2938,2815,2978,170
2109,2232,2127,2199,2167,2190,2172,2109,2232,2127,2199,2167,2190,2172,2109,2232,2127,2199,2167,2190,2172,2109,2232,2127,2199,2167,2190,2172,2109,2232,2127,2199,2167,2190,2172,2109,2232,2127,2199,2167,2190,2172,2109,2232,2127,2199,2167,2190,2172,2109,2232,2127,2199,2167,2190,2172,2109,2232,2127,2199,2167,2190,2172,2109,2232,2127,2199,2167,2190,2172,2109,2232,2127,2199,2167,2190,2172,2109,2232,2127,2199,2167,2190,2172,387
1435,1495,1608,1510,1532,1695,1568,1435,1495,1608,1510,1532,1695,1568,1435,1495,1608,1510,1532,1695,1568,1435,1495,1608,1510,1532,1695,1568,1435,1495,1608,1510,1532,1695,1568,1435,1495,1608,1510,1532,1695,1568,1435,1495,1608,1510,1532,1695,1568,1435,1495,1608,1510,1532,1695,1568,1435,1495,1608,1510,1532,1695,1568,1435,1495,1608,1510,1532,1695,1568,1435,1495,1608,1510,1532,1695,1568,1435,1495,1608,1510,1532,1695,1568,147
1732,1857,1255,2322,2075,1819,2017,1732,1857,1255,2322,2075,1819,2017,1732,1857,1255,2322,2075,1819,2017,1732,1857,1255,2322,2075,1819,2017,1732,1857,1255,2322,2075,1819,2017,1732,1857,1255,2322,2075,1819,2017,1732,1857,1255,2322,2075,1819,2017,1732,1857,1255,2322,2075,1819,2017,1732,1857,1255,2322,2075,1819,2017,1732,1857,1255,2322,2075,1819,2017,1732,1857,1255,2322,2075,1819,2017,1732,1857,1255,2322,2075,1819,2017,294
1732,1857,1255,2322,2075,1819,2017,1732,1857,1255,2322,2075,1819,2017,1732,1857,1255,2322,2075,1819,2017,1732,1857,1255,2322,2075,1819,2017,1732,1857,1255,2322,2075,1819,2017,1732,1857,1255,2322,2075,1819,2017,1732,1857,1255,2322,2075,1819,2017,1732,1857,1255,2322,2075,1819,2017,1732,1857,1255,2322,2075,1819,2017,1732,1857,1255,2322,2075,1819,2017,1732,1857,1255,2322,2075,1819,2017,1732,1857,1255,2322,2075,1819,2017,294
5095,5208,5185,5193,4978,5037,5495,5095,5208,5185,5193,4978,5037,5495,5095,5208,5185,5193,4978,5037,5495,5095,5208,5185,5193,4978,5037,5495,5095,5208,5185,5193,4978,5037,5495,5095,5208,5185,5193,4978,5037,5495,5095,5208,5185,5193,4978,5037,5495,5095,5208,5185,5193,4978,5037,5495,5095,5208,5185,5193,4978,5037,5495,5095,5208,5185,5193,4978,5037,5495,5095,5208,5185,5193,4978,5037,5495,5095,5208,5185,5193,4978,5037,5495,388
584,752,875,806,734,775,871,584,752,875,806,734,775,871,584,752,875,806,734,775,871,584,752,875,806,734,775,871,584,752,875,806,734,775,871,584,752,875,806,734,775,871,584,752,875,806,734,775,871,584,752,875,806,734,775,871,584,752,875,806,734,775,871,584,752,875,806,734,775,871,584,752,875,806,734,775,871,584,752,875,806,734,775,871,322
2932,3496,3042,3811,3373,3324,3343,2932,3496,3042,3811,3373,3324,3343,2932,3496,3042,3811,3373,3324,3343,2932,3496,3042,3811,3373,3324,3343,2932,3496,3042,3811,3373,3324,3343,2932,3496,3042,3811,3373,3324,3343,2932,3496,3042,3811,3373,3324,3343,2932,3496,3042,3811,3373,3324,3343,2932,3496,3042,3811,3373,3324,3343,2932,3496,3042,3811,3373,3324,3343,2932,3496,3042,3811,3373,3324,3343,2932,3496,3042,3811,3373,3324,3343,578
1032,982,1220,1082,906,1275,1097,1032,982,1220,1082,906,1275,1097,1032,982,1220,1082,906,1275,1097,1032,982,1220,1082,906,1275,1097,1032,982,1220,1082,906,1275,1097,1032,982,1220,1082,906,1275,1097,1032,982,1220,1082,906,1275,1097,1032,982,1220,1082,906,1275,1097,1032,982,1220,1082,906,1275,1097,1032,982,1220,1082,906,1275,1097,1032,982,1220,1082,906,1275,1097,1032,982,1220,1082,906,1275,1097,232
2095,1736,2262,2390,2205,1695,2686,2095,1736,2262,2390,2205,1695,2686,2095,1736,2262,2390,2205,1695,2686,2095,1736,2262,2390,2205,1695,2686,2095,1736,2262,2390,2205,1695,2686,2095,1736,2262,2390,2205,1695,2686,2095,1736,2262,2390,2205,1695,2686,2095,1736,2262,2390,2205,1695,2686,2095,1736,2262,2390,2205,1695,2686,2095,1736,2262,2390,2205,1695,2686,2095,1736,2262,2390,2205,1695,2686,2095,1736,2262,2390,2205,1695,2686,195
413,419,431,403,380,447,463,413,419,431,403,380,447,463,413,419,431,403,380,447,463,413,419,431,403,380,447,463,413,419,431,403,380,447,463,413,419,431,403,380,447,463,413,419,431,403,380,447,463,413,419,431,403,380,447,463,413,419,431,403,380,447,463,413,419,431,403,380,447,463,413,419,431,403,380,447,463,413,419,431,403,380,447,463,240
24653,24883,24733,22654,26701,24978,24774,24653,24883,24733,22654,26701,24978,24774,24653,24883,24733,22654,26701,24978,24774,24653,24883,24733,22654,26701,24978,24774,24653,24883,24733,22654,26701,24978,24774,24653,24883,24733,22654,26701,24978,24774,24653,24883,24733,22654,26701,24978,24774,24653,24883,24733,22654,26701,24978,24774,24653,24883,24733,22654,26701,24978,24774,24653,24883,24733,22654,26701,24978,24774,24653,24883,24733,22654,26701,24978,24774,24653,24883,24733,22654,26701,24978,24774,114
1409,1350,1470,1408,1221,1501,1512,1409,1350,1470,1408,1221,1501,1512,1409,1350,1470,1408,1221,1501,1512,1409,1350,1470,1408,1221,1501,1512,1409,1350,1470,1408,1221,1501,1512,1409,1350,1470,1408,1221,1501,1512,1409,1350,1470,1408,1221,1501,1512,1409,1350,1470,1408,1221,1501,1512,1409,1350,1470,1408,1221,1501,1512,1409,1350,1470,1408,1221,1501,1512,1409,1350,1470,1408,1221,1501,1512,1409,1350,1470,1408,1221,1501,1512,159
681,888,857,703,1004,828,827,681,888,857,703,1004,828,827,681,888,857,703,1004,828,827,681,888,857,703,1004,828,827,681,888,857,703,1004,828,827,681,888,857,703,1004,828,827,681,888,857,703,1004,828,827,681,888,857,703,1004,828,827,681,888,857,703,1004,828,827,681,888,857,703,1004,828,827,681,888,857,703,1004,828,827,681,888,857,703,1004,828,827,598
4196,3217,5302,3637,4933,3763,4873,4196,3217,5302,3637,4933,3763,4873,4196,3217,5302,3637,4933,3763,4873,4196,3217,5302,3637,4933,3763,4873,4196,3217,5302,3637,4933,3763,4873,4196,3217,5302,3637,4933,3763,4873,4196,3217,5302,3637,4933,3763,4873,4196,3217,5302,3637,4933,3763,4873,4196,3217,5302,3637,4933,3763,4873,4196,3217,5302,3637,4933,3763,4873,4196,3217,5302,3637,4933,3763,4873,4196,3217,5302,3637,4933,3763,4873,200
5565,6225,5879,5790,5508,6368,5931,5565,6225,5879,5790,5508,6368,5931,5565,6225,5879,5790,5508,6368,5931,5565,6225,5879,5790,5508,6368,5931,5565,6225,5879,5790,5508,6368,5931,5565,6225,5879,5790,5508,6368,5931,5565,6225,5879,5790,5508,6368,5931,5565,6225,5879,5790,5508,6368,5931,5565,6225,5879,5790,5508,6368,5931,5565,6225,5879,5790,5508,6368,5931,5565,6225,5879,5790,5508,6368,5931,5565,6225,5879,5790,5508,6368,5931,535
1751,1244,2306,1388,2311,1727,2078,1751,1244,2306,1388,2311,1727,2078,1751,1244,2306,1388,2311,1727,2078,1751,1244,2306,1388,2311,1727,2078,1751,1244,2306,1388,2311,1727,2078,1751,1244,2306,1388,2311,1727,2078,1751,1244,2306,1388,2311,1727,2078,1751,1244,2306,1388,2311,1727,2078,1751,1244,2306,1388,2311,1727,2078,1751,1244,2306,1388,2311,1727,2078,1751,1244,2306,1388,2311,1727,2078,1751,1244,2306,1388,2311,1727,2078,184
2012,2100,2041,2047,1995,2143,2065,2012,2100,2041,2047,1995,2143,2065,2012,2100,2041,2047,1995,2143,2065,2012,2100,2041,2047,1995,2143,2065,2012,2100,2041,2047,1995,2143,2065,2012,2100,2041,2047,1995,2143,2065,2012,2100,2041,2047,1995,2143,2065,2012,2100,2041,2047,1995,2143,2065,2012,2100,2041,2047,1995,2143,2065,2012,2100,2041,2047,1995,2143,2065,2012,2100,2041,2047,1995,2143,2065,2012,2100,2041,2047,1995,2143,2065,330
1150,995,1327,1053,1248,1062,1265,1150,995,1327,1053,1248,1062,1265,1150,995,1327,1053,1248,1062,1265,1150,995,1327,1053,1248,1062,1265,1150,995,1327,1053,1248,1062,1265,1150,995,1327,1053,1248,1062,1265,1150,995,1327,1053,1248,1062,1265,1150,995,1327,1053,1248,1062,1265,1150,995,1327,1053,1248,1062,1265,1150,995,1327,1053,1248,1062,1265,1150,995,1327,1053,1248,1062,1265,1150,995,1327,1053,1248,1062,1265,588
2148,2169,2151,2165,2157,1978,2341,2148,2169,2151,2165,2157,1978,2341,2148,2169,2151,2165,2157,1978,2341,2148,2169,2151,2165,2157,1978,2341,2148,2169,2151,2165,2157,1978,2341,2148,2169,2151,2165,2157,1978,2341,2148,2169,2151,2165,2157,1978,2341,2148,2169,2151,2165,2157,1978,2341,2148,2169,2151,2165,2157,1978,2341,2148,2169,2151,2165,2157,1978,2341,2148,2169,2151,2165,2157,1978,2341,2148,2169,2151,2165,2157,1978,2341,188
4644,3160,5028,6981,3300,6599,5087,4644,3160,5028,6981,3300,6599,5087,4644,3160,5028,6981,3300,6599,5087,4644,3160,5028,6981,3300,6599,5087,4644,3160,5028,6981,3300,6599,5087,4644,3160,5028,6981,3300,6599,5087,4644,3160,5028,6981,3300,6599,5087,4644,3160,5028,6981,3300,6599,5087,4644,3160,5028,6981,3300,6599,5087,4644,3160,5028,6981,3300,6599,5087,4644,3160,5028,6981,3300,6599,5087,4644,3160,5028,6981,3300,6599,5087,528
2252,2428,2419,2301,2404,2373,2393,2252,2428,2419,2301,2404,2373,2393,2252,2428,2419,2301,2404,2373,2393,2252,2428,2419,2301,2404,2373,2393,2252,2428,2419,2301,2404,2373,2393,2252,2428,2419,2301,2404,2373,2393,2252,2428,2419,2301,2404,2373,2393,2252,2428,2419,2301,2404,2373,2393,2252,2428,2419,2301,2404,2373,2393,2252,2428,2419,2301,2404,2373,2393,2252,2428,2419,2301,2404,2373,2393,2252,2428,2419,2301,2404,2373,2393,394
3901,4110,3894,4110,4042,4005,4018,3901,4110,3894,4110,4042,4005,4018,3901,4110,3894,4110,4042,4005,4018,3901,4110,3894,4110,4042,4005,4018,3901,4110,3894,4110,4042,4005,4018,3901,4110,3894,4110,4042,4005,4018,3901,4110,3894,4110,4042,4005,4018,3901,4110,3894,4110,4042,4005,4018,3901,4110,3894,4110,4042,4005,4018,3901,4110,3894,4110,4042,4005,4018,3901,4110,3894,4110,4042,4005,4018,3901,4110,3894,4110,4042,4005,4018,260
103,105,111,99,83,123,126,103,105,111,99,83,123,126,103,105,111,99,83,123,126,103,105,111,99,83,123,126,103,105,111,99,83,123,126,103,105,111,99,83,123,126,103,105,111,99,83,123,126,103,105,111,99,83,123,126,103,105,111,99,83,123,126,103,105,111,99,83,123,126,103,105,111,99,83,123,126,103,105,111,99,83,123,126,536
1272,1290,1188,1361,1314,1252,1318,1272,1290,1188,1361,1314,1252,1318,1272,1290,1188,1361,1314,1252,1318,1272,1290,1188,1361,1314,1252,1318,1272,1290,1188,1361,1314,1252,1318,1272,1290,1188,1361,1314,1252,1318,1272,1290,1188,1361,1314,1252,1318,1272,1290,1188,1361,1314,1252,1318,1272,1290,1188,1361,1314,1252,1318,1272,1290,1188,1361,1314,1252,1318,1272,1290,1188,1361,1314,1252,1318,1272,1290,1188,1361,1314,1252,1318,302
3254,3271,3330,2898,3525,3370,3377,3254,3271,3330,2898,3525,3370,3377,3254,3271,3330,2898,3525,3370,3377,3254,3271,3330,2898,3525,3370,3377,3254,3271,3330,2898,3525,3370,3377,3254,3271,3330,2898,3525,3370,3377,3254,3271,3330,2898,3525,3370,3377,3254,3271,3330,2898,3525,3370,3377,3254,3271,3330,2898,3525,3370,3377,3254,3271,3330,2898,3525,3370,3377,3254,3271,3330,2898,3525,3370,3377,3254,3271,3330,2898,3525,3370,3377,558
1933,1937,1870,2034,1885,1992,1955,1933,1937,1870,2034,1885,1992,1955,1933,1937,1870,2034,1885,1992,1955,1933,1937,1870,2034,1885,1992,1955,1933,1937,1870,2034,1885,1992,1955,1933,1937,1870,2034,1885,1992,1955,1933,1937,1870,2034,1885,1992,1955,1933,1937,1870,2034,1885,1992,1955,1933,1937,1870,2034,1885,1992,1955,1933,1937,1870,2034,1885,1992,1955,1933,1937,1870,2034,1885,1992,1955,1933,1937,1870,2034,1885,1992,1955,106
1923,1945,1964,1925,1938,1894,2021,1923,1945,1964,1925,1938,1894,2021,1923,1945,1964,1925,1938,1894,2021,1923,1945,1964,1925,1938,1894,2021,1923,1945,1964,1925,1938,1894,2021,1923,1945,1964,1925,1938,1894,2021,1923,1945,1964,1925,1938,1894,2021,1923,1945,1964,1925,1938,1894,2021,1923,1945,1964,1925,1938,1894,2021,1923,1945,1964,1925,1938,1894,2021,1923,1945,1964,1925,1938,1894,2021,1923,1945,1964,1925,1938,1894,2021,212
6256,5565,7005,5968,6524,6079,6542,6256,5565,7005,5968,6524,6079,6542,6256,5565,7005,5968,6524,6079,6542,6256,5565,7005,5968,6524,6079,6542,6256,5565,7005,5968,6524,6079,6542,6256,5565,7005,5968,6524,6079,6542,6256,5565,7005,5968,6524,6079,6542,6256,5565,7005,5968,6524,6079,6542,6256,5565,7005,5968,6524,6079,6542,6256,5565,7005,5968,6524,6079,6542,6256,5565,7005,5968,6524,6079,6542,6256,5565,7005,5968,6524,6079,6542,571
2369,2323,2438,2352,2403,2344,2411,2369,2323,2438,2352,2403,2344,2411,2369,2323,2438,2352,2403,2344,2411,2369,2323,2438,2352,2403,2344,2411,2369,2323,2438,2352,2403,2344,2411,2369,2323,2438,2352,2403,2344,2411,2369,2323,2438,2352,2403,2344,2411,2369,2323,2438,2352,2403,2344,2411,2369,2323,2438,2352,2403,2344,2411,2369,2323,2438,2352,2403,2344,2411,2369,2323,2438,2352,2403,2344,2411,2369,2323,2438,2352,2403,2344,2411,506
3163,3183,3167,3177,3182,3175,3176,3163,3183,3167,3177,3182,3175,3176,3163,3183,3167,3177,3182,3175,3176,3163,3183,3167,3177,3182,3175,3176,3163,3183,3167,3177,3182,3175,3176,3163,3183,3167,3177,3182,3175,3176,3163,3183,3167,3177,3182,3175,3176,3163,3183,3167,3177,3182,3175,3176,3163,3183,3167,3177,3182,3175,3176,3163,3183,3167,3177,3182,3175,3176,3163,3183,3167,3177,3182,3175,3176,3163,3183,3167,3177,3182,3175,3176,450
2555,2018,2219,2577,2697,3139,2806,2555,2018,2219,2577,2697,3139,2806,2555,2018,2219,2577,2697,3139,2806,2555,2018,2219,2577,2697,3139,2806,2555,2018,2219,2577,2697,3139,2806,2555,2018,2219,2577,2697,3139,2806,2555,2018,2219,2577,2697,3139,2806,2555,2018,2219,2577,2697,3139,2806,2555,2018,2219,2577,2697,3139,2806,2555,2018,2219,2577,2697,3139,2806,2555,2018,2219,2577,2697,3139,2806,2555,2018,2219,2577,2697,3139,2806,59
1494,1492,1387,1599,1491,1344,1655,1494,1492,1387,1599,1491,1344,1655,1494,1492,1387,1599,1491,1344,1655,1494,1492,1387,1599,1491,1344,1655,1494,1492,1387,1599,1491,1344,1655,1494,1492,1387,1599,1491,1344,1655,1494,1492,1387,1599,1491,1344,1655,1494,1492,1387,1599,1491,1344,1655,1494,1492,1387,1599,1491,1344,1655,1494,1492,1387,1599,1491,1344,1655,1494,1492,1387,1599,1491,1344,1655,1494,1492,1387,1599,1491,1344,1655,206
870,1519,1303,1614,1381,1121,870,1519,1303,1614,1381,1121,870,1519,1303,1614,1381,1121,870,1519,1303,1614,1381,1121,870,1519,1303,1614,1381,1121,870,1519,1303,1614,1381,1121,870,1519,1303,1614,1381,1121,870,1519,1303,1614,1381,1121,870,1519,1303,1614,1381,1121,870,1519,1303,1614,1381,1121,870,1519,1303,1614,1381,1121,870,1519,1303,1614,1381,1121,36,,,,,,,,,,,,
7327,7984,7668,7651,7618,7631,7738,7327,7984,7668,7651,7618,7631,7738,7327,7984,7668,7651,7618,7631,7738,7327,7984,7668,7651,7618,7631,7738,7327,7984,7668,7651,7618,7631,7738,7327,7984,7668,7651,7618,7631,7738,7327,7984,7668,7651,7618,7631,7738,7327,7984,7668,7651,7618,7631,7738,7327,7984,7668,7651,7618,7631,7738,7327,7984,7668,7651,7618,7631,7738,7327,7984,7668,7651,7618,7631,7738,7327,7984,7668,7651,7618,7631,7738,410
2093,2177,2201,2154,2094,2216,2164,2093,2177,2201,2154,2094,2216,2164,2093,2177,2201,2154,2094,2216,2164,2093,2177,2201,2154,2094,2216,2164,2093,2177,2201,2154,2094,2216,2164,2093,2177,2201,2154,2094,2216,2164,2093,2177,2201,2154,2094,2216,2164,2093,2177,2201,2154,2094,2216,2164,2093,2177,2201,2154,2094,2216,2164,2093,2177,2201,2154,2094,2216,2164,2093,2177,2201,2154,2094,2216,2164,2093,2177,2201,2154,2094,2216,2164,623
589,590,579,600,570,550,655,589,590,579,600,570,550,655,589,590,579,600,570,550,655,589,590,579,600,570,550,655,589,590,579,600,570,550,655,589,590,579,600,570,550,655,589,590,579,600,570,550,655,589,590,579,600,570,550,655,589,590,579,600,570,550,655,589,590,579,600,570,550,655,589,590,579,600,570,550,655,589,590,579,600,570,550,655,239
2800,3052,2888,2779,3071,3034,2938,2800,3052,2888,2779,3071,3034,2938,2800,3052,2888,2779,3071,3034,2938,2800,3052,2888,2779,3071,3034,2938,2800,3052,2888,2779,3071,3034,2938,2800,3052,2888,2779,3071,3034,2938,2800,3052,2888,2779,3071,3034,2938,2800,3052,2888,2779,3071,3034,2938,2800,3052,2888,2779,3071,3034,2938,2800,3052,2888,2779,3071,3034,2938,2800,3052,2888,2779,3071,3034,2938,2800,3052,2888,2779,3071,3034,2938,631
1223,1097,1354,1229,1252,1223,1240,1223,1097,1354,1229,1252,1223,1240,1223,1097,1354,1229,1252,1223,1240,1223,1097,1354,1229,1252,1223,1240,1223,1097,1354,1229,1252,1223,1240,1223,1097,1354,1229,1252,1223,1240,1223,1097,1354,1229,1252,1223,1240,1223,1097,1354,1229,1252,1223,1240,1223,1097,1354,1229,1252,1223,1240,1223,1097,1354,1229,1252,1223,1240,1223,1097,1354,1229,1252,1223,1240,1223,1097,1354,1229,1252,1223,1240,222
1484,1563,1619,1553,1525,1641,1570,1484,1563,1619,1553,1525,1641,1570,1484,1563,1619,1553,1525,1641,1570,1484,1563,1619,1553,1525,1641,1570,1484,1563,1619,1553,1525,1641,1570,1484,1563,1619,1553,1525,1641,1570,1484,1563,1619,1553,1525,1641,1570,1484,1563,1619,1553,1525,1641,1570,1484,1563,1619,1553,1525,1641,1570,1484,1563,1619,1553,1525,1641,1570,1484,1563,1619,1553,1525,1641,1570,1484,1563,1619,1553,1525,1641,1570,20
4301,4361,4320,4395,4210,4514,4361,4301,4361,4320,4395,4210,4514,4361,4301,4361,4320,4395,4210,4514,4361,4301,4361,4320,4395,4210,4514,4361,4301,4361,4320,4395,4210,4514,4361,4301,4361,4320,4395,4210,4514,4361,4301,4361,4320,4395,4210,4514,4361,4301,4361,4320,4395,4210,4514,4361,4301,4361,4320,4395,4210,4514,4361,4301,4361,4320,4395,4210,4514,4361,4301,4361,4320,4395,4210,4514,4361,4301,4361,4320,4395,4210,4514,4361,34
1529,1315,1680,1530,1612,1533,1534,1529,1315,1680,1530,1612,1533,1534,1529,1315,1680,1530,1612,1533,1534,1529,1315,1680,1530,1612,1533,1534,1529,1315,1680,1530,1612,1533,1534,1529,1315,1680,1530,1612,1533,1534,1529,1315,1680,1530,1612,1533,1534,1529,1315,1680,1530,1612,1533,1534,1529,1315,1680,1530,1612,1533,1534,1529,1315,1680,1530,1612,1533,1534,1529,1315,1680,1530,1612,1533,1534,1529,1315,1680,1530,1612,1533,1534,208
